season,round,race_name,circuit_id
2018,1,Australian Grand Prix,albert_park
2018,2,Bahrain Grand Prix,bahrain
2018,3,Chinese Grand Prix,shanghai
2018,4,Azerbaijan Grand Prix,baku
2018,5,Spanish Grand Prix,catalunya
2018,6,Monaco Grand Prix,monaco
2018,7,Canadian Grand Prix,villeneuve
2018,8,French Grand Prix,ricard
2018,9,Austrian Grand Prix,red_bull_ring
2018,10,British Grand Prix,silverstone
2018,11,German Grand Prix,hockenheimring
2018,12,Hungarian Grand Prix,hungaroring
2018,13,Belgian Grand Prix,spa
2018,14,Italian Grand Prix,monza
2018,15,Singapore Grand Prix,marina_bay
2018,16,Russian Grand Prix,sochi
2018,17,Japanese Grand Prix,suzuka
2018,18,United States Grand Prix,americas
2018,19,Mexican Grand Prix,rodriguez
2018,20,Brazilian Grand Prix,interlagos
2018,21,Abu Dhabi Grand Prix,yas_marina
2019,1,Australian Grand Prix,albert_park
2019,2,Bahrain Grand Prix,bahrain
2019,3,Chinese Grand Prix,shanghai
2019,4,Azerbaijan Grand Prix,baku
2019,5,Spanish Grand Prix,catalunya
2019,6,Monaco Grand Prix,monaco
2019,7,Canadian Grand Prix,villeneuve
2019,8,French Grand Prix,ricard
2019,9,Austrian Grand Prix,red_bull_ring
2019,10,British Grand Prix,silverstone
2019,11,German Grand Prix,hockenheimring
2019,12,Hungarian Grand Prix,hungaroring
2019,13,Belgian Grand Prix,spa
2019,14,Italian Grand Prix,monza
2019,15,Singapore Grand Prix,marina_bay
2019,16,Russian Grand Prix,sochi
2019,17,Japanese Grand Prix,suzuka
2019,18,Mexican Grand Prix,rodriguez
2019,19,United States Grand Prix,americas
2019,20,Brazilian Grand Prix,interlagos
2019,21,Abu Dhabi Grand Prix,yas_marina
2020,1,Austrian Grand Prix,red_bull_ring
2020,2,Styrian Grand Prix,red_bull_ring
2020,3,Hungarian Grand Prix,hungaroring
2020,4,British Grand Prix,silverstone
2020,5,70th Anniversary Grand Prix,silverstone
2020,6,Spanish Grand Prix,catalunya
2020,7,Belgian Grand Prix,spa
2020,8,Italian Grand Prix,monza
2020,9,Tuscan Grand Prix,mugello
2020,10,Russian Grand Prix,sochi
2020,11,Eifel Grand Prix,nurburgring
2020,12,Portuguese Grand Prix,portimao
2020,13,Emilia Romagna Grand Prix,imola
2020,14,Turkish Grand Prix,istanbul
2020,15,Bahrain Grand Prix,bahrain
2020,16,Sakhir Grand Prix,bahrain
2020,17,Abu Dhabi Grand Prix,yas_marina
2021,1,Bahrain Grand Prix,bahrain
2021,2,Emilia Romagna Grand Prix,imola
2021,3,Portuguese Grand Prix,portimao
2021,4,Spanish Grand Prix,catalunya
2021,5,Monaco Grand Prix,monaco
2021,6,Azerbaijan Grand Prix,baku
2021,7,French Grand Prix,ricard
2021,8,Styrian Grand Prix,red_bull_ring
2021,9,Austrian Grand Prix,red_bull_ring
2021,10,British Grand Prix,silverstone
2021,11,Hungarian Grand Prix,hungaroring
2021,12,Belgian Grand Prix,spa
2021,13,Dutch Grand Prix,zandvoort
2021,14,Italian Grand Prix,monza
2021,15,Russian Grand Prix,sochi
2021,16,Turkish Grand Prix,istanbul
2021,17,United States Grand Prix,americas
2021,18,Mexico City Grand Prix,rodriguez
2021,19,São Paulo Grand Prix,interlagos
2021,20,Qatar Grand Prix,losail
2021,21,Saudi Arabian Grand Prix,jeddah
2021,22,Abu Dhabi Grand Prix,yas_marina
2022,1,Bahrain Grand Prix,bahrain
2022,2,Saudi Arabian Grand Prix,jeddah
2022,3,Australian Grand Prix,albert_park
2022,4,Emilia Romagna Grand Prix,imola
2022,5,Miami Grand Prix,miami
2022,6,Spanish Grand Prix,catalunya
2022,7,Monaco Grand Prix,monaco
2022,8,Azerbaijan Grand Prix,baku
2022,9,Canadian Grand Prix,villeneuve
2022,10,British Grand Prix,silverstone
2022,11,Austrian Grand Prix,red_bull_ring
2022,12,French Grand Prix,ricard
2022,13,Hungarian Grand Prix,hungaroring
2022,14,Belgian Grand Prix,spa
2022,15,Dutch Grand Prix,zandvoort
2022,16,Italian Grand Prix,monza
2022,17,Singapore Grand Prix,marina_bay
2022,18,Japanese Grand Prix,suzuka
2022,19,United States Grand Prix,americas
2022,20,Mexico City Grand Prix,rodriguez
2022,21,São Paulo Grand Prix,interlagos
2022,22,Abu Dhabi Grand Prix,yas_marina
2023,1,Bahrain Grand Prix,bahrain
