circuit_id,circuit_name,lat,long,country
albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia
americas,Circuit of the Americas,30.1328,-97.6411,USA
bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain
baku,Baku City Circuit,40.3725,49.8533,Azerbaijan
catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Spain
hockenheimring,Hockenheimring,49.3278,8.56583,Germany
hungaroring,Hungaroring,47.5789,19.2486,Hungary
interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,Brazil
marina_bay,Marina Bay Street Circuit,1.2914,103.864,Singapore
monaco,Circuit de Monaco,43.7347,7.42056,Monaco
monza,Autodromo Nazionale di Monza,45.6156,9.28111,Italy
red_bull_ring,Red Bull Ring,47.2197,14.7647,Austria
ricard,Circuit Paul Ricard,43.2506,5.79167,France
rodriguez,Autódromo Hermanos Rodríguez,19.4042,-99.0907,Mexico
shanghai,Shanghai International Circuit,31.3389,121.22,China
silverstone,Silverstone Circuit,52.0786,-1.01694,UK
sochi,Sochi Autodrom,43.4057,39.9578,Russia
spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Belgium
suzuka,Suzuka Circuit,34.8431,136.541,Japan
villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Canada
yas_marina,Yas Marina Circuit,24.4672,54.6031,UAE
imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy
istanbul,Istanbul Park,40.9517,29.405,Turkey
mugello,Autodromo Internazionale del Mugello,43.9975,11.3719,Italy
nurburgring,Nürburgring,50.3356,6.9475,Germany
portimao,Autódromo Internacional do Algarve,37.227,-8.6267,Portugal
jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Saudi Arabia
losail,Losail International Circuit,25.49,51.4542,Qatar
zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Netherlands
miami,Miami International Autodrome,25.9581,-80.2389,USA
vegas,Las Vegas Strip Street Circuit,36.1147,-115.173,USA
