driver_id,code,given_name,family_name,date_of_birth,nationality
alonso,ALO,Fernando,Alonso,1981-07-29,Spanish
bottas,BOT,Valtteri,Bottas,1989-08-28,Finnish
ericsson,ERI,Marcus,Ericsson,1990-09-02,Swedish
gasly,GAS,Pierre,Gasly,1996-02-07,French
grosjean,GRO,Romain,Grosjean,1986-04-17,French
hamilton,HAM,Lewis,Hamilton,1985-01-07,British
brendon_hartley,HAR,Brendon,Hartley,1989-11-10,New Zealander
hulkenberg,HUL,Nico,Hülkenberg,1987-08-19,German
leclerc,LEC,Charles,Leclerc,1997-10-16,Monegasque
kevin_magnussen,MAG,Kevin,Magnussen,1992-10-05,Danish
ocon,OCO,Esteban,Ocon,1996-09-17,French
perez,PER,Sergio,Pérez,1990-01-26,Mexican
ricciardo,RIC,Daniel,Ricciardo,1989-07-01,Australian
raikkonen,RAI,Kimi,Räikkönen,1979-10-17,Finnish
sainz,SAI,Carlos,Sainz,1994-09-01,Spanish
sirotkin,SIR,Sergey,Sirotkin,1995-08-27,Russian
stroll,STR,Lance,Stroll,1998-10-29,Canadian
vandoorne,VAN,Stoffel,Vandoorne,1992-03-26,Belgian
max_verstappen,VER,Max,Verstappen,1997-09-30,Dutch
vettel,VET,Sebastian,Vettel,1987-07-03,German
albon,ALB,Alexander,Albon,1996-03-23,Thai
giovinazzi,GIO,Antonio,Giovinazzi,1993-12-14,Italian
kubica,KUB,Robert,Kubica,1984-12-07,Polish
kvyat,KVY,Daniil,Kvyat,1994-04-26,Russian
norris,NOR,Lando,Norris,1999-11-13,British
russell,RUS,George,Russell,1998-02-15,British
aitken,AIT,Jack,Aitken,1995-09-23,British
pietro_fittipaldi,FIT,Pietro,Fittipaldi,1996-06-25,Brazilian
latifi,LAT,Nicholas,Latifi,1995-06-29,Canadian
mazepin,MAZ,Nikita,Mazepin,1999-03-02,Russian
mick_schumacher,MSC,Mick,Schumacher,1999-03-22,German
tsunoda,TSU,Yuki,Tsunoda,2000-05-11,Japanese
zhou,ZHO,Guanyu,Zhou,1999-05-30,Chinese
de_vries,DEV,Nyck,de Vries,1995-02-06,Dutch
lawson,LAW,Liam,Lawson,2002-02-11,New Zealander
piastri,PIA,Oscar,Piastri,2001-04-06,Australian
sargeant,SAR,Logan,Sargeant,2000-12-31,American
antonelli,ANT,Andrea Kimi,Antonelli,2006-08-25,Italian
bearman,BEA,Oliver,Bearman,2005-05-08,British
colapinto,COL,Franco,Colapinto,2003-05-27,Argentine
doohan,DOO,Jack,Doohan,2003-01-20,Australian
paul_aron,,Paul,Aron,,
dino_beganovic,,Dino,Beganovic,,
bortoleto,BOR,Gabriel,Bortoleto,2004-10-14,Brazilian
luke_browning,,Luke,Browning,,
jak_crawford,,Jak,Crawford,,
felipe_drugovich,,Felipe,Drugovich,,
alexander_dunne,,Alexander,Dunne,,
antonio_fuoco,,Antonio,Fuoco,,
hadjar,HAD,Isack,Hadjar,2004-09-28,French
ryo_hirakawa,,Ryo,Hirakawa,,
ayumu_iwasa,,Ayumu,Iwasa,,
arthur_leclerc,,Arthur,Leclerc,,
arvid_lindblad,LIN,Arvid,Lindblad,2007-08-08,British
victor_martins,,Victor,Martins,,
patricio_o_ward,,Patricio,O'Ward,,
cian_shields,,Cian,Shields,,
frederik_vesti,,Frederik,Vesti,,
