constructor_id,coef_rapm,target_definition,alpha,decay,season,round,race_name,race_order,n_train_rows,n_train_races
ferrari,1.8003476361147164,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
force_india,-0.68335182360869,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
haas,-0.7136492741508799,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
mclaren,0.10528652888453365,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
mercedes,2.0985743387595197,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
red_bull,1.3493654607564767,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
renault,0.32379657415074914,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
sauber,-1.3357106207491354,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
toro_rosso,-1.3185632247161032,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
williams,-1.6260955954411882,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
ferrari,2.056923897423621,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
force_india,-0.5627032230257102,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
haas,-1.073421876523271,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
mclaren,-0.06008099803751278,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
mercedes,2.231877970811713,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
red_bull,1.5138352509086621,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
renault,0.2928116220638669,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
sauber,-1.2853974409441384,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
toro_rosso,-1.1036832590979768,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
williams,-2.0101619435792544,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
ferrari,2.2187897210643013,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
force_india,-0.656003959498318,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
haas,-1.2014210072424651,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
mclaren,-0.2757164436081955,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
mercedes,2.3821255727795383,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
red_bull,1.7705133381378917,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
renault,0.38463430689007194,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
sauber,-1.371785625734821,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
toro_rosso,-1.0979419550894745,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
williams,-2.1531939476985316,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
ferrari,2.2790727395787975,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
force_india,-0.6638347370524343,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
haas,-1.058982831751654,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
mclaren,-0.36373449019808896,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
mercedes,2.4115043719308966,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
red_bull,1.963234189776187,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
renault,0.33645523427622553,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
sauber,-1.4227812171193346,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
toro_rosso,-1.236107518633378,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
williams,-2.2448257408072174,-finish_position,10.0,0.97,2018,9,Austrian Grand Prix,9,127,8
ferrari,2.346961999930945,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
force_india,-0.5165093458477915,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
haas,-0.7307439747203025,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
mclaren,-0.424978603354427,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
mercedes,2.3025540387700305,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
red_bull,2.034459326249787,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
renault,0.13734356426319796,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
sauber,-1.4128064181002706,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
toro_rosso,-1.3317704830978523,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
williams,-2.4045101040933172,-finish_position,10.0,0.97,2018,10,British Grand Prix,10,141,9
ferrari,2.471850585810757,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
force_india,-0.4838783352207089,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
haas,-0.7448137712868749,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
mclaren,-0.46944208357369777,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
mercedes,2.379931222396827,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
red_bull,2.000436056053072,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
renault,0.1775676034466796,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
sauber,-1.4236963100873874,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
toro_rosso,-1.4446165710498897,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
williams,-2.463338396488776,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
ferrari,2.483717314248565,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
force_india,-0.40325099266023123,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
haas,-0.6782032351004,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
mclaren,-0.5781072336640312,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
mercedes,2.5318901532334275,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
red_bull,2.010937458575977,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
renault,0.1437783343732026,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
sauber,-1.516772466883774,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
toro_rosso,-1.5359414370466296,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
williams,-2.4580478950761053,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
ferrari,2.6140078776829636,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
force_india,-0.6171915682546901,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
haas,-0.5903150591025831,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
mclaren,-0.5294430094213409,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
mercedes,2.629795038428621,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
red_bull,2.0653256382780167,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
renault,0.04116985800228222,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
sauber,-1.5901451678134093,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
toro_rosso,-1.3538552621599984,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
williams,-2.669348345639867,-finish_position,10.0,0.97,2018,13,Belgian Grand Prix,13,187,12
ferrari,2.648717981802918,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
force_india,-0.44111414587288955,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
haas,-0.5134707008832625,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
mclaren,-0.6969011641524709,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
mercedes,2.654203400277126,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
red_bull,2.0919581915771053,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
renault,-0.046979331896220416,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
sauber,-1.5790345154675225,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
toro_rosso,-1.4385148845502997,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
williams,-2.6788648308344816,-finish_position,10.0,0.97,2018,14,Italian Grand Prix,14,202,13
ferrari,2.7091562709350367,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
force_india,-0.30285947515920086,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
haas,-0.6756261965966658,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
mclaren,-0.7280226231364914,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
mercedes,2.7583137290038753,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
red_bull,2.0869719416289723,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
renault,-0.1549536179987274,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
sauber,-1.6739670817335188,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
toro_rosso,-1.5239575127078557,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
williams,-2.4950554342354265,-finish_position,10.0,0.97,2018,15,Singapore Grand Prix,15,218,14
ferrari,2.7835214792640537,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
force_india,-0.3804737813574774,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
haas,-0.9422085904880151,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
mclaren,-0.6426781972874975,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
mercedes,2.8996991532499448,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
red_bull,2.2101008374697173,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
renault,-0.09693155850334668,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
sauber,-1.5348422076640842,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
toro_rosso,-1.680921339586484,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
williams,-2.6152657950968123,-finish_position,10.0,0.97,2018,16,Russian Grand Prix,16,237,15
ferrari,2.860556080827794,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
force_india,-0.3389365571537296,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
haas,-0.8616533868929805,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
mclaren,-0.8769637453198553,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
mercedes,3.056770192831805,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
red_bull,2.230287568991106,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
renault,-0.30539379332737376,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
sauber,-1.4202401878643898,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
toro_rosso,-1.6133929515867107,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
williams,-2.7310332205056733,-finish_position,10.0,0.97,2018,17,Japanese Grand Prix,17,255,16
ferrari,2.8163772903919235,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
force_india,-0.2652103909804752,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
haas,-0.7806971182224768,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
mclaren,-1.0784673521853767,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
