driver_id,coef_rapm,target_definition,alpha,decay,season,round,race_name,race_order,n_train_rows,n_train_races
alonso,0.47785229680866265,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
bottas,0.7841881733223537,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
brendon_hartley,-0.9682201286378558,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
ericsson,-0.6695197852964336,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
gasly,-0.35034309607824793,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
grosjean,-0.8916290876288945,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
hamilton,1.3143861654371674,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
hulkenberg,0.38180260169404817,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
kevin_magnussen,0.17797981347801475,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
leclerc,-0.6661908354527021,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
max_verstappen,0.5401395799379769,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
ocon,-0.38642865467439497,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
perez,-0.29692316893429527,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
raikkonen,0.85609823472375,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
ricciardo,0.8092258808184998,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
sainz,-0.05800602754329914,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
sirotkin,-0.9880978367278577,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
stroll,-0.6379977587133306,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
vandoorne,-0.37256576792412915,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
vettel,0.9442494013909649,-finish_position,10.0,0.97,2018,6,Monaco Grand Prix,6,78,5
alonso,0.5627931133547138,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
bottas,0.8102005147699384,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
brendon_hartley,-0.9653083401962025,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
ericsson,-0.6617149647874099,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
gasly,-0.13837491890177445,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
grosjean,-1.1392442480928577,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
hamilton,1.4216774560417746,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
hulkenberg,0.4018523889407066,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
kevin_magnussen,0.06582237156958734,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
leclerc,-0.6236824761567287,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
max_verstappen,0.35021627380884507,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
ocon,-0.11869966829549286,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
perez,-0.44400355473021724,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
raikkonen,0.9363072594969055,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
ricciardo,1.1636189770998169,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
sainz,-0.10904076687683985,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
sirotkin,-1.1746385569467424,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
stroll,-0.8355233866325115,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
vandoorne,-0.6228741113922266,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
vettel,1.120616637926716,-finish_position,10.0,0.97,2018,7,Canadian Grand Prix,7,95,6
alonso,0.6483539262792828,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
bottas,1.0055087185951677,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
brendon_hartley,-0.9172591327119205,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
ericsson,-0.8604579271972096,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
gasly,-0.18068282237755337,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
grosjean,-1.1356249958071816,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
hamilton,1.3766168541843722,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
hulkenberg,0.4600233861027255,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
kevin_magnussen,-0.06579601143528359,-finish_position,10.0,0.97,2018,8,French Grand Prix,8,112,7
