grid_position,qualifying_position,grid_penalty,recent_form_5,recent_form_3,driver_coef_rapm,driver_dnf_rate,driver_experience,driver_wins_total,constructor_coef_rapm,constructor_dnf_rate,constructor_wins_total,driver_constructor_synergy,circuit_type,track_complexity,altitude_m,tire_compound_start,avg_pit_stops_circuit,season_factor,weather_impact_factor,safety_car_flag
3,3,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
2,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
8,5,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
10,11,-1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
4,4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
7,8,-1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
15,10,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
11,12,-1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
9,9,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
12,13,-1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
14,15,-1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
18,18,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
13,14,-1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,0,0.0,2018,0.6819771923600386,1
16,16,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.3294793678980487,13,3,0.0,2018,0.6819771923600386,1
1,1,0,1.0,1.0,0.5600135842976796,0.0,1,1.0,0.9382090844198852,0.0,1.0,-1.0,0,0.3175015016222171,7,0,1.2,2018,0.1919403183786397,1
3,3,0,8.0,8.0,-0.0343918750667976,0.0,1,0.0,0.4766705023928255,0.0,0.0,-8.0,0,0.3175015016222171,7,0,1.2,2018,0.1919403183786397,1
9,4,5,2.0,2.0,0.5110623774596231,0.0,1,0.0,0.4766705023928255,0.0,0.0,-2.0,0,0.3175015016222171,7,3,1.2,2018,0.1919403183786397,1
5,6,-1,0.0,0.0,0.0,0.0,0,0.0,-0.5751451542025942,0.5,0.0,0.0,0,0.3175015016222171,7,0,1.2,2018,0.1919403183786397,1
6,7,-1,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.3175015016222171,7,0,1.2,2018,0.1919403183786397,1
7,8,-1,7.0,7.0,0.1054679748122329,0.0,1,0.0,-0.0617911766387444,0.0,0.0,-7.0,0,0.3175015016222171,7,0,1.2,2018,0.1919403183786397,1
13,13,0,5.0,5.0,0.2663071413628663,0.0,1,0.0,0.1689781143747855,0.0,0.0,-5.0,0,0.3175015016222171,7,3,1.2,2018,0.1919403183786397,1
14,14,0,9.0,9.0,-0.0973290269880808,0.0,1,0.0,0.1689781143747855,0.0,0.0,-9.0,0,0.3175015016222171,7,0,1.2,2018,0.1919403183786397,1
17,17,0,0.0,0.0,0.0,0.0,0,0.0,-0.4084596913145881,0.5,0.0,0.0,0,0.3175015016222171,7,3,1.2,2018,0.1919403183786397,1
8,9,-1,12.0,12.0,-0.3071194003767705,0.0,1,0.0,-0.5233297586658042,0.0,0.0,-12.0,0,0.3175015016222171,7,0,1.2,2018,0.1919403183786397,1
10,10,0,10.0,10.0,-0.1672591514509774,0.0,1,0.0,-0.0617911766387444,0.0,0.0,-10.0,0,0.3175015016222171,7,0,1.2,2018,0.1919403183786397,1
19,19,0,13.0,13.0,-0.4084596913145881,0.0,1,0.0,-0.4084596913145881,0.5,0.0,-13.0,0,0.3175015016222171,7,3,1.2,2018,0.1919403183786397,1
16,16,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.3175015016222171,7,0,1.2,2018,0.1919403183786397,1
20,20,0,14.0,14.0,-0.4918024227585911,0.0,1,0.0,-0.4918024227585911,0.5,0.0,-14.0,0,0.3175015016222171,7,3,1.2,2018,0.1919403183786397,1
18,18,0,0.0,0.0,0.0,0.0,0,0.0,-0.4918024227585911,0.5,0.0,0.0,0,0.3175015016222171,7,3,1.2,2018,0.1919403183786397,1
12,12,0,11.0,11.0,-0.2162103582890337,0.0,1,0.0,-0.5233297586658042,0.0,0.0,-11.0,0,0.3175015016222171,7,3,1.2,2018,0.1919403183786397,1
