RaceID,season,round,driver_id,constructor_id,finish_position
vettel_2018_1,2018,1,vettel,ferrari,1
hamilton_2018_1,2018,1,hamilton,mercedes,2
raikkonen_2018_1,2018,1,raikkonen,ferrari,3
ricciardo_2018_1,2018,1,ricciardo,red_bull,4
alonso_2018_1,2018,1,alonso,mclaren,5
max_verstappen_2018_1,2018,1,max_verstappen,red_bull,6
hulkenberg_2018_1,2018,1,hulkenberg,renault,7
bottas_2018_1,2018,1,bottas,mercedes,8
vandoorne_2018_1,2018,1,vandoorne,mclaren,9
sainz_2018_1,2018,1,sainz,renault,10
perez_2018_1,2018,1,perez,force_india,11
ocon_2018_1,2018,1,ocon,force_india,12
leclerc_2018_1,2018,1,leclerc,sauber,13
stroll_2018_1,2018,1,stroll,williams,14
brendon_hartley_2018_1,2018,1,brendon_hartley,toro_rosso,15
vettel_2018_2,2018,2,vettel,ferrari,1
bottas_2018_2,2018,2,bottas,mercedes,2
hamilton_2018_2,2018,2,hamilton,mercedes,3
gasly_2018_2,2018,2,gasly,toro_rosso,4
kevin_magnussen_2018_2,2018,2,kevin_magnussen,haas,5
hulkenberg_2018_2,2018,2,hulkenberg,renault,6
alonso_2018_2,2018,2,alonso,mclaren,7
vandoorne_2018_2,2018,2,vandoorne,mclaren,8
ericsson_2018_2,2018,2,ericsson,sauber,9
ocon_2018_2,2018,2,ocon,force_india,10
sainz_2018_2,2018,2,sainz,renault,11
leclerc_2018_2,2018,2,leclerc,sauber,12
grosjean_2018_2,2018,2,grosjean,haas,13
stroll_2018_2,2018,2,stroll,williams,14
sirotkin_2018_2,2018,2,sirotkin,williams,15
perez_2018_2,2018,2,perez,force_india,16
brendon_hartley_2018_2,2018,2,brendon_hartley,toro_rosso,17
ricciardo_2018_3,2018,3,ricciardo,red_bull,1
bottas_2018_3,2018,3,bottas,mercedes,2
raikkonen_2018_3,2018,3,raikkonen,ferrari,3
hamilton_2018_3,2018,3,hamilton,mercedes,4
max_verstappen_2018_3,2018,3,max_verstappen,red_bull,5
hulkenberg_2018_3,2018,3,hulkenberg,renault,6
alonso_2018_3,2018,3,alonso,mclaren,7
vettel_2018_3,2018,3,vettel,ferrari,8
sainz_2018_3,2018,3,sainz,renault,9
kevin_magnussen_2018_3,2018,3,kevin_magnussen,haas,10
ocon_2018_3,2018,3,ocon,force_india,11
perez_2018_3,2018,3,perez,force_india,12
vandoorne_2018_3,2018,3,vandoorne,mclaren,13
stroll_2018_3,2018,3,stroll,williams,14
sirotkin_2018_3,2018,3,sirotkin,williams,15
ericsson_2018_3,2018,3,ericsson,sauber,16
grosjean_2018_3,2018,3,grosjean,haas,17
gasly_2018_3,2018,3,gasly,toro_rosso,18
leclerc_2018_3,2018,3,leclerc,sauber,19
hamilton_2018_4,2018,4,hamilton,mercedes,1
raikkonen_2018_4,2018,4,raikkonen,ferrari,2
perez_2018_4,2018,4,perez,force_india,3
vettel_2018_4,2018,4,vettel,ferrari,4
sainz_2018_4,2018,4,sainz,renault,5
leclerc_2018_4,2018,4,leclerc,sauber,6
alonso_2018_4,2018,4,alonso,mclaren,7
stroll_2018_4,2018,4,stroll,williams,8
vandoorne_2018_4,2018,4,vandoorne,mclaren,9
brendon_hartley_2018_4,2018,4,brendon_hartley,toro_rosso,10
ericsson_2018_4,2018,4,ericsson,sauber,11
gasly_2018_4,2018,4,gasly,toro_rosso,12
kevin_magnussen_2018_4,2018,4,kevin_magnussen,haas,13
hamilton_2018_5,2018,5,hamilton,mercedes,1
bottas_2018_5,2018,5,bottas,mercedes,2
max_verstappen_2018_5,2018,5,max_verstappen,red_bull,3
vettel_2018_5,2018,5,vettel,ferrari,4
ricciardo_2018_5,2018,5,ricciardo,red_bull,5
kevin_magnussen_2018_5,2018,5,kevin_magnussen,haas,6
sainz_2018_5,2018,5,sainz,renault,7
alonso_2018_5,2018,5,alonso,mclaren,8
perez_2018_5,2018,5,perez,force_india,9
leclerc_2018_5,2018,5,leclerc,sauber,10
stroll_2018_5,2018,5,stroll,williams,11
brendon_hartley_2018_5,2018,5,brendon_hartley,toro_rosso,12
ericsson_2018_5,2018,5,ericsson,sauber,13
sirotkin_2018_5,2018,5,sirotkin,williams,14
ricciardo_2018_6,2018,6,ricciardo,red_bull,1
vettel_2018_6,2018,6,vettel,ferrari,2
hamilton_2018_6,2018,6,hamilton,mercedes,3
raikkonen_2018_6,2018,6,raikkonen,ferrari,4
bottas_2018_6,2018,6,bottas,mercedes,5
ocon_2018_6,2018,6,ocon,force_india,6
gasly_2018_6,2018,6,gasly,toro_rosso,7
hulkenberg_2018_6,2018,6,hulkenberg,renault,8
max_verstappen_2018_6,2018,6,max_verstappen,red_bull,9
sainz_2018_6,2018,6,sainz,renault,10
ericsson_2018_6,2018,6,ericsson,sauber,11
perez_2018_6,2018,6,perez,force_india,12
kevin_magnussen_2018_6,2018,6,kevin_magnussen,haas,13
vandoorne_2018_6,2018,6,vandoorne,mclaren,14
grosjean_2018_6,2018,6,grosjean,haas,15
sirotkin_2018_6,2018,6,sirotkin,williams,16
stroll_2018_6,2018,6,stroll,williams,17
vettel_2018_7,2018,7,vettel,ferrari,1
bottas_2018_7,2018,7,bottas,mercedes,2
max_verstappen_2018_7,2018,7,max_verstappen,red_bull,3
ricciardo_2018_7,2018,7,ricciardo,red_bull,4
hamilton_2018_7,2018,7,hamilton,mercedes,5
raikkonen_2018_7,2018,7,raikkonen,ferrari,6
hulkenberg_2018_7,2018,7,hulkenberg,renault,7
sainz_2018_7,2018,7,sainz,renault,8
ocon_2018_7,2018,7,ocon,force_india,9
leclerc_2018_7,2018,7,leclerc,sauber,10
gasly_2018_7,2018,7,gasly,toro_rosso,11
grosjean_2018_7,2018,7,grosjean,haas,12
kevin_magnussen_2018_7,2018,7,kevin_magnussen,haas,13
perez_2018_7,2018,7,perez,force_india,14
ericsson_2018_7,2018,7,ericsson,sauber,15
vandoorne_2018_7,2018,7,vandoorne,mclaren,16
sirotkin_2018_7,2018,7,sirotkin,williams,17
hamilton_2018_8,2018,8,hamilton,mercedes,1
max_verstappen_2018_8,2018,8,max_verstappen,red_bull,2
raikkonen_2018_8,2018,8,raikkonen,ferrari,3
ricciardo_2018_8,2018,8,ricciardo,red_bull,4
vettel_2018_8,2018,8,vettel,ferrari,5
kevin_magnussen_2018_8,2018,8,kevin_magnussen,haas,6
bottas_2018_8,2018,8,bottas,mercedes,7
sainz_2018_8,2018,8,sainz,renault,8
hulkenberg_2018_8,2018,8,hulkenberg,renault,9
leclerc_2018_8,2018,8,leclerc,sauber,10
grosjean_2018_8,2018,8,grosjean,haas,11
vandoorne_2018_8,2018,8,vandoorne,mclaren,12
ericsson_2018_8,2018,8,ericsson,sauber,13
brendon_hartley_2018_8,2018,8,brendon_hartley,toro_rosso,14
sirotkin_2018_8,2018,8,sirotkin,williams,15
max_verstappen_2018_9,2018,9,max_verstappen,red_bull,1
raikkonen_2018_9,2018,9,raikkonen,ferrari,2
vettel_2018_9,2018,9,vettel,ferrari,3
grosjean_2018_9,2018,9,grosjean,haas,4
kevin_magnussen_2018_9,2018,9,kevin_magnussen,haas,5
ocon_2018_9,2018,9,ocon,force_india,6
perez_2018_9,2018,9,perez,force_india,7
alonso_2018_9,2018,9,alonso,mclaren,8
leclerc_2018_9,2018,9,leclerc,sauber,9
ericsson_2018_9,2018,9,ericsson,sauber,10
gasly_2018_9,2018,9,gasly,toro_rosso,11
sainz_2018_9,2018,9,sainz,renault,12
sirotkin_2018_9,2018,9,sirotkin,williams,13
stroll_2018_9,2018,9,stroll,williams,14
vettel_2018_10,2018,10,vettel,ferrari,1
hamilton_2018_10,2018,10,hamilton,mercedes,2
raikkonen_2018_10,2018,10,raikkonen,ferrari,3
bottas_2018_10,2018,10,bottas,mercedes,4
ricciardo_2018_10,2018,10,ricciardo,red_bull,5
hulkenberg_2018_10,2018,10,hulkenberg,renault,6
ocon_2018_10,2018,10,ocon,force_india,7
alonso_2018_10,2018,10,alonso,mclaren,8
kevin_magnussen_2018_10,2018,10,kevin_magnussen,haas,9
perez_2018_10,2018,10,perez,force_india,10
vandoorne_2018_10,2018,10,vandoorne,mclaren,11
stroll_2018_10,2018,10,stroll,williams,12
gasly_2018_10,2018,10,gasly,toro_rosso,13
sirotkin_2018_10,2018,10,sirotkin,williams,14
hamilton_2018_11,2018,11,hamilton,mercedes,1
bottas_2018_11,2018,11,bottas,mercedes,2
raikkonen_2018_11,2018,11,raikkonen,ferrari,3
max_verstappen_2018_11,2018,11,max_verstappen,red_bull,4
hulkenberg_2018_11,2018,11,hulkenberg,renault,5
grosjean_2018_11,2018,11,grosjean,haas,6
perez_2018_11,2018,11,perez,force_india,7
ocon_2018_11,2018,11,ocon,force_india,8
ericsson_2018_11,2018,11,ericsson,sauber,9
brendon_hartley_2018_11,2018,11,brendon_hartley,toro_rosso,10
kevin_magnussen_2018_11,2018,11,kevin_magnussen,haas,11
sainz_2018_11,2018,11,sainz,renault,12
vandoorne_2018_11,2018,11,vandoorne,mclaren,13
gasly_2018_11,2018,11,gasly,toro_rosso,14
