season,round,driver_id,grid_position,finish_position,status,points,laps,RaceID,grid_position_zero_flag,fastf1_laps_count,fastf1_avg_lap_time,fastf1_best_lap_time,fastf1_avg_sector1,fastf1_avg_sector2,fastf1_avg_sector3,fastf1_first_compound,fastf1_main_compound,fastf1_max_tyre_life,fastf1_stints_count,fastf1_pit_in_count,fastf1_pit_out_count,status_normalizado,dnf_categoria,is_dnf,dnf_flag,dnf_driver_flag,dnf_car_flag,dnf_other_flag,compound_normalizado,compound_ordinal,circuito_70th Anniversary Grand Prix,circuito_Abu Dhabi Grand Prix,circuito_Australian Grand Prix,circuito_Austrian Grand Prix,circuito_Azerbaijan Grand Prix,circuito_Bahrain Grand Prix,circuito_Belgian Grand Prix,circuito_Brazilian Grand Prix,circuito_British Grand Prix,circuito_Canadian Grand Prix,circuito_Chinese Grand Prix,circuito_Dutch Grand Prix,circuito_Eifel Grand Prix,circuito_Emilia Romagna Grand Prix,circuito_French Grand Prix,circuito_German Grand Prix,circuito_Hungarian Grand Prix,circuito_Italian Grand Prix,circuito_Japanese Grand Prix,circuito_Las Vegas Grand Prix,circuito_Mexican Grand Prix,circuito_Mexico City Grand Prix,circuito_Miami Grand Prix,circuito_Monaco Grand Prix,circuito_Portuguese Grand Prix,circuito_Qatar Grand Prix,circuito_Russian Grand Prix,circuito_Sakhir Grand Prix,circuito_Saudi Arabian Grand Prix,circuito_Singapore Grand Prix,circuito_Spanish Grand Prix,circuito_Styrian Grand Prix,circuito_São Paulo Grand Prix,circuito_Turkish Grand Prix,circuito_Tuscan Grand Prix,circuito_United States Grand Prix,constructor_alfa,constructor_alphatauri,constructor_alpine,constructor_aston_martin,constructor_ferrari,constructor_force_india,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_racing_point,constructor_rb,constructor_red_bull,constructor_renault,constructor_sauber,constructor_toro_rosso,constructor_williams,circuito_derivado,fastf1_laps_count_zscore,fastf1_avg_lap_time_zscore,fastf1_best_lap_time_zscore,fastf1_avg_sector1_zscore,fastf1_avg_sector2_zscore,fastf1_avg_sector3_zscore,fastf1_max_tyre_life_zscore,fastf1_stints_count_zscore,fastf1_pit_in_count_zscore,fastf1_pit_out_count_zscore,grid_position_minmax,laps_minmax,safety_car_flag,outlier_flag,outlier_colunas,status_falha_mecanica_flag,outlier_tipo,outlier_legitimo_flag,outlier_espurio_flag
2018,4,ericsson,18,11,Finished,0.0,51,ericsson_2018_4,0,51.0,118.32676086956522,107.925,43.78086,48.515647058823525,29.80596078431373,SOFT,ULTRASOFT,18.0,4.0,4.0,4.0,finished,classificado,False,0,0,0,0,SOFT,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Azerbaijan Grand Prix,-0.6806036349876567,1.4759405933188854,1.1308115105756544,2.2427778707891566,1.4416299860401705,0.1037643761449149,-1.5154815966571966,1.2177373943419831,1.654277643751206,1.5849899966989258,0.9,0.5813953488372092,0,1,fastf1_avg_lap_time;,0,outlier_espurio,0,1
2020,1,hamilton,5,4,Finished,12.0,71,hamilton_2020_1,0,66.0,77.40769696969697,67.712,19.190375,34.37712307692308,23.935815384615385,SOFT,HARD,45.0,3.0,2.0,2.0,finished,classificado,False,0,0,0,0,SOFT,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Austrian Grand Prix,0.004414804522995,-1.0012107287356204,-1.268392780030139,-1.470686743931923,-0.2505948069959975,-0.6972517730678068,1.1318330718805514,0.1866843304979157,-0.0358242679379436,-0.0640268011856944,0.25,0.813953488372093,0,1,fastf1_avg_sector2;,0,outlier_espurio,0,1
2020,1,latifi,20,11,Finished,0.0,71,latifi_2020_1,0,67.0,77.66481818181818,69.662,19.76953846153846,34.02051515151515,23.8114696969697,MEDIUM,HARD,25.0,4.0,3.0,3.0,finished,classificado,False,0,0,0,0,MEDIUM,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Austrian Grand Prix,0.0500827004903718,-0.9856451685827072,-1.152051090360597,-1.3832259630419792,-0.2932768276610269,-0.714219479505585,-0.8291407566659286,1.2177373943419831,0.8092266879066312,0.7604815977566157,1.0,0.813953488372093,0,1,fastf1_avg_sector1;,0,outlier_espurio,0,1
2020,3,latifi,15,19,+5 Laps,0.0,65,latifi_2020_3,0,65.0,87.787921875,81.198,32.676,31.85221538461538,24.91696923076924,INTERMEDIATE,MEDIUM,27.0,6.0,5.0,5.0,+5 laps,classificado,False,0,0,0,0,INTERMEDIATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Hungarian Grand Prix,-0.0412530914443816,-0.3728144411197328,-0.4637855867565781,0.5658079101953938,-0.5527983045124686,-0.563367512607785,-0.6330433738112806,3.2798435220301183,2.499328599595781,2.409498395641236,0.75,0.7441860465116279,0,1,fastf1_avg_sector1;,0,outlier_espurio,0,1
2020,17,pietro_fittipaldi,17,19,+2 Laps,0.0,53,pietro_fittipaldi_2020_17,0,53.0,108.36032692307693,101.707,20.23476923076923,45.50643396226415,43.58066037735849,MEDIUM,HARD,24.0,4.0,3.0,3.0,+2 laps,classificado,False,0,0,0,0,MEDIUM,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Abu Dhabi Grand Prix,-0.5892678430529031,0.8725943123011547,0.7598306765422115,-1.3129704150437216,1.0814604933798455,1.9834038183212133,-0.9271894480932524,1.2177373943419831,0.8092266879066312,0.7604815977566157,0.8500000000000001,0.6046511627906976,0,1,fastf1_avg_sector1;,0,outlier_espurio,0,1
2021,8,stroll,9,8,+1 Lap,4.0,70,stroll_2021_8,0,70.0,72.19070588235294,69.787,20.036757575757576,31.55754411764706,21.61708695652174,SOFT,HARD,42.0,2.0,1.0,1.0,+1 lap,classificado,False,0,0,0,0,SOFT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Styrian Grand Prix,0.1870863883925022,-1.3170360467532802,-1.1445932897407545,-1.3428726017711543,-0.5880671928630153,-1.013656016928118,0.8376869975985795,-0.8443687333461517,-0.8808752237825185,-0.8885352001280047,0.45,0.8023255813953488,0,1,fastf1_avg_sector1;,0,outlier_espurio,0,1
2021,12,max_verstappen,1,1,Finished,12.5,1,max_verstappen_2021_12,0,3.0,207.071,207.071,53.2165,94.087,54.76333333333333,WET,WET,4.0,1.0,1.0,1.0,finished,classificado,False,0,0,0,0,WET,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Belgian Grand Prix,-2.8726626414217424,6.848324229088851,7.046100312614847,3.66767515350834,6.896016412656024,3.5093458553890717,-2.8881632766397325,-1.8754217971902192,-0.8808752237825185,-0.8885352001280047,0.05,0.0,0,1,fastf1_avg_sector2;,0,outlier_espurio,0,1
2021,12,russell,2,2,Finished,9.0,1,russell_2021_12,0,3.0,209.066,209.066,53.277,93.943,55.04433333333333,WET,WET,3.0,1.0,1.0,1.0,finished,classificado,False,0,0,0,0,WET,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Belgian Grand Prix,-2.8726626414217424,6.969097199350144,7.165126810507533,3.676811394993232,6.878781206880006,3.547689971693301,-2.9862119680670567,-1.8754217971902192,-0.8808752237825185,-0.8885352001280047,0.1,0.0,0,1,fastf1_avg_sector2;,0,outlier_espurio,0,1
2021,12,hamilton,3,3,Finished,7.5,1,hamilton_2021_12,0,3.0,209.672,209.672,54.5615,93.444,55.20433333333333,UNKNOWN,UNKNOWN,3.0,1.0,1.0,1.0,finished,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Belgian Grand Prix,-2.8726626414217424,7.005783124151319,7.201282227912529,3.870786637759254,6.819056431308947,3.5695229204786285,-2.9862119680670567,-1.8754217971902192,-0.8808752237825185,-0.8885352001280047,0.15,0.0,0,1,fastf1_avg_sector2;,0,outlier_espurio,0,1
2021,12,ricciardo,4,4,Finished,6.0,1,ricciardo_2021_12,0,3.0,211.567,211.567,54.6455,92.78233333333333,56.34966666666667,UNKNOWN,UNKNOWN,3.0,1.0,1.0,1.0,finished,classificado,False,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Belgian Grand Prix,-2.8726626414217424,7.120502311442121,7.314342485309341,3.883471667258939,6.739862256620533,3.7258104455335936,-2.9862119680670567,-1.8754217971902192,-0.8808752237825185,-0.8885352001280047,0.2,0.0,0,1,fastf1_avg_sector2;,0,outlier_espurio,0,1
