season,round,race_name,driver_id,constructor,grid_position,finish_position,status,points
2018,1,Australian Grand Prix,vettel,Ferrari,3,1,Finished,25
2018,1,Australian Grand Prix,hamilton,Mercedes,1,2,Finished,18
2018,1,Australian Grand Prix,raikkonen,Ferrari,2,3,Finished,15
2018,1,Australian Grand Prix,ricciardo,Red Bull,8,4,Finished,12
2018,1,Australian Grand Prix,alonso,McLaren,10,5,Finished,10
2018,1,Australian Grand Prix,max_verstappen,Red Bull,4,6,Finished,8
2018,1,Australian Grand Prix,hulkenberg,Renault,7,7,Finished,6
2018,1,Australian Grand Prix,bottas,Mercedes,15,8,Finished,4
2018,1,Australian Grand Prix,vandoorne,McLaren,11,9,Finished,2
2018,1,Australian Grand Prix,sainz,Renault,9,10,Finished,1
2018,1,Australian Grand Prix,perez,Force India,12,11,Finished,0
2018,1,Australian Grand Prix,ocon,Force India,14,12,Finished,0
2018,1,Australian Grand Prix,leclerc,Sauber,18,13,Finished,0
2018,1,Australian Grand Prix,stroll,Williams,13,14,Finished,0
2018,1,Australian Grand Prix,brendon_hartley,Toro Rosso,16,15,+1 Lap,0
2018,1,Australian Grand Prix,grosjean,Haas F1 Team,6,16,Wheel,0
2018,1,Australian Grand Prix,kevin_magnussen,Haas F1 Team,5,17,Wheel,0
2018,1,Australian Grand Prix,gasly,Toro Rosso,20,18,Engine,0
2018,1,Australian Grand Prix,ericsson,Sauber,17,19,Steering,0
2018,1,Australian Grand Prix,sirotkin,Williams,19,20,Brakes,0
2018,2,Bahrain Grand Prix,vettel,Ferrari,1,1,Finished,25
2018,2,Bahrain Grand Prix,bottas,Mercedes,3,2,Finished,18
2018,2,Bahrain Grand Prix,hamilton,Mercedes,9,3,Finished,15
2018,2,Bahrain Grand Prix,gasly,Toro Rosso,5,4,Finished,12
2018,2,Bahrain Grand Prix,kevin_magnussen,Haas F1 Team,6,5,Finished,10
2018,2,Bahrain Grand Prix,hulkenberg,Renault,7,6,Finished,8
2018,2,Bahrain Grand Prix,alonso,McLaren,13,7,+1 Lap,6
2018,2,Bahrain Grand Prix,vandoorne,McLaren,14,8,+1 Lap,4
2018,2,Bahrain Grand Prix,ericsson,Sauber,17,9,+1 Lap,2
2018,2,Bahrain Grand Prix,ocon,Force India,8,10,+1 Lap,1
2018,2,Bahrain Grand Prix,sainz,Renault,10,11,+1 Lap,0
2018,2,Bahrain Grand Prix,leclerc,Sauber,19,12,+1 Lap,0
2018,2,Bahrain Grand Prix,grosjean,Haas F1 Team,16,13,+1 Lap,0
2018,2,Bahrain Grand Prix,stroll,Williams,20,14,+1 Lap,0
2018,2,Bahrain Grand Prix,sirotkin,Williams,18,15,+1 Lap,0
2018,2,Bahrain Grand Prix,perez,Force India,12,16,+1 Lap,0
2018,2,Bahrain Grand Prix,brendon_hartley,Toro Rosso,11,17,+1 Lap,0
2018,2,Bahrain Grand Prix,raikkonen,Ferrari,2,18,Wheel,0
2018,2,Bahrain Grand Prix,max_verstappen,Red Bull,15,19,Puncture,0
2018,2,Bahrain Grand Prix,ricciardo,Red Bull,4,20,Electrical,0
2018,3,Chinese Grand Prix,ricciardo,Red Bull,6,1,Finished,25
2018,3,Chinese Grand Prix,bottas,Mercedes,3,2,Finished,18
2018,3,Chinese Grand Prix,raikkonen,Ferrari,2,3,Finished,15
2018,3,Chinese Grand Prix,hamilton,Mercedes,4,4,Finished,12
2018,3,Chinese Grand Prix,max_verstappen,Red Bull,5,5,Finished,10
2018,3,Chinese Grand Prix,hulkenberg,Renault,7,6,Finished,8
2018,3,Chinese Grand Prix,alonso,McLaren,13,7,Finished,6
2018,3,Chinese Grand Prix,vettel,Ferrari,1,8,Finished,4
2018,3,Chinese Grand Prix,sainz,Renault,9,9,Finished,2
2018,3,Chinese Grand Prix,kevin_magnussen,Haas F1 Team,11,10,Finished,1
2018,3,Chinese Grand Prix,ocon,Force India,12,11,Finished,0
2018,3,Chinese Grand Prix,perez,Force India,8,12,Finished,0
2018,3,Chinese Grand Prix,vandoorne,McLaren,14,13,Finished,0
2018,3,Chinese Grand Prix,stroll,Williams,18,14,Finished,0
2018,3,Chinese Grand Prix,sirotkin,Williams,16,15,Finished,0
2018,3,Chinese Grand Prix,ericsson,Sauber,20,16,Finished,0
2018,3,Chinese Grand Prix,grosjean,Haas F1 Team,10,17,Finished,0
2018,3,Chinese Grand Prix,gasly,Toro Rosso,17,18,Finished,0
2018,3,Chinese Grand Prix,leclerc,Sauber,19,19,Finished,0
2018,3,Chinese Grand Prix,brendon_hartley,Toro Rosso,15,20,Collision damage,0
2018,4,Azerbaijan Grand Prix,hamilton,Mercedes,2,1,Finished,25
2018,4,Azerbaijan Grand Prix,raikkonen,Ferrari,6,2,Finished,18
2018,4,Azerbaijan Grand Prix,perez,Force India,8,3,Finished,15
2018,4,Azerbaijan Grand Prix,vettel,Ferrari,1,4,Finished,12
2018,4,Azerbaijan Grand Prix,sainz,Renault,9,5,Finished,10
2018,4,Azerbaijan Grand Prix,leclerc,Sauber,13,6,Finished,8
2018,4,Azerbaijan Grand Prix,alonso,McLaren,12,7,Finished,6
2018,4,Azerbaijan Grand Prix,stroll,Williams,10,8,Finished,4
2018,4,Azerbaijan Grand Prix,vandoorne,McLaren,16,9,Finished,2
2018,4,Azerbaijan Grand Prix,brendon_hartley,Toro Rosso,19,10,Finished,1
2018,4,Azerbaijan Grand Prix,ericsson,Sauber,18,11,Finished,0
2018,4,Azerbaijan Grand Prix,gasly,Toro Rosso,17,12,Finished,0
2018,4,Azerbaijan Grand Prix,kevin_magnussen,Haas F1 Team,15,13,Finished,0
2018,4,Azerbaijan Grand Prix,bottas,Mercedes,3,14,Puncture,0
2018,4,Azerbaijan Grand Prix,grosjean,Haas F1 Team,20,15,Accident,0
2018,4,Azerbaijan Grand Prix,max_verstappen,Red Bull,5,16,Collision,0
2018,4,Azerbaijan Grand Prix,ricciardo,Red Bull,4,17,Collision,0
2018,4,Azerbaijan Grand Prix,hulkenberg,Renault,14,18,Accident,0
2018,4,Azerbaijan Grand Prix,ocon,Force India,7,19,Collision,0
2018,4,Azerbaijan Grand Prix,sirotkin,Williams,11,20,Collision,0
2018,5,Spanish Grand Prix,hamilton,Mercedes,1,1,Finished,25
2018,5,Spanish Grand Prix,bottas,Mercedes,2,2,Finished,18
2018,5,Spanish Grand Prix,max_verstappen,Red Bull,5,3,Finished,15
2018,5,Spanish Grand Prix,vettel,Ferrari,3,4,Finished,12
2018,5,Spanish Grand Prix,ricciardo,Red Bull,6,5,Finished,10
2018,5,Spanish Grand Prix,kevin_magnussen,Haas F1 Team,7,6,+1 Lap,8
2018,5,Spanish Grand Prix,sainz,Renault,9,7,+1 Lap,6
2018,5,Spanish Grand Prix,alonso,McLaren,8,8,+1 Lap,4
2018,5,Spanish Grand Prix,perez,Force India,15,9,+2 Laps,2
2018,5,Spanish Grand Prix,leclerc,Sauber,14,10,+2 Laps,1
2018,5,Spanish Grand Prix,stroll,Williams,18,11,+2 Laps,0
2018,5,Spanish Grand Prix,brendon_hartley,Toro Rosso,20,12,+2 Laps,0
2018,5,Spanish Grand Prix,ericsson,Sauber,17,13,+2 Laps,0
2018,5,Spanish Grand Prix,sirotkin,Williams,19,14,+3 Laps,0
2018,5,Spanish Grand Prix,vandoorne,McLaren,11,15,Gearbox,0
2018,5,Spanish Grand Prix,ocon,Force India,13,16,Oil leak,0
2018,5,Spanish Grand Prix,raikkonen,Ferrari,4,17,Turbo,0
2018,5,Spanish Grand Prix,grosjean,Haas F1 Team,10,18,Collision,0
2018,5,Spanish Grand Prix,gasly,Toro Rosso,12,19,Collision,0
2018,5,Spanish Grand Prix,hulkenberg,Renault,16,20,Collision,0
2018,6,Monaco Grand Prix,ricciardo,Red Bull,1,1,Finished,25
2018,6,Monaco Grand Prix,vettel,Ferrari,2,2,Finished,18
2018,6,Monaco Grand Prix,hamilton,Mercedes,3,3,Finished,15
2018,6,Monaco Grand Prix,raikkonen,Ferrari,4,4,Finished,12
2018,6,Monaco Grand Prix,bottas,Mercedes,5,5,Finished,10
2018,6,Monaco Grand Prix,ocon,Force India,6,6,Finished,8
2018,6,Monaco Grand Prix,gasly,Toro Rosso,10,7,Finished,6
2018,6,Monaco Grand Prix,hulkenberg,Renault,11,8,Finished,4
2018,6,Monaco Grand Prix,max_verstappen,Red Bull,20,9,Finished,2
2018,6,Monaco Grand Prix,sainz,Renault,8,10,Finished,1
2018,6,Monaco Grand Prix,ericsson,Sauber,16,11,Finished,0
2018,6,Monaco Grand Prix,perez,Force India,9,12,Finished,0
2018,6,Monaco Grand Prix,kevin_magnussen,Haas F1 Team,19,13,Finished,0
2018,6,Monaco Grand Prix,vandoorne,McLaren,12,14,+1 Lap,0
2018,6,Monaco Grand Prix,grosjean,Haas F1 Team,18,15,+1 Lap,0
2018,6,Monaco Grand Prix,sirotkin,Williams,13,16,+1 Lap,0
2018,6,Monaco Grand Prix,stroll,Williams,17,17,+2 Laps,0
2018,6,Monaco Grand Prix,leclerc,Sauber,14,18,Collision,0
2018,6,Monaco Grand Prix,brendon_hartley,Toro Rosso,15,19,Collision,0
2018,6,Monaco Grand Prix,alonso,McLaren,7,20,Gearbox,0
2018,7,Canadian Grand Prix,vettel,Ferrari,1,1,Finished,25
2018,7,Canadian Grand Prix,bottas,Mercedes,2,2,Finished,18
2018,7,Canadian Grand Prix,max_verstappen,Red Bull,3,3,Finished,15
2018,7,Canadian Grand Prix,ricciardo,Red Bull,6,4,Finished,12
2018,7,Canadian Grand Prix,hamilton,Mercedes,4,5,Finished,10
2018,7,Canadian Grand Prix,raikkonen,Ferrari,5,6,Finished,8
2018,7,Canadian Grand Prix,hulkenberg,Renault,7,7,+1 Lap,6
2018,7,Canadian Grand Prix,sainz,Renault,9,8,+1 Lap,4
2018,7,Canadian Grand Prix,ocon,Force India,8,9,+1 Lap,2
2018,7,Canadian Grand Prix,leclerc,Sauber,13,10,+1 Lap,1
2018,7,Canadian Grand Prix,gasly,Toro Rosso,16,11,+1 Lap,0
2018,7,Canadian Grand Prix,grosjean,Haas F1 Team,20,12,+1 Lap,0
2018,7,Canadian Grand Prix,kevin_magnussen,Haas F1 Team,11,13,+1 Lap,0
2018,7,Canadian Grand Prix,perez,Force India,10,14,+1 Lap,0
2018,7,Canadian Grand Prix,ericsson,Sauber,19,15,+2 Laps,0
2018,7,Canadian Grand Prix,vandoorne,McLaren,15,16,+2 Laps,0
2018,7,Canadian Grand Prix,sirotkin,Williams,18,17,+2 Laps,0
2018,7,Canadian Grand Prix,alonso,McLaren,14,18,Exhaust,0
2018,7,Canadian Grand Prix,brendon_hartley,Toro Rosso,12,19,Collision,0
2018,7,Canadian Grand Prix,stroll,Williams,17,20,Collision,0
2018,8,French Grand Prix,hamilton,Mercedes,1,1,Finished,25
2018,8,French Grand Prix,max_verstappen,Red Bull,4,2,Finished,18
2018,8,French Grand Prix,raikkonen,Ferrari,6,3,Finished,15
2018,8,French Grand Prix,ricciardo,Red Bull,5,4,Finished,12
2018,8,French Grand Prix,vettel,Ferrari,3,5,Finished,10
2018,8,French Grand Prix,kevin_magnussen,Haas F1 Team,9,6,Finished,8
2018,8,French Grand Prix,bottas,Mercedes,2,7,Finished,6
2018,8,French Grand Prix,sainz,Renault,7,8,Finished,4
2018,8,French Grand Prix,hulkenberg,Renault,12,9,Finished,2
2018,8,French Grand Prix,leclerc,Sauber,8,10,Finished,1
2018,8,French Grand Prix,grosjean,Haas F1 Team,10,11,+1 Lap,0
2018,8,French Grand Prix,vandoorne,McLaren,17,12,+1 Lap,0
2018,8,French Grand Prix,ericsson,Sauber,15,13,+1 Lap,0
2018,8,French Grand Prix,brendon_hartley,Toro Rosso,20,14,+1 Lap,0
2018,8,French Grand Prix,sirotkin,Williams,18,15,+1 Lap,0
2018,8,French Grand Prix,alonso,McLaren,16,16,Wheel,0
2018,8,French Grand Prix,stroll,Williams,19,17,Puncture,0
2018,8,French Grand Prix,perez,Force India,13,18,Engine,0
2018,8,French Grand Prix,ocon,Force India,11,19,Collision,0
2018,8,French Grand Prix,gasly,Toro Rosso,14,20,Collision,0
2018,9,Austrian Grand Prix,max_verstappen,Red Bull,4,1,Finished,25
2018,9,Austrian Grand Prix,raikkonen,Ferrari,3,2,Finished,18
2018,9,Austrian Grand Prix,vettel,Ferrari,6,3,Finished,15
2018,9,Austrian Grand Prix,grosjean,Haas F1 Team,5,4,+1 Lap,12
2018,9,Austrian Grand Prix,kevin_magnussen,Haas F1 Team,8,5,+1 Lap,10
2018,9,Austrian Grand Prix,ocon,Force India,11,6,+1 Lap,8
2018,9,Austrian Grand Prix,perez,Force India,16,7,+1 Lap,6
2018,9,Austrian Grand Prix,alonso,McLaren,13,8,+1 Lap,4
2018,9,Austrian Grand Prix,leclerc,Sauber,18,9,+1 Lap,2
2018,9,Austrian Grand Prix,ericsson,Sauber,20,10,+1 Lap,1
2018,9,Austrian Grand Prix,gasly,Toro Rosso,12,11,+1 Lap,0
2018,9,Austrian Grand Prix,sainz,Renault,9,12,+1 Lap,0
2018,9,Austrian Grand Prix,sirotkin,Williams,17,13,+2 Laps,0
2018,9,Austrian Grand Prix,stroll,Williams,14,14,+2 Laps,0
2018,9,Austrian Grand Prix,vandoorne,McLaren,15,15,Collision damage,0
2018,9,Austrian Grand Prix,hamilton,Mercedes,2,16,Fuel pressure,0
2018,9,Austrian Grand Prix,brendon_hartley,Toro Rosso,19,17,Hydraulics,0
2018,9,Austrian Grand Prix,ricciardo,Red Bull,7,18,Exhaust,0
2018,9,Austrian Grand Prix,bottas,Mercedes,1,19,Hydraulics,0
2018,9,Austrian Grand Prix,hulkenberg,Renault,10,20,Engine,0
2018,10,British Grand Prix,vettel,Ferrari,2,1,Finished,25
2018,10,British Grand Prix,hamilton,Mercedes,1,2,Finished,18
2018,10,British Grand Prix,raikkonen,Ferrari,3,3,Finished,15
2018,10,British Grand Prix,bottas,Mercedes,4,4,Finished,12
2018,10,British Grand Prix,ricciardo,Red Bull,6,5,Finished,10
2018,10,British Grand Prix,hulkenberg,Renault,11,6,Finished,8
2018,10,British Grand Prix,ocon,Force India,10,7,Finished,6
2018,10,British Grand Prix,alonso,McLaren,13,8,Finished,4
2018,10,British Grand Prix,kevin_magnussen,Haas F1 Team,7,9,Finished,2
2018,10,British Grand Prix,perez,Force India,12,10,Finished,1
2018,10,British Grand Prix,vandoorne,McLaren,17,11,Finished,0
2018,10,British Grand Prix,stroll,Williams,19,12,Finished,0
2018,10,British Grand Prix,gasly,Toro Rosso,14,13,Finished,0
2018,10,British Grand Prix,sirotkin,Williams,18,14,Finished,0
2018,10,British Grand Prix,max_verstappen,Red Bull,5,15,Brakes,0
2018,10,British Grand Prix,grosjean,Haas F1 Team,8,16,Collision,0
2018,10,British Grand Prix,sainz,Renault,16,17,Collision,0
2018,10,British Grand Prix,ericsson,Sauber,15,18,Accident,0
2018,10,British Grand Prix,leclerc,Sauber,9,19,Tyre,0
2018,10,British Grand Prix,brendon_hartley,Toro Rosso,0,20,Power Unit,0
2018,11,German Grand Prix,hamilton,Mercedes,14,1,Finished,25
2018,11,German Grand Prix,bottas,Mercedes,2,2,Finished,18
2018,11,German Grand Prix,raikkonen,Ferrari,3,3,Finished,15
2018,11,German Grand Prix,max_verstappen,Red Bull,4,4,Finished,12
2018,11,German Grand Prix,hulkenberg,Renault,7,5,Finished,10
2018,11,German Grand Prix,grosjean,Haas F1 Team,6,6,Finished,8
2018,11,German Grand Prix,perez,Force India,10,7,Finished,6
2018,11,German Grand Prix,ocon,Force India,15,8,Finished,4
2018,11,German Grand Prix,ericsson,Sauber,13,9,Finished,2
2018,11,German Grand Prix,brendon_hartley,Toro Rosso,17,10,Finished,1
2018,11,German Grand Prix,kevin_magnussen,Haas F1 Team,5,11,Finished,0
2018,11,German Grand Prix,sainz,Renault,8,12,Finished,0
2018,11,German Grand Prix,vandoorne,McLaren,19,13,Finished,0
2018,11,German Grand Prix,gasly,Toro Rosso,16,14,+1 Lap,0
2018,11,German Grand Prix,leclerc,Sauber,9,15,+1 Lap,0
2018,11,German Grand Prix,alonso,McLaren,11,16,Retired,0
2018,11,German Grand Prix,stroll,Williams,18,17,Engine,0
2018,11,German Grand Prix,vettel,Ferrari,1,18,Accident,0
2018,11,German Grand Prix,sirotkin,Williams,12,19,Engine,0
2018,11,German Grand Prix,ricciardo,Red Bull,20,20,Engine,0
2018,12,Hungarian Grand Prix,hamilton,Mercedes,1,1,Finished,25
2018,12,Hungarian Grand Prix,vettel,Ferrari,4,2,Finished,18
2018,12,Hungarian Grand Prix,raikkonen,Ferrari,3,3,Finished,15
2018,12,Hungarian Grand Prix,ricciardo,Red Bull,12,4,Finished,12
2018,12,Hungarian Grand Prix,bottas,Mercedes,2,5,Finished,10
2018,12,Hungarian Grand Prix,gasly,Toro Rosso,6,6,Finished,8
2018,12,Hungarian Grand Prix,kevin_magnussen,Haas F1 Team,9,7,+1 Lap,6
2018,12,Hungarian Grand Prix,alonso,McLaren,11,8,+1 Lap,4
2018,12,Hungarian Grand Prix,sainz,Renault,5,9,+1 Lap,2
2018,12,Hungarian Grand Prix,grosjean,Haas F1 Team,10,10,+1 Lap,1
2018,12,Hungarian Grand Prix,brendon_hartley,Toro Rosso,8,11,+1 Lap,0
2018,12,Hungarian Grand Prix,hulkenberg,Renault,13,12,+1 Lap,0
2018,12,Hungarian Grand Prix,ocon,Force India,18,13,+1 Lap,0
2018,12,Hungarian Grand Prix,perez,Force India,19,14,+1 Lap,0
2018,12,Hungarian Grand Prix,ericsson,Sauber,14,15,+2 Laps,0
2018,12,Hungarian Grand Prix,sirotkin,Williams,20,16,+2 Laps,0
2018,12,Hungarian Grand Prix,stroll,Williams,15,17,+2 Laps,0
2018,12,Hungarian Grand Prix,vandoorne,McLaren,16,18,Gearbox,0
2018,12,Hungarian Grand Prix,max_verstappen,Red Bull,7,19,Power loss,0
2018,12,Hungarian Grand Prix,leclerc,Sauber,17,20,Suspension,0
2018,13,Belgian Grand Prix,vettel,Ferrari,2,1,Finished,25
2018,13,Belgian Grand Prix,hamilton,Mercedes,1,2,Finished,18
2018,13,Belgian Grand Prix,max_verstappen,Red Bull,7,3,Finished,15
2018,13,Belgian Grand Prix,bottas,Mercedes,19,4,Finished,12
2018,13,Belgian Grand Prix,perez,Force India,4,5,Finished,10
2018,13,Belgian Grand Prix,ocon,Force India,3,6,Finished,8
2018,13,Belgian Grand Prix,grosjean,Haas F1 Team,5,7,Finished,6
2018,13,Belgian Grand Prix,kevin_magnussen,Haas F1 Team,9,8,Finished,4
2018,13,Belgian Grand Prix,gasly,Toro Rosso,10,9,Finished,2
2018,13,Belgian Grand Prix,ericsson,Sauber,13,10,+1 Lap,1
