season,round,race_name,driver_id,constructor_id,grid_position,finish_position,status,points,laps
2025,1,Australian Grand Prix,norris,mclaren,1,1,Finished,25,57
2025,1,Australian Grand Prix,max_verstappen,red_bull,3,2,Finished,18,57
2025,1,Australian Grand Prix,russell,mercedes,4,3,Finished,15,57
2025,1,Australian Grand Prix,antonelli,mercedes,16,4,Finished,12,57
2025,1,Australian Grand Prix,albon,williams,6,5,Finished,10,57
2025,1,Australian Grand Prix,stroll,aston_martin,13,6,Finished,8,57
2025,1,Australian Grand Prix,hulkenberg,sauber,17,7,Finished,6,57
2025,1,Australian Grand Prix,leclerc,ferrari,7,8,Finished,4,57
2025,1,Australian Grand Prix,piastri,mclaren,2,9,Finished,2,57
2025,1,Australian Grand Prix,hamilton,ferrari,8,10,Finished,1,57
2025,1,Australian Grand Prix,gasly,alpine,9,11,Finished,0,57
2025,1,Australian Grand Prix,tsunoda,rb,5,12,Finished,0,57
2025,1,Australian Grand Prix,ocon,haas,19,13,Finished,0,57
2025,1,Australian Grand Prix,bearman,haas,20,14,Finished,0,57
2025,1,Australian Grand Prix,lawson,red_bull,18,15,Retired,0,46
2025,1,Australian Grand Prix,bortoleto,sauber,15,16,Retired,0,45
2025,1,Australian Grand Prix,alonso,aston_martin,12,17,Retired,0,32
2025,1,Australian Grand Prix,sainz,williams,10,18,Retired,0,0
2025,1,Australian Grand Prix,doohan,alpine,14,19,Retired,0,0
2025,1,Australian Grand Prix,hadjar,rb,11,20,Retired,0,0
2025,2,Chinese Grand Prix,piastri,mclaren,1,1,Finished,25,56
2025,2,Chinese Grand Prix,norris,mclaren,3,2,Finished,18,56
2025,2,Chinese Grand Prix,russell,mercedes,2,3,Finished,15,56
2025,2,Chinese Grand Prix,max_verstappen,red_bull,4,4,Finished,12,56
2025,2,Chinese Grand Prix,ocon,haas,11,5,Finished,10,56
2025,2,Chinese Grand Prix,antonelli,mercedes,8,6,Finished,8,56
2025,2,Chinese Grand Prix,albon,williams,10,7,Finished,6,56
2025,2,Chinese Grand Prix,bearman,haas,17,8,Finished,4,56
2025,2,Chinese Grand Prix,stroll,aston_martin,14,9,Finished,2,56
2025,2,Chinese Grand Prix,sainz,williams,15,10,Finished,1,56
2025,2,Chinese Grand Prix,hadjar,rb,7,11,Finished,0,56
2025,2,Chinese Grand Prix,lawson,red_bull,20,12,Finished,0,56
2025,2,Chinese Grand Prix,doohan,alpine,18,13,Finished,0,56
2025,2,Chinese Grand Prix,bortoleto,sauber,19,14,Lapped,0,55
2025,2,Chinese Grand Prix,hulkenberg,sauber,12,15,Lapped,0,55
2025,2,Chinese Grand Prix,tsunoda,rb,9,16,Lapped,0,55
2025,2,Chinese Grand Prix,alonso,aston_martin,13,17,Retired,0,4
2025,2,Chinese Grand Prix,leclerc,ferrari,6,18,Disqualified,0,0
2025,2,Chinese Grand Prix,hamilton,ferrari,5,19,Disqualified,0,0
2025,2,Chinese Grand Prix,gasly,alpine,16,20,Disqualified,0,0
2025,3,Japanese Grand Prix,max_verstappen,red_bull,1,1,Finished,25,53
2025,3,Japanese Grand Prix,norris,mclaren,2,2,Finished,18,53
2025,3,Japanese Grand Prix,piastri,mclaren,3,3,Finished,15,53
2025,3,Japanese Grand Prix,leclerc,ferrari,4,4,Finished,12,53
2025,3,Japanese Grand Prix,russell,mercedes,5,5,Finished,10,53
2025,3,Japanese Grand Prix,antonelli,mercedes,6,6,Finished,8,53
2025,3,Japanese Grand Prix,hamilton,ferrari,8,7,Finished,6,53
2025,3,Japanese Grand Prix,hadjar,rb,7,8,Finished,4,53
2025,3,Japanese Grand Prix,albon,williams,9,9,Finished,2,53
2025,3,Japanese Grand Prix,bearman,haas,10,10,Finished,1,53
2025,3,Japanese Grand Prix,alonso,aston_martin,12,11,Finished,0,53
2025,3,Japanese Grand Prix,tsunoda,red_bull,14,12,Finished,0,53
2025,3,Japanese Grand Prix,gasly,alpine,11,13,Finished,0,53
2025,3,Japanese Grand Prix,sainz,williams,15,14,Finished,0,53
2025,3,Japanese Grand Prix,doohan,alpine,19,15,Finished,0,53
2025,3,Japanese Grand Prix,hulkenberg,sauber,16,16,Finished,0,53
2025,3,Japanese Grand Prix,lawson,rb,13,17,Finished,0,53
2025,3,Japanese Grand Prix,ocon,haas,18,18,Finished,0,53
2025,3,Japanese Grand Prix,bortoleto,sauber,17,19,Finished,0,53
2025,3,Japanese Grand Prix,stroll,aston_martin,20,20,Lapped,0,52
2025,4,Bahrain Grand Prix,piastri,mclaren,1,1,Finished,25,57
2025,4,Bahrain Grand Prix,russell,mercedes,3,2,Finished,18,57
2025,4,Bahrain Grand Prix,norris,mclaren,6,3,Finished,15,57
2025,4,Bahrain Grand Prix,leclerc,ferrari,2,4,Finished,12,57
2025,4,Bahrain Grand Prix,hamilton,ferrari,9,5,Finished,10,57
2025,4,Bahrain Grand Prix,max_verstappen,red_bull,7,6,Finished,8,57
2025,4,Bahrain Grand Prix,gasly,alpine,4,7,Finished,6,57
2025,4,Bahrain Grand Prix,ocon,haas,14,8,Finished,4,57
2025,4,Bahrain Grand Prix,tsunoda,red_bull,10,9,Finished,2,57
2025,4,Bahrain Grand Prix,bearman,haas,20,10,Finished,1,57
2025,4,Bahrain Grand Prix,antonelli,mercedes,5,11,Finished,0,57
2025,4,Bahrain Grand Prix,albon,williams,15,12,Finished,0,57
2025,4,Bahrain Grand Prix,hadjar,rb,12,13,Finished,0,57
2025,4,Bahrain Grand Prix,doohan,alpine,11,14,Finished,0,57
2025,4,Bahrain Grand Prix,alonso,aston_martin,13,15,Finished,0,57
2025,4,Bahrain Grand Prix,lawson,rb,17,16,Finished,0,57
2025,4,Bahrain Grand Prix,stroll,aston_martin,19,17,Finished,0,57
2025,4,Bahrain Grand Prix,bortoleto,sauber,18,18,Finished,0,57
2025,4,Bahrain Grand Prix,sainz,williams,8,19,Retired,0,45
2025,4,Bahrain Grand Prix,hulkenberg,sauber,16,20,Disqualified,0,0
2025,5,Saudi Arabian Grand Prix,piastri,mclaren,2,1,Finished,25,50
2025,5,Saudi Arabian Grand Prix,max_verstappen,red_bull,1,2,Finished,18,50
2025,5,Saudi Arabian Grand Prix,leclerc,ferrari,4,3,Finished,15,50
2025,5,Saudi Arabian Grand Prix,norris,mclaren,10,4,Finished,12,50
2025,5,Saudi Arabian Grand Prix,russell,mercedes,3,5,Finished,10,50
2025,5,Saudi Arabian Grand Prix,antonelli,mercedes,5,6,Finished,8,50
2025,5,Saudi Arabian Grand Prix,hamilton,ferrari,7,7,Finished,6,50
2025,5,Saudi Arabian Grand Prix,sainz,williams,6,8,Finished,4,50
2025,5,Saudi Arabian Grand Prix,albon,williams,11,9,Finished,2,50
2025,5,Saudi Arabian Grand Prix,hadjar,rb,14,10,Finished,1,50
2025,5,Saudi Arabian Grand Prix,alonso,aston_martin,13,11,Finished,0,50
2025,5,Saudi Arabian Grand Prix,lawson,rb,12,12,Finished,0,50
2025,5,Saudi Arabian Grand Prix,bearman,haas,15,13,Finished,0,50
2025,5,Saudi Arabian Grand Prix,ocon,haas,19,14,Finished,0,50
