Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,season,round
GAS,1.0,,,,,SOFT,1.0,1.0,2020,9
PER,1.0,0 days 00:01:57.098000,,0 days 00:00:44.285000,0 days 00:00:33.087000,SOFT,4.0,1.0,2020,9
PER,2.0,0 days 00:02:25.389000,0 days 00:00:56.326000,0 days 00:00:42.781000,0 days 00:00:46.282000,SOFT,5.0,1.0,2020,9
PER,3.0,0 days 00:02:17.193000,0 days 00:00:53.834000,0 days 00:00:37.805000,0 days 00:00:45.554000,SOFT,6.0,1.0,2020,9
PER,4.0,0 days 00:02:14.942000,0 days 00:00:50.119000,0 days 00:00:38.756000,0 days 00:00:46.067000,SOFT,7.0,1.0,2020,9
PER,5.0,0 days 00:02:12.602000,0 days 00:00:51.430000,0 days 00:00:36.715000,0 days 00:00:44.457000,SOFT,8.0,1.0,2020,9
PER,6.0,0 days 00:02:17.360000,0 days 00:00:51.703000,0 days 00:00:39.583000,0 days 00:00:46.074000,SOFT,9.0,1.0,2020,9
PER,7.0,0 days 00:02:09.425000,0 days 00:00:46.124000,0 days 00:00:33.060000,0 days 00:00:50.241000,SOFT,10.0,1.0,2020,9
PER,8.0,,0 days 00:00:51.944000,0 days 00:00:41.940000,,SOFT,11.0,2.0,2020,9
PER,9.0,,0 days 00:00:53.921000,0 days 00:00:47.486000,0 days 00:01:35.309000,SOFT,4.0,3.0,2020,9
PER,10.0,0 days 00:01:27.526000,0 days 00:00:34.036000,0 days 00:00:23.708000,0 days 00:00:29.782000,SOFT,5.0,3.0,2020,9
PER,11.0,0 days 00:01:23.762000,0 days 00:00:30.802000,0 days 00:00:23.293000,0 days 00:00:29.667000,SOFT,6.0,3.0,2020,9
PER,12.0,0 days 00:01:24.230000,0 days 00:00:30.967000,0 days 00:00:23.336000,0 days 00:00:29.927000,SOFT,7.0,3.0,2020,9
PER,13.0,0 days 00:01:23.875000,0 days 00:00:30.952000,0 days 00:00:23.059000,0 days 00:00:29.864000,SOFT,8.0,3.0,2020,9
PER,14.0,0 days 00:01:23.793000,0 days 00:00:30.662000,0 days 00:00:23.197000,0 days 00:00:29.934000,SOFT,9.0,3.0,2020,9
PER,15.0,0 days 00:01:25.014000,0 days 00:00:31.712000,0 days 00:00:23.501000,0 days 00:00:29.801000,SOFT,10.0,3.0,2020,9
