season,meeting_key,circuit_short_name,circuit_type,country_name,location,meeting_name
2025,1253,Sakhir,Permanent,Bahrain,Sakhir,Pre-Season Testing
2025,1254,Melbourne,Temporary - Street,Australia,Melbourne,Australian Grand Prix
2025,1255,Shanghai,Permanent,China,Shanghai,Chinese Grand Prix
2025,1256,Suzuka,Permanent,Japan,Suzuka,Japanese Grand Prix
2025,1257,Sakhir,Permanent,Bahrain,Sakhir,Bahrain Grand Prix
2025,1258,Jeddah,Temporary - Street,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix
2025,1259,Miami,Temporary - Street,United States,Miami Gardens,Miami Grand Prix
2025,1260,Imola,Permanent,Italy,Imola,Emilia Romagna Grand Prix
2025,1261,Monte Carlo,Temporary - Street,Monaco,Monaco,Monaco Grand Prix
2025,1262,Catalunya,Permanent,Spain,Barcelona,Spanish Grand Prix
2025,1263,Montreal,Permanent,Canada,Montréal,Canadian Grand Prix
2025,1264,Spielberg,Permanent,Austria,Spielberg,Austrian Grand Prix
2025,1277,Silverstone,Permanent,United Kingdom,Silverstone,British Grand Prix
2025,1265,Spa-Francorchamps,Temporary - Road,Belgium,Spa-Francorchamps,Belgian Grand Prix
2025,1266,Hungaroring,Permanent,Hungary,Budapest,Hungarian Grand Prix
2025,1267,Zandvoort,Permanent,Netherlands,Zandvoort,Dutch Grand Prix
2025,1268,Monza,Permanent,Italy,Monza,Italian Grand Prix
2025,1269,Baku,Temporary - Street,Azerbaijan,Baku,Azerbaijan Grand Prix
2025,1270,Singapore,Temporary - Street,Singapore,Marina Bay,Singapore Grand Prix
2025,1271,Austin,Permanent,United States,Austin,United States Grand Prix
2025,1272,Mexico City,Permanent,Mexico,Mexico City,Mexico City Grand Prix
2025,1273,Interlagos,Permanent,Brazil,São Paulo,São Paulo Grand Prix
2025,1274,Las Vegas,Temporary - Street,United States,Las Vegas,Las Vegas Grand Prix
2025,1275,Lusail,Permanent,Qatar,Lusail,Qatar Grand Prix
2025,1276,Yas Marina Circuit,Permanent,United Arab Emirates,Yas Island,Abu Dhabi Grand Prix
2026,1304,Sakhir,Permanent,Bahrain,Bahrain,Pre-Season Testing
2026,1305,Sakhir,Permanent,Bahrain,Bahrain,Pre-Season Testing
2026,1279,Melbourne,Temporary - Street,Australia,Melbourne,Australian Grand Prix
2026,1280,Shanghai,Permanent,China,Shanghai,Chinese Grand Prix
2026,1281,Suzuka,Permanent,Japan,Suzuka,Japanese Grand Prix
2026,1282,Sakhir,Permanent,Bahrain,Sakhir,Bahrain Grand Prix
2026,1283,Jeddah,Temporary - Street,Saudi Arabia,Jeddah,Saudi Arabian Grand Prix
2026,1284,Miami,Temporary - Street,United States,Miami Gardens,Miami Grand Prix
2026,1285,Montreal,Permanent,Canada,Montréal,Canadian Grand Prix
2026,1286,Monte Carlo,Temporary - Street,Monaco,Monte Carlo,Monaco Grand Prix
2026,1287,Catalunya,Permanent,Spain,Barcelona,Barcelona Grand Prix
2026,1288,Spielberg,Permanent,Austria,Spielberg,Austrian Grand Prix
2026,1289,Silverstone,Permanent,United Kingdom,Silverstone,British Grand Prix
2026,1290,Spa-Francorchamps,Temporary - Road,Belgium,Spa-Francorchamps,Belgian Grand Prix
2026,1291,Hungaroring,Permanent,Hungary,Budapest,Hungarian Grand Prix
2026,1292,Zandvoort,Permanent,Netherlands,Zandvoort,Dutch Grand Prix
2026,1293,Monza,Permanent,Italy,Monza,Italian Grand Prix
2026,1294,Madring,Temporary - Street,Spain,Madrid,Spanish Grand Prix
2026,1295,Baku,Temporary - Street,Azerbaijan,Baku,Azerbaijan Grand Prix
2026,1296,Singapore,Temporary - Street,Singapore,Marina Bay,Singapore Grand Prix
2026,1297,Austin,Permanent,United States,Austin,United States Grand Prix
2026,1298,Mexico City,Permanent,Mexico,Mexico City,Mexico City Grand Prix
2026,1299,Interlagos,Permanent,Brazil,São Paulo,São Paulo Grand Prix
2026,1300,Las Vegas,Temporary - Street,United States,Las Vegas,Las Vegas Grand Prix
2026,1301,Lusail,Permanent,Qatar,Lusail,Qatar Grand Prix
2026,1302,Yas Marina Circuit,Permanent,United Arab Emirates,Yas Marina,Abu Dhabi Grand Prix
