season,meeting_key,session_key,date,category,flag,message,driver_number,lap_number
2025,1254,9693,2025-03-16T03:15:05+00:00,Other,,LOW GRIP CONDITIONS,,1
2025,1254,9693,2025-03-16T03:15:08+00:00,Drs,,DRS DISABLED,,1
2025,1254,9693,2025-03-16T03:20:01+00:00,Flag,GREEN,GREEN LIGHT - PIT EXIT OPEN,,1
2025,1254,9693,2025-03-16T03:25:03+00:00,Flag,YELLOW,YELLOW IN TRACK SECTOR 17,,1
2025,1254,9693,2025-03-16T03:25:08+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 17,,1
2025,1254,9693,2025-03-16T03:30:01+00:00,Other,,PIT EXIT CLOSED,,1
2025,1254,9693,2025-03-16T03:41:43+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 10,,1
2025,1254,9693,2025-03-16T03:42:22+00:00,Flag,YELLOW,YELLOW IN TRACK SECTOR 9,,1
2025,1254,9693,2025-03-16T03:43:16+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 10,,1
2025,1254,9693,2025-03-16T03:43:17+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 9,,1
2025,1254,9693,2025-03-16T03:45:05+00:00,Other,,RISK OF RAIN FOR F1 RACE IS 40%,,1
2025,1254,9693,2025-03-16T03:49:00+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 3,,1
2025,1254,9693,2025-03-16T03:49:47+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 3,,1
2025,1254,9693,2025-03-16T04:00:59+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 2,,1
2025,1254,9693,2025-03-16T04:02:17+00:00,Other,,ABORTED START,,1
2025,1254,9693,2025-03-16T04:04:15+00:00,Other,,FORMATION LAP WILL START AT 15:15,,1
2025,1254,9693,2025-03-16T04:05:17+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 2,,1
2025,1254,9693,2025-03-16T04:18:22.973000+00:00,SessionStatus,,SESSION STARTED,,1
2025,1254,9693,2025-03-16T04:18:23+00:00,Flag,GREEN,GREEN LIGHT - PIT EXIT OPEN,,1
2025,1254,9693,2025-03-16T04:19:27+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 8,,1
2025,1254,9693,2025-03-16T04:19:31+00:00,SafetyCar,,SAFETY CAR DEPLOYED,,1
2025,1254,9693,2025-03-16T04:20:18+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 8,,1
2025,1254,9693,2025-03-16T04:20:58+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 20,,2
2025,1254,9693,2025-03-16T04:21:22+00:00,SafetyCar,,SAFETY CAR THROUGH THE PIT LANE,,2
2025,1254,9693,2025-03-16T04:24:24+00:00,Other,,RECOVERY VEHICLE ON TRACK AT TURN 14,,3
2025,1254,9693,2025-03-16T04:26:13+00:00,Other,,RECOVERY VEHICLE ON TRACK BEFORE TURN 6,,4
2025,1254,9693,2025-03-16T04:30:00+00:00,Other,,SAFETY CAR WILL USE START/FINISH STRAIGHT,,5
2025,1254,9693,2025-03-16T04:30:05+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 20,,5
2025,1254,9693,2025-03-16T04:30:31+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 8,,5
2025,1254,9693,2025-03-16T04:33:54+00:00,SafetyCar,,SAFETY CAR IN THIS LAP,,7
2025,1254,9693,2025-03-16T04:35:12+00:00,Flag,CLEAR,TRACK CLEAR,,7
2025,1254,9693,2025-03-16T04:36:21+00:00,Other,,INCIDENT INVOLVING CAR 14 (ALO) NOTED - SAFETY CAR INFRINGEMENT,,8
2025,1254,9693,2025-03-16T04:37:35+00:00,Other,,INCIDENT INVOLVING CAR 22 (TSU) NOTED - SAFETY CAR INFRINGEMENT,,9
2025,1254,9693,2025-03-16T04:37:41+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 14 (ALO) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,9
2025,1254,9693,2025-03-16T04:38:41+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,10
2025,1254,9693,2025-03-16T04:42:06+00:00,Drs,,DRS ENABLED,,12
2025,1254,9693,2025-03-16T04:50:42+00:00,Other,,CAR 12 (ANT) TIME 1:37.326 DELETED - TRACK LIMITS AT TURN 4 LAP 16 15:48:48,,17
2025,1254,9693,2025-03-16T04:51:05+00:00,Other,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 15,,18
2025,1254,9693,2025-03-16T04:51:15+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 15,,18
2025,1254,9693,2025-03-16T04:51:20+00:00,Other,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,18
2025,1254,9693,2025-03-16T04:51:31+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 12,,18
2025,1254,9693,2025-03-16T04:51:45+00:00,Other,,INCIDENT INVOLVING CAR 23 (ALB) NOTED - SAFETY CAR INFRINGEMENT,,18
2025,1254,9693,2025-03-16T04:51:51+00:00,Other,,INCIDENT INVOLVING CAR 44 (HAM) NOTED - SAFETY CAR INFRINGEMENT,,18
2025,1254,9693,2025-03-16T04:52:03+00:00,Other,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 13,,18
2025,1254,9693,2025-03-16T04:52:04+00:00,Other,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 1,,18
2025,1254,9693,2025-03-16T04:52:10+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 1,,18
2025,1254,9693,2025-03-16T04:52:11+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 13,,18
2025,1254,9693,2025-03-16T04:52:52+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,19
2025,1254,9693,2025-03-16T04:52:56+00:00,Other,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 15,,19
2025,1254,9693,2025-03-16T04:52:56+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 15,,19
2025,1254,9693,2025-03-16T04:53:00+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) UNDER INVESTIGATION - SAFETY CAR INFRINGEMENT,,19
2025,1254,9693,2025-03-16T04:54:00+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 14 (ALO) NO FURTHER ACTION - SAFETY CAR INFRINGEMENT,,20
2025,1254,9693,2025-03-16T04:54:12+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) NO FURTHER ACTION - SAFETY CAR INFRINGEMENT,,20
2025,1254,9693,2025-03-16T04:54:21+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) NO FURTHER ACTION - SAFETY CAR INFRINGEMENT,,20
2025,1254,9693,2025-03-16T04:54:31+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) NO FURTHER ACTION - SAFETY CAR INFRINGEMENT,,20
2025,1254,9693,2025-03-16T05:07:48+00:00,Flag,BLUE,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:07:48,87.0,29
2025,1254,9693,2025-03-16T05:08:37+00:00,Flag,BLUE,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:08:36,31.0,29
2025,1254,9693,2025-03-16T05:08:47+00:00,Other,,CAR 30 (LAW) TIME 1:31.084 DELETED - TRACK LIMITS AT TURN 6 LAP 28 16:07:39,,30
2025,1254,9693,2025-03-16T05:13:01+00:00,Flag,BLUE,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 16:13:00,30.0,32
2025,1254,9693,2025-03-16T05:13:38+00:00,Flag,BLUE,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 16:13:37,30.0,33
2025,1254,9693,2025-03-16T05:13:42+00:00,Other,,CAR 81 (PIA) TIME 1:29.379 DELETED - TRACK LIMITS AT TURN 6 LAP 32 16:12:17,,33
2025,1254,9693,2025-03-16T05:14:46+00:00,Flag,BLUE,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:14:46,87.0,34
2025,1254,9693,2025-03-16T05:14:49+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 10,,34
2025,1254,9693,2025-03-16T05:15:09+00:00,SafetyCar,,SAFETY CAR DEPLOYED,,34
2025,1254,9693,2025-03-16T05:21:22+00:00,Other,,RECOVERY VEHICLE ON TRACK AT TURN 8,,37
2025,1254,9693,2025-03-16T05:24:33+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 8,,38
2025,1254,9693,2025-03-16T05:24:36+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 9,,38
2025,1254,9693,2025-03-16T05:25:02+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 8,,38
2025,1254,9693,2025-03-16T05:28:03+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 9,,39
2025,1254,9693,2025-03-16T05:28:05+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 10,,39
2025,1254,9693,2025-03-16T05:28:35+00:00,Other,,"LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 5, 31, 87, 30",,40
2025,1254,9693,2025-03-16T05:30:08+00:00,Other,,INCIDENT INVOLVING CARS 5 (BOR) AND 30 (LAW) NOTED - UNSAFE RELEASE,,40
2025,1254,9693,2025-03-16T05:30:50+00:00,SafetyCar,,SAFETY CAR IN THIS LAP,,41
2025,1254,9693,2025-03-16T05:31:01+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CARS 5 (BOR) AND 30 (LAW) UNDER INVESTIGATION - UNSAFE RELEASE,,41
2025,1254,9693,2025-03-16T05:32:25+00:00,Flag,CLEAR,TRACK CLEAR,,41
2025,1254,9693,2025-03-16T05:34:05+00:00,Drs,,DRS ENABLED,,43
2025,1254,9693,2025-03-16T05:35:17+00:00,Other,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 5 (BOR) - UNSAFE RELEASE,,43
2025,1254,9693,2025-03-16T05:36:48+00:00,Flag,YELLOW,YELLOW IN TRACK SECTOR 19,,44
2025,1254,9693,2025-03-16T05:37:14+00:00,Other,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 18,,45
2025,1254,9693,2025-03-16T05:37:35+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 19,,45
2025,1254,9693,2025-03-16T05:37:37+00:00,Flag,YELLOW,YELLOW IN TRACK SECTOR 18,,45
2025,1254,9693,2025-03-16T05:38:12+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 19,,45
2025,1254,9693,2025-03-16T05:38:13+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 18,,45
2025,1254,9693,2025-03-16T05:38:34+00:00,Other,,CAR 81 (PIA) LAP DELETED - TRACK LIMITS AT TURN 12 LAP 44 16:36:38,,46
2025,1254,9693,2025-03-16T05:38:45+00:00,Other,,CAR 4 (NOR) TIME 1:45.587 DELETED - TRACK LIMITS AT TURN 12 LAP 44 16:36:36,,46
2025,1254,9693,2025-03-16T05:38:57+00:00,Flag,BLUE,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:38:56,87.0,46
2025,1254,9693,2025-03-16T05:39:06+00:00,Flag,BLUE,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:39:06,87.0,46
2025,1254,9693,2025-03-16T05:40:09+00:00,Flag,BLUE,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:40:09,81.0,46
2025,1254,9693,2025-03-16T05:40:26+00:00,Flag,BLUE,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:40:25,87.0,47
2025,1254,9693,2025-03-16T05:40:33+00:00,Flag,BLUE,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:40:33,81.0,47
2025,1254,9693,2025-03-16T05:40:37+00:00,Flag,YELLOW,YELLOW IN TRACK SECTOR 18,,47
2025,1254,9693,2025-03-16T05:40:41+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 19,,47
2025,1254,9693,2025-03-16T05:40:42+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 18,,47
2025,1254,9693,2025-03-16T05:40:45+00:00,Flag,YELLOW,YELLOW IN TRACK SECTOR 19,,47
2025,1254,9693,2025-03-16T05:40:54+00:00,Flag,YELLOW,YELLOW IN TRACK SECTOR 18,,47
2025,1254,9693,2025-03-16T05:40:55+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 18,,47
2025,1254,9693,2025-03-16T05:40:56+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 19,,47
2025,1254,9693,2025-03-16T05:41:00+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 2,,47
2025,1254,9693,2025-03-16T05:41:02+00:00,Other,,DRS DISABLED IN ZONE 3,,47
2025,1254,9693,2025-03-16T05:41:06+00:00,SafetyCar,,SAFETY CAR DEPLOYED,,47
2025,1254,9693,2025-03-16T05:42:48+00:00,Other,,CAR 22 (TSU) TIME 1:35.983 DELETED - TRACK LIMITS AT TURN 12 LAP 45 16:38:17,,48
2025,1254,9693,2025-03-16T05:45:02+00:00,Other,,FIA STEWARDS: PENALTY SERVED - 5 SECOND TIME PENALTY FOR CAR 5 (BOR) - UNSAFE RELEASE,,49
2025,1254,9693,2025-03-16T05:46:32+00:00,Other,,CAR 22 (TSU) TIME 2:33.312 DELETED - TRACK LIMITS AT TURN 4 LAP 47 16:40:53,,49
2025,1254,9693,2025-03-16T05:46:48+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 2,,49
2025,1254,9693,2025-03-16T05:47:00+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 19,,50
2025,1254,9693,2025-03-16T05:47:04+00:00,Other,,LAPPED CAR MAY NOW OVERTAKE THE SAFETY CAR: 87,,50
2025,1254,9693,2025-03-16T05:49:42+00:00,SafetyCar,,SAFETY CAR IN THIS LAP,,51
2025,1254,9693,2025-03-16T05:51:17+00:00,Flag,CLEAR,TRACK CLEAR,,51
2025,1254,9693,2025-03-16T05:55:31+00:00,Drs,,DRS ENABLED,,54
2025,1254,9693,2025-03-16T05:58:19+00:00,Other,,CAR 10 (GAS) TIME 1:34.967 DELETED - TRACK LIMITS AT TURN 1 LAP 54 16:54:53,,56
2025,1254,9693,2025-03-16T05:58:32+00:00,Other,,INCIDENT INVOLVING CAR 12 (ANT) NOTED - UNSAFE RELEASE,,56
2025,1254,9693,2025-03-16T05:59:02+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 12 (ANT) UNDER INVESTIGATION - UNSAFE RELEASE,,56
2025,1254,9693,2025-03-16T05:59:50+00:00,Other,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 12 (ANT) - UNSAFE RELEASE,,57
2025,1254,9693,2025-03-16T06:00:29+00:00,Flag,CHEQUERED,CHEQUERED FLAG,,57
2025,1254,9693,2025-03-16T06:00:29.487000+00:00,SessionStatus,,SESSION FINISHED,,57
2025,1255,9998,2025-03-23T06:20:01+00:00,Flag,GREEN,GREEN LIGHT - PIT EXIT OPEN,,1
2025,1255,9998,2025-03-23T06:24:15+00:00,Other,,INCIDENT INVOLVING CAR 5 (BOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT,,1
2025,1255,9998,2025-03-23T06:25:50+00:00,Other,,INCIDENT INVOLVING CAR 23 (ALB) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT,,1
2025,1255,9998,2025-03-23T06:28:10+00:00,Other,,INCIDENT INVOLVING CAR 22 (TSU) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT,,1
2025,1255,9998,2025-03-23T06:30:01+00:00,Other,,PIT EXIT CLOSED,,1
2025,1255,9998,2025-03-23T06:32:39+00:00,Flag,YELLOW,YELLOW IN TRACK SECTOR 15,,1
2025,1255,9998,2025-03-23T06:32:40+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 15,,1
2025,1255,9998,2025-03-23T06:32:53+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 19,,1
2025,1255,9998,2025-03-23T06:32:54+00:00,Other,,DRS DISABLED IN ZONE 2,,1
2025,1255,9998,2025-03-23T06:33:03+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 19,,1
2025,1255,9998,2025-03-23T06:33:03+00:00,Other,,DRS ENABLED IN ZONE 2,,1
2025,1255,9998,2025-03-23T06:33:38+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 5 (BOR) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT,,1
2025,1255,9998,2025-03-23T06:33:46+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT,,1
2025,1255,9998,2025-03-23T06:33:52+00:00,Other,,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT,,1
2025,1255,9998,2025-03-23T06:34:34+00:00,Flag,DOUBLE YELLOW,DOUBLE YELLOW IN TRACK SECTOR 14,,1
2025,1255,9998,2025-03-23T06:34:55+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 15,,1
2025,1255,9998,2025-03-23T06:34:59+00:00,Flag,CLEAR,CLEAR IN TRACK SECTOR 14,,1
