season,meeting_key,session_key,driver_number,position,dnf,number_of_laps
2025,1254,9693,4,1.0,False,57.0
2025,1254,9693,1,2.0,False,57.0
2025,1254,9693,63,3.0,False,57.0
2025,1254,9693,12,4.0,False,57.0
2025,1254,9693,23,5.0,False,57.0
2025,1254,9693,18,6.0,False,57.0
2025,1254,9693,27,7.0,False,57.0
2025,1254,9693,16,8.0,False,57.0
2025,1254,9693,81,9.0,False,57.0
2025,1254,9693,44,10.0,False,57.0
2025,1254,9693,10,11.0,False,57.0
2025,1254,9693,22,12.0,False,57.0
2025,1254,9693,31,13.0,False,57.0
2025,1254,9693,87,14.0,False,57.0
2025,1254,9693,30,,True,46.0
2025,1254,9693,5,,True,45.0
2025,1254,9693,14,,True,32.0
2025,1254,9693,55,,True,0.0
2025,1254,9693,7,,True,0.0
2025,1254,9693,6,,False,0.0
2025,1255,9998,81,1.0,False,56.0
2025,1255,9998,4,2.0,False,56.0
2025,1255,9998,63,3.0,False,56.0
2025,1255,9998,1,4.0,False,56.0
2025,1255,9998,31,5.0,False,56.0
2025,1255,9998,12,6.0,False,56.0
2025,1255,9998,23,7.0,False,56.0
2025,1255,9998,87,8.0,False,56.0
2025,1255,9998,18,9.0,False,56.0
2025,1255,9998,55,10.0,False,56.0
2025,1255,9998,6,11.0,False,56.0
2025,1255,9998,30,12.0,False,56.0
2025,1255,9998,7,13.0,False,56.0
2025,1255,9998,5,14.0,False,55.0
2025,1255,9998,27,15.0,False,55.0
2025,1255,9998,22,16.0,False,55.0
2025,1255,9998,14,,True,4.0
2025,1255,9998,16,,False,
2025,1255,9998,44,,False,
2025,1255,9998,10,,False,
2025,1256,10006,1,1.0,False,53.0
2025,1256,10006,4,2.0,False,53.0
2025,1256,10006,81,3.0,False,53.0
2025,1256,10006,16,4.0,False,53.0
2025,1256,10006,63,5.0,False,53.0
2025,1256,10006,12,6.0,False,53.0
2025,1256,10006,44,7.0,False,53.0
2025,1256,10006,6,8.0,False,53.0
2025,1256,10006,23,9.0,False,53.0
2025,1256,10006,87,10.0,False,53.0
2025,1256,10006,14,11.0,False,53.0
2025,1256,10006,22,12.0,False,53.0
2025,1256,10006,10,13.0,False,53.0
2025,1256,10006,55,14.0,False,53.0
2025,1256,10006,7,15.0,False,53.0
2025,1256,10006,27,16.0,False,53.0
2025,1256,10006,30,17.0,False,53.0
2025,1256,10006,31,18.0,False,53.0
2025,1256,10006,5,19.0,False,53.0
2025,1256,10006,18,20.0,False,52.0
2025,1257,10014,81,1.0,False,57.0
2025,1257,10014,63,2.0,False,57.0
2025,1257,10014,4,3.0,False,57.0
2025,1257,10014,16,4.0,False,57.0
2025,1257,10014,44,5.0,False,57.0
2025,1257,10014,1,6.0,False,57.0
2025,1257,10014,10,7.0,False,57.0
2025,1257,10014,31,8.0,False,57.0
2025,1257,10014,22,9.0,False,57.0
2025,1257,10014,87,10.0,False,57.0
2025,1257,10014,12,11.0,False,57.0
2025,1257,10014,23,12.0,False,57.0
2025,1257,10014,6,13.0,False,57.0
2025,1257,10014,7,14.0,False,57.0
2025,1257,10014,14,15.0,False,57.0
2025,1257,10014,30,16.0,False,57.0
2025,1257,10014,18,17.0,False,57.0
2025,1257,10014,5,18.0,False,57.0
2025,1257,10014,55,,True,45.0
2025,1257,10014,27,,False,
2025,1258,10022,81,1.0,False,50.0
2025,1258,10022,1,2.0,False,50.0
2025,1258,10022,16,3.0,False,50.0
2025,1258,10022,4,4.0,False,50.0
2025,1258,10022,63,5.0,False,50.0
2025,1258,10022,12,6.0,False,50.0
2025,1258,10022,44,7.0,False,50.0
2025,1258,10022,55,8.0,False,50.0
2025,1258,10022,23,9.0,False,50.0
