RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.8452274,2022,2023,0.95
perez_2023_1,2023,1,perez,red_bull,2,2.891537,2022,2023,0.95
alonso_2023_1,2023,1,alonso,aston_martin,3,6.5034966,2022,2023,0.95
sainz_2023_1,2023,1,sainz,ferrari,4,3.158136,2022,2023,0.95
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.682321,2022,2023,0.95
stroll_2023_1,2023,1,stroll,aston_martin,6,9.075085,2022,2023,0.95
russell_2023_1,2023,1,russell,mercedes,7,4.1200094,2022,2023,0.95
bottas_2023_1,2023,1,bottas,alfa,8,11.086802,2022,2023,0.95
gasly_2023_1,2023,1,gasly,alpine,9,11.233182,2022,2023,0.95
albon_2023_1,2023,1,albon,williams,10,13.720344,2022,2023,0.95
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.25438,2022,2023,0.95
sargeant_2023_1,2023,1,sargeant,williams,12,12.959609,2022,2023,0.95
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.057611,2022,2023,0.95
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.017189,2022,2023,0.95
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.245066,2022,2023,0.95
zhou_2023_1,2023,1,zhou,alfa,16,12.789353,2022,2023,0.95
norris_2023_1,2023,1,norris,mclaren,17,8.948925,2022,2023,0.95
perez_2023_2,2023,2,perez,red_bull,1,2.5451288,2022,2023,0.95
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,7.788637,2022,2023,0.95
alonso_2023_2,2023,2,alonso,aston_martin,3,4.4583945,2022,2023,0.95
russell_2023_2,2023,2,russell,mercedes,4,3.1817822,2022,2023,0.95
hamilton_2023_2,2023,2,hamilton,mercedes,5,4.9772725,2022,2023,0.95
sainz_2023_2,2023,2,sainz,ferrari,6,3.753333,2022,2023,0.95
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.8335514,2022,2023,0.95
ocon_2023_2,2023,2,ocon,alpine,8,6.4831734,2022,2023,0.95
gasly_2023_2,2023,2,gasly,alpine,9,8.415579,2022,2023,0.95
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.559041,2022,2023,0.95
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,11.729424,2022,2023,0.95
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.7274,2022,2023,0.95
zhou_2023_2,2023,2,zhou,alfa,13,11.219,2022,2023,0.95
de_vries_2023_2,2023,2,de_vries,alphatauri,14,12.144309,2022,2023,0.95
piastri_2023_2,2023,2,piastri,mclaren,15,7.777946,2022,2023,0.95
sargeant_2023_2,2023,2,sargeant,williams,16,13.702868,2022,2023,0.95
norris_2023_2,2023,2,norris,mclaren,17,11.250668,2022,2023,0.95
bottas_2023_2,2023,2,bottas,alfa,18,12.3114195,2022,2023,0.95
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.7369212,2022,2023,0.95
hamilton_2023_3,2023,3,hamilton,mercedes,2,3.822078,2022,2023,0.95
alonso_2023_3,2023,3,alonso,aston_martin,3,5.006398,2022,2023,0.95
stroll_2023_3,2023,3,stroll,aston_martin,4,7.974426,2022,2023,0.95
