RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.230858,2022,2023,0.97
perez_2023_1,2023,1,perez,red_bull,2,2.6993608,2022,2023,0.97
alonso_2023_1,2023,1,alonso,aston_martin,3,6.7150674,2022,2023,0.97
sainz_2023_1,2023,1,sainz,ferrari,4,3.0796394,2022,2023,0.97
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.5249336,2022,2023,0.97
stroll_2023_1,2023,1,stroll,aston_martin,6,8.804871,2022,2023,0.97
russell_2023_1,2023,1,russell,mercedes,7,4.1357017,2022,2023,0.97
bottas_2023_1,2023,1,bottas,alfa,8,11.34408,2022,2023,0.97
gasly_2023_1,2023,1,gasly,alpine,9,11.020163,2022,2023,0.97
albon_2023_1,2023,1,albon,williams,10,13.340511,2022,2023,0.97
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.193636,2022,2023,0.97
sargeant_2023_1,2023,1,sargeant,williams,12,13.104096,2022,2023,0.97
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.114975,2022,2023,0.97
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.889224,2022,2023,0.97
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.429891,2022,2023,0.97
zhou_2023_1,2023,1,zhou,alfa,16,12.8378,2022,2023,0.97
norris_2023_1,2023,1,norris,mclaren,17,8.82398,2022,2023,0.97
perez_2023_2,2023,2,perez,red_bull,1,2.4909093,2022,2023,0.97
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,7.3335147,2022,2023,0.97
alonso_2023_2,2023,2,alonso,aston_martin,3,4.6073856,2022,2023,0.97
russell_2023_2,2023,2,russell,mercedes,4,3.0683799,2022,2023,0.97
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.113333,2022,2023,0.97
sainz_2023_2,2023,2,sainz,ferrari,6,3.7190957,2022,2023,0.97
leclerc_2023_2,2023,2,leclerc,ferrari,7,4.5397487,2022,2023,0.97
ocon_2023_2,2023,2,ocon,alpine,8,6.3488865,2022,2023,0.97
gasly_2023_2,2023,2,gasly,alpine,9,8.368095,2022,2023,0.97
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.746842,2022,2023,0.97
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,11.79293,2022,2023,0.97
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,12.183066,2022,2023,0.97
zhou_2023_2,2023,2,zhou,alfa,13,11.683077,2022,2023,0.97
de_vries_2023_2,2023,2,de_vries,alphatauri,14,11.808122,2022,2023,0.97
piastri_2023_2,2023,2,piastri,mclaren,15,8.343305,2022,2023,0.97
sargeant_2023_2,2023,2,sargeant,williams,16,13.538838,2022,2023,0.97
norris_2023_2,2023,2,norris,mclaren,17,11.585301,2022,2023,0.97
bottas_2023_2,2023,2,bottas,alfa,18,12.761187,2022,2023,0.97
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.375242,2022,2023,0.97
hamilton_2023_3,2023,3,hamilton,mercedes,2,4.039425,2022,2023,0.97
alonso_2023_3,2023,3,alonso,aston_martin,3,5.0578756,2022,2023,0.97
stroll_2023_3,2023,3,stroll,aston_martin,4,8.237194,2022,2023,0.97
perez_2023_3,2023,3,perez,red_bull,5,8.615314,2022,2023,0.97
norris_2023_3,2023,3,norris,mclaren,6,12.023693,2022,2023,0.97
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.52523,2022,2023,0.97
piastri_2023_3,2023,3,piastri,mclaren,8,14.445533,2022,2023,0.97
zhou_2023_3,2023,3,zhou,alfa,9,14.517845,2022,2023,0.97
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.241353,2022,2023,0.97
bottas_2023_3,2023,3,bottas,alfa,11,13.790382,2022,2023,0.97
sainz_2023_3,2023,3,sainz,ferrari,12,3.9069517,2022,2023,0.97
perez_2023_4,2023,4,perez,red_bull,1,2.8676689,2022,2023,0.97
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.1438613,2022,2023,0.97
leclerc_2023_4,2023,4,leclerc,ferrari,3,2.4364898,2022,2023,0.97
alonso_2023_4,2023,4,alonso,aston_martin,4,6.1138,2022,2023,0.97
sainz_2023_4,2023,4,sainz,ferrari,5,3.466727,2022,2023,0.97
hamilton_2023_4,2023,4,hamilton,mercedes,6,5.2631097,2022,2023,0.97
stroll_2023_4,2023,4,stroll,aston_martin,7,7.386952,2022,2023,0.97
russell_2023_4,2023,4,russell,mercedes,8,8.532396,2022,2023,0.97
norris_2023_4,2023,4,norris,mclaren,9,7.5660048,2022,2023,0.97
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,8.527429,2022,2023,0.97
piastri_2023_4,2023,4,piastri,mclaren,11,9.300714,2022,2023,0.97
