RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,2.0124177709636792,2022,2023,0.98
perez_2023_1,2023,1,perez,red_bull,2,3.167056819305581,2022,2023,0.98
alonso_2023_1,2023,1,alonso,aston_martin,3,6.443565261735553,2022,2023,0.98
sainz_2023_1,2023,1,sainz,ferrari,4,3.3321541128586456,2022,2023,0.98
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.8783622828477164,2022,2023,0.98
stroll_2023_1,2023,1,stroll,aston_martin,6,8.964562972537893,2022,2023,0.98
russell_2023_1,2023,1,russell,mercedes,7,4.678665982827273,2022,2023,0.98
bottas_2023_1,2023,1,bottas,alfa,8,10.855901639034183,2022,2023,0.98
gasly_2023_1,2023,1,gasly,alpine,9,11.072123571837329,2022,2023,0.98
albon_2023_1,2023,1,albon,williams,10,13.673589803097158,2022,2023,0.98
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.258513032181824,2022,2023,0.98
sargeant_2023_1,2023,1,sargeant,williams,12,12.529425491730464,2022,2023,0.98
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.131198558615337,2022,2023,0.98
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.474184267814612,2022,2023,0.98
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.322374211048677,2022,2023,0.98
zhou_2023_1,2023,1,zhou,alfa,16,12.588064780830399,2022,2023,0.98
norris_2023_1,2023,1,norris,mclaren,17,9.02711778996953,2022,2023,0.98
perez_2023_2,2023,2,perez,red_bull,1,2.8673155010605935,2022,2023,0.98
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,8.043149830197772,2022,2023,0.98
alonso_2023_2,2023,2,alonso,aston_martin,3,4.523283319395872,2022,2023,0.98
russell_2023_2,2023,2,russell,mercedes,4,3.088828204623645,2022,2023,0.98
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.223230323911871,2022,2023,0.98
sainz_2023_2,2023,2,sainz,ferrari,6,3.5850287055048833,2022,2023,0.98
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.5888526497019386,2022,2023,0.98
ocon_2023_2,2023,2,ocon,alpine,8,6.92097481706658,2022,2023,0.98
gasly_2023_2,2023,2,gasly,alpine,9,8.64305183296373,2022,2023,0.98
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.547737268326527,2022,2023,0.98
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,12.05916127188863,2022,2023,0.98
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.960284676042463,2022,2023,0.98
zhou_2023_2,2023,2,zhou,alfa,13,10.948903152842696,2022,2023,0.98
de_vries_2023_2,2023,2,de_vries,alphatauri,14,12.485866957359784,2022,2023,0.98
piastri_2023_2,2023,2,piastri,mclaren,15,8.009083277831792,2022,2023,0.98
sargeant_2023_2,2023,2,sargeant,williams,16,13.039266940790196,2022,2023,0.98
norris_2023_2,2023,2,norris,mclaren,17,12.286421178188299,2022,2023,0.98
bottas_2023_2,2023,2,bottas,alfa,18,12.235383570091242,2022,2023,0.98
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.973658673481315,2022,2023,0.98
hamilton_2023_3,2023,3,hamilton,mercedes,2,4.431485103171888,2022,2023,0.98
alonso_2023_3,2023,3,alonso,aston_martin,3,4.834928434107332,2022,2023,0.98
stroll_2023_3,2023,3,stroll,aston_martin,4,8.379059934486891,2022,2023,0.98
perez_2023_3,2023,3,perez,red_bull,5,9.262564188318835,2022,2023,0.98
norris_2023_3,2023,3,norris,mclaren,6,11.720718946312468,2022,2023,0.98
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.696468044879563,2022,2023,0.98
piastri_2023_3,2023,3,piastri,mclaren,8,14.281228426961443,2022,2023,0.98
zhou_2023_3,2023,3,zhou,alfa,9,14.515764791117476,2022,2023,0.98
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.649567548231893,2022,2023,0.98
bottas_2023_3,2023,3,bottas,alfa,11,14.327671305231307,2022,2023,0.98
sainz_2023_3,2023,3,sainz,ferrari,12,3.850804063314597,2022,2023,0.98
perez_2023_4,2023,4,perez,red_bull,1,3.2013977197983627,2022,2023,0.98
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.413825840073604,2022,2023,0.98
leclerc_2023_4,2023,4,leclerc,ferrari,3,2.952536063344721,2022,2023,0.98
alonso_2023_4,2023,4,alonso,aston_martin,4,5.872422126602596,2022,2023,0.98
sainz_2023_4,2023,4,sainz,ferrari,5,3.8802064110813497,2022,2023,0.98
hamilton_2023_4,2023,4,hamilton,mercedes,6,5.0277600333192245,2022,2023,0.98
stroll_2023_4,2023,4,stroll,aston_martin,7,8.323892444879915,2022,2023,0.98
russell_2023_4,2023,4,russell,mercedes,8,8.752962013808776,2022,2023,0.98
norris_2023_4,2023,4,norris,mclaren,9,6.964873217005975,2022,2023,0.98
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,9.26621002279123,2022,2023,0.98
piastri_2023_4,2023,4,piastri,mclaren,11,8.988801144031529,2022,2023,0.98
albon_2023_4,2023,4,albon,williams,12,12.181631852808,2022,2023,0.98
kevin_magnussen_2023_4,2023,4,kevin_magnussen,haas,13,13.027864168461598,2022,2023,0.98
gasly_2023_4,2023,4,gasly,alpine,14,11.5473898965818,2022,2023,0.98
ocon_2023_4,2023,4,ocon,alpine,15,9.477004087286971,2022,2023,0.98
sargeant_2023_4,2023,4,sargeant,williams,16,13.269632363766698,2022,2023,0.98
hulkenberg_2023_4,2023,4,hulkenberg,haas,17,12.484356145193388,2022,2023,0.98
bottas_2023_4,2023,4,bottas,alfa,18,11.809613941457577,2022,2023,0.98
max_verstappen_2023_5,2023,5,max_verstappen,red_bull,1,5.4879728396542236,2022,2023,0.98
perez_2023_5,2023,5,perez,red_bull,2,2.709072531067538,2022,2023,0.98
