RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.456755573345642,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.7140769080273444,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,5.748192026375733,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,3.561426505354004,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,4.712230005959473,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.570348145913696,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,4.517691823858643,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,10.7501427704895,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,9.445923422265626,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.56137627272339,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.091907734271242,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,12.607831912609862,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.202367039990234,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,14.401625637500002,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,10.28179883587227,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,11.986316939038087,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,8.881984854931641,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,1.9824030957678223,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,9.448970213847657,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,3.097824964151611,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,2.8165764642089846,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.435247898227539,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,3.9611586814270017,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.1910457159704593,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.567929155431824,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,8.720809747625733,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.834873299730681,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,12.278505656152344,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.225880057313539,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,10.663733513024901,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,13.424617960742188,2022,2023,0.99
