RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.503307345395411,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.5403702850836174,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,6.204804146290302,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,3.018162693606005,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.976419385837515,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.663443843702133,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,3.593655262692007,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,10.750698243009131,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,11.196244736416734,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.686778710793625,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,11.892019281613948,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,12.747016494241597,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.461131272969348,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.674611503808956,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.019823716184048,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,12.229633263039878,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,8.823787056752142,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,2.1676568582620868,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,10.000467823881467,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,4.0024597968535485,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,2.8399925514658353,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,6.051599098287345,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,3.5502592956296386,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.1075461258405546,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.805151143842405,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,8.28380679028412,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,11.41944543599037,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,10.940331562435267,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.280803145992545,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,10.850391301875751,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,11.580870305526016,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,7.409865456617235,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,12.789441550572262,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,11.175280838456688,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,11.651033336965023,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.4006242718894533,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,4.188046120791725,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,4.60514630990357,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,7.670811396667837,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,10.052301118362706,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,11.799860020183965,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.654146883949434,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,15.223097385377876,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,14.572770835496508,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.64910262365994,2022,2023,0.99
