RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.0770556943533922,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.4989089082737976,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,6.533984376873604,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,2.791675619884066,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.7027450960845893,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.845214952737429,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,3.5724372399803337,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,10.722557547535226,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,11.358979076605136,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.722333217652746,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.292799118221069,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,14.515066766588662,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.446015598960802,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,13.40275641811482,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.595907664309578,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,12.722208018109885,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,8.931201674807134,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,1.9783145624409968,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,8.16013023489275,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,3.904105828903134,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,2.3035346896233566,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,4.459202042617892,2022,2023,0.99
