RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.3832347,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.7435231,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,6.588442,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,2.9564068,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.6069312,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.794966,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,3.7582853,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,11.371949,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,10.819581,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.508791,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.1868305,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,13.192691,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.015055,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.118545,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.493283,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,12.651422,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,8.8810215,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,2.6263287,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,7.143115,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,4.410512,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,3.0058193,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,4.9572883,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,3.5474157,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,4.125247,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.281977,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,8.442576,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.455741,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,12.013144,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.451904,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,11.014977,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,12.160119,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,8.429086,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,13.3778715,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,11.222732,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,12.475779,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.5830721,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,3.8516874,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,4.840178,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,7.9456105,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,8.775193,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,11.859135,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.398113,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,14.019603,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,14.411971,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.33308,2022,2023,0.99
bottas_2023_3,2023,3,bottas,alfa,11,13.763065,2022,2023,0.99
sainz_2023_3,2023,3,sainz,ferrari,12,3.848509,2022,2023,0.99
perez_2023_4,2023,4,perez,red_bull,1,2.9519951,2022,2023,0.99
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.06497,2022,2023,0.99
leclerc_2023_4,2023,4,leclerc,ferrari,3,2.2854195,2022,2023,0.99
alonso_2023_4,2023,4,alonso,aston_martin,4,5.976793,2022,2023,0.99
sainz_2023_4,2023,4,sainz,ferrari,5,3.613079,2022,2023,0.99
hamilton_2023_4,2023,4,hamilton,mercedes,6,4.660146,2022,2023,0.99
stroll_2023_4,2023,4,stroll,aston_martin,7,7.5810833,2022,2023,0.99
russell_2023_4,2023,4,russell,mercedes,8,7.426043,2022,2023,0.99
norris_2023_4,2023,4,norris,mclaren,9,7.4751463,2022,2023,0.99
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,9.025549,2022,2023,0.99
piastri_2023_4,2023,4,piastri,mclaren,11,9.102217,2022,2023,0.99
albon_2023_4,2023,4,albon,williams,12,12.011704,2022,2023,0.99
kevin_magnussen_2023_4,2023,4,kevin_magnussen,haas,13,12.845574,2022,2023,0.99
gasly_2023_4,2023,4,gasly,alpine,14,11.087012,2022,2023,0.99
ocon_2023_4,2023,4,ocon,alpine,15,9.380564,2022,2023,0.99
sargeant_2023_4,2023,4,sargeant,williams,16,12.8246565,2022,2023,0.99
hulkenberg_2023_4,2023,4,hulkenberg,haas,17,12.870734,2022,2023,0.99
bottas_2023_4,2023,4,bottas,alfa,18,12.074838,2022,2023,0.99
max_verstappen_2023_5,2023,5,max_verstappen,red_bull,1,4.911364,2022,2023,0.99
perez_2023_5,2023,5,perez,red_bull,2,2.7038062,2022,2023,0.99
alonso_2023_5,2023,5,alonso,aston_martin,3,4.4537497,2022,2023,0.99
russell_2023_5,2023,5,russell,mercedes,4,7.597263,2022,2023,0.99
sainz_2023_5,2023,5,sainz,ferrari,5,3.7929177,2022,2023,0.99
hamilton_2023_5,2023,5,hamilton,mercedes,6,12.195965,2022,2023,0.99
leclerc_2023_5,2023,5,leclerc,ferrari,7,4.507675,2022,2023,0.99
gasly_2023_5,2023,5,gasly,alpine,8,6.7675548,2022,2023,0.99
ocon_2023_5,2023,5,ocon,alpine,9,8.328649,2022,2023,0.99
kevin_magnussen_2023_5,2023,5,kevin_magnussen,haas,10,8.500459,2022,2023,0.99
tsunoda_2023_5,2023,5,tsunoda,alphatauri,11,12.4843025,2022,2023,0.99
stroll_2023_5,2023,5,stroll,aston_martin,12,11.309853,2022,2023,0.99
bottas_2023_5,2023,5,bottas,alfa,13,11.539099,2022,2023,0.99
albon_2023_5,2023,5,albon,williams,14,11.6840725,2022,2023,0.99
hulkenberg_2023_5,2023,5,hulkenberg,haas,15,11.461024,2022,2023,0.99
zhou_2023_5,2023,5,zhou,alfa,16,12.977312,2022,2023,0.99
norris_2023_5,2023,5,norris,mclaren,17,11.838956,2022,2023,0.99
de_vries_2023_5,2023,5,de_vries,alphatauri,18,12.303804,2022,2023,0.99
piastri_2023_5,2023,5,piastri,mclaren,19,12.326494,2022,2023,0.99
sargeant_2023_5,2023,5,sargeant,williams,20,15.0280695,2022,2023,0.99
max_verstappen_2023_6,2023,6,max_verstappen,red_bull,1,1.7103308,2022,2023,0.99
alonso_2023_6,2023,6,alonso,aston_martin,2,4.026793,2022,2023,0.99
ocon_2023_6,2023,6,ocon,alpine,3,5.5889354,2022,2023,0.99
hamilton_2023_6,2023,6,hamilton,mercedes,4,7.3707256,2022,2023,0.99
russell_2023_6,2023,6,russell,mercedes,5,8.382376,2022,2023,0.99
leclerc_2023_6,2023,6,leclerc,ferrari,6,3.902096,2022,2023,0.99
gasly_2023_6,2023,6,gasly,alpine,7,7.6455984,2022,2023,0.99
sainz_2023_6,2023,6,sainz,ferrari,8,4.819462,2022,2023,0.99
norris_2023_6,2023,6,norris,mclaren,9,9.8372555,2022,2023,0.99
piastri_2023_6,2023,6,piastri,mclaren,10,10.818458,2022,2023,0.99
bottas_2023_6,2023,6,bottas,alfa,11,13.114061,2022,2023,0.99
de_vries_2023_6,2023,6,de_vries,alphatauri,12,11.448751,2022,2023,0.99
zhou_2023_6,2023,6,zhou,alfa,13,14.504023,2022,2023,0.99
albon_2023_6,2023,6,albon,williams,14,12.8819895,2022,2023,0.99
tsunoda_2023_6,2023,6,tsunoda,alphatauri,15,10.161174,2022,2023,0.99
perez_2023_6,2023,6,perez,red_bull,16,8.985928,2022,2023,0.99
hulkenberg_2023_6,2023,6,hulkenberg,haas,17,14.408557,2022,2023,0.99
sargeant_2023_6,2023,6,sargeant,williams,18,14.94865,2022,2023,0.99
max_verstappen_2023_7,2023,7,max_verstappen,red_bull,1,1.7278103,2022,2023,0.99
hamilton_2023_7,2023,7,hamilton,mercedes,2,6.889958,2022,2023,0.99
russell_2023_7,2023,7,russell,mercedes,3,10.020755,2022,2023,0.99
perez_2023_7,2023,7,perez,red_bull,4,6.9946575,2022,2023,0.99
sainz_2023_7,2023,7,sainz,ferrari,5,4.0195556,2022,2023,0.99
stroll_2023_7,2023,7,stroll,aston_martin,6,8.009352,2022,2023,0.99
alonso_2023_7,2023,7,alonso,aston_martin,7,7.3100147,2022,2023,0.99
ocon_2023_7,2023,7,ocon,alpine,8,7.629492,2022,2023,0.99
zhou_2023_7,2023,7,zhou,alfa,9,13.570227,2022,2023,0.99
gasly_2023_7,2023,7,gasly,alpine,10,7.2963347,2022,2023,0.99
leclerc_2023_7,2023,7,leclerc,ferrari,11,8.581856,2022,2023,0.99
tsunoda_2023_7,2023,7,tsunoda,alphatauri,12,13.260468,2022,2023,0.99
piastri_2023_7,2023,7,piastri,mclaren,13,11.547679,2022,2023,0.99
de_vries_2023_7,2023,7,de_vries,alphatauri,14,13.231775,2022,2023,0.99
hulkenberg_2023_7,2023,7,hulkenberg,haas,15,12.164156,2022,2023,0.99
albon_2023_7,2023,7,albon,williams,16,14.445134,2022,2023,0.99
norris_2023_7,2023,7,norris,mclaren,17,6.5978765,2022,2023,0.99
kevin_magnussen_2023_7,2023,7,kevin_magnussen,haas,18,14.720995,2022,2023,0.99
bottas_2023_7,2023,7,bottas,alfa,19,13.814749,2022,2023,0.99
sargeant_2023_7,2023,7,sargeant,williams,20,16.555628,2022,2023,0.99
max_verstappen_2023_8,2023,8,max_verstappen,red_bull,1,1.7279005,2022,2023,0.99
alonso_2023_8,2023,8,alonso,aston_martin,2,4.181149,2022,2023,0.99
hamilton_2023_8,2023,8,hamilton,mercedes,3,6.141787,2022,2023,0.99
leclerc_2023_8,2023,8,leclerc,ferrari,4,6.8053155,2022,2023,0.99
sainz_2023_8,2023,8,sainz,ferrari,5,6.767746,2022,2023,0.99
perez_2023_8,2023,8,perez,red_bull,6,7.248618,2022,2023,0.99
albon_2023_8,2023,8,albon,williams,7,11.647485,2022,2023,0.99
ocon_2023_8,2023,8,ocon,alpine,8,7.294246,2022,2023,0.99
stroll_2023_8,2023,8,stroll,aston_martin,9,11.14217,2022,2023,0.99
bottas_2023_8,2023,8,bottas,alfa,10,13.046933,2022,2023,0.99
piastri_2023_8,2023,8,piastri,mclaren,11,10.166109,2022,2023,0.99
gasly_2023_8,2023,8,gasly,alpine,12,12.158305,2022,2023,0.99
norris_2023_8,2023,8,norris,mclaren,13,8.607307,2022,2023,0.99
tsunoda_2023_8,2023,8,tsunoda,alphatauri,14,13.551358,2022,2023,0.99
hulkenberg_2023_8,2023,8,hulkenberg,haas,15,11.348179,2022,2023,0.99
zhou_2023_8,2023,8,zhou,alfa,16,14.380393,2022,2023,0.99
kevin_magnussen_2023_8,2023,8,kevin_magnussen,haas,17,13.69056,2022,2023,0.99
de_vries_2023_8,2023,8,de_vries,alphatauri,18,13.831189,2022,2023,0.99
max_verstappen_2023_9,2023,9,max_verstappen,red_bull,1,1.5873176,2022,2023,0.99
leclerc_2023_9,2023,9,leclerc,ferrari,2,3.6516764,2022,2023,0.99
perez_2023_9,2023,9,perez,red_bull,3,8.35088,2022,2023,0.99
norris_2023_9,2023,9,norris,mclaren,4,7.010136,2022,2023,0.99
alonso_2023_9,2023,9,alonso,aston_martin,5,4.5835586,2022,2023,0.99
sainz_2023_9,2023,9,sainz,ferrari,6,3.2287388,2022,2023,0.99
russell_2023_9,2023,9,russell,mercedes,7,9.466644,2022,2023,0.99
hamilton_2023_9,2023,9,hamilton,mercedes,8,6.6209216,2022,2023,0.99
stroll_2023_9,2023,9,stroll,aston_martin,9,6.6917496,2022,2023,0.99
gasly_2023_9,2023,9,gasly,alpine,10,8.016723,2022,2023,0.99
albon_2023_9,2023,9,albon,williams,11,11.152423,2022,2023,0.99
zhou_2023_9,2023,9,zhou,alfa,12,13.164705,2022,2023,0.99
sargeant_2023_9,2023,9,sargeant,williams,13,15.977345,2022,2023,0.99
ocon_2023_9,2023,9,ocon,alpine,14,8.044152,2022,2023,0.99
bottas_2023_9,2023,9,bottas,alfa,15,11.932215,2022,2023,0.99
piastri_2023_9,2023,9,piastri,mclaren,16,11.714716,2022,2023,0.99
de_vries_2023_9,2023,9,de_vries,alphatauri,17,13.412386,2022,2023,0.99
kevin_magnussen_2023_9,2023,9,kevin_magnussen,haas,18,14.079489,2022,2023,0.99
tsunoda_2023_9,2023,9,tsunoda,alphatauri,19,11.893896,2022,2023,0.99
max_verstappen_2023_10,2023,10,max_verstappen,red_bull,1,2.1102316,2022,2023,0.99
norris_2023_10,2023,10,norris,mclaren,2,6.1322293,2022,2023,0.99
hamilton_2023_10,2023,10,hamilton,mercedes,3,8.451888,2022,2023,0.99
piastri_2023_10,2023,10,piastri,mclaren,4,8.747678,2022,2023,0.99
russell_2023_10,2023,10,russell,mercedes,5,8.094065,2022,2023,0.99
perez_2023_10,2023,10,perez,red_bull,6,8.815519,2022,2023,0.99
alonso_2023_10,2023,10,alonso,aston_martin,7,5.9260736,2022,2023,0.99
albon_2023_10,2023,10,albon,williams,8,11.023777,2022,2023,0.99
leclerc_2023_10,2023,10,leclerc,ferrari,9,3.7648754,2022,2023,0.99
sainz_2023_10,2023,10,sainz,ferrari,10,4.5989933,2022,2023,0.99
sargeant_2023_10,2023,10,sargeant,williams,11,15.728846,2022,2023,0.99
bottas_2023_10,2023,10,bottas,alfa,12,13.187311,2022,2023,0.99
hulkenberg_2023_10,2023,10,hulkenberg,haas,13,12.677842,2022,2023,0.99
stroll_2023_10,2023,10,stroll,aston_martin,14,8.751707,2022,2023,0.99
zhou_2023_10,2023,10,zhou,alfa,15,13.283975,2022,2023,0.99
tsunoda_2023_10,2023,10,tsunoda,alphatauri,16,13.221982,2022,2023,0.99
de_vries_2023_10,2023,10,de_vries,alphatauri,17,13.926503,2022,2023,0.99
max_verstappen_2023_11,2023,11,max_verstappen,red_bull,1,2.2643719,2022,2023,0.99
norris_2023_11,2023,11,norris,mclaren,2,5.6865215,2022,2023,0.99
perez_2023_11,2023,11,perez,red_bull,3,5.695542,2022,2023,0.99
hamilton_2023_11,2023,11,hamilton,mercedes,4,6.5054464,2022,2023,0.99
piastri_2023_11,2023,11,piastri,mclaren,5,7.9378495,2022,2023,0.99
russell_2023_11,2023,11,russell,mercedes,6,12.226448,2022,2023,0.99
leclerc_2023_11,2023,11,leclerc,ferrari,7,5.095926,2022,2023,0.99
sainz_2023_11,2023,11,sainz,ferrari,8,6.849382,2022,2023,0.99
alonso_2023_11,2023,11,alonso,aston_martin,9,6.196787,2022,2023,0.99
stroll_2023_11,2023,11,stroll,aston_martin,10,11.074858,2022,2023,0.99
albon_2023_11,2023,11,albon,williams,11,13.9600935,2022,2023,0.99
bottas_2023_11,2023,11,bottas,alfa,12,9.736287,2022,2023,0.99
ricciardo_2023_11,2023,11,ricciardo,alphatauri,13,11.569572,2022,2023,0.99
hulkenberg_2023_11,2023,11,hulkenberg,haas,14,13.079545,2022,2023,0.99
tsunoda_2023_11,2023,11,tsunoda,alphatauri,15,14.09272,2022,2023,0.99
zhou_2023_11,2023,11,zhou,alfa,16,10.748571,2022,2023,0.99
kevin_magnussen_2023_11,2023,11,kevin_magnussen,haas,17,14.728568,2022,2023,0.99
max_verstappen_2023_12,2023,12,max_verstappen,red_bull,1,3.4145808,2022,2023,0.99
