RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,2.0030500587195563,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,3.2607576190984724,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,6.563095581240798,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,3.5698549728257567,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.8646204269018694,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.942441842284314,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,4.379866991974184,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,10.785920089195402,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,10.704733198132558,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.698004514617146,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.157010885379083,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,12.72518998724586,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.186565948165436,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.593074227466678,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.401321958632412,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,12.355825630394692,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,8.994950044074468,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,2.9062451324091607,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,9.211134033481407,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,4.80907311091584,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,3.2068500533665656,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.399571241693459,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,3.7689482658745703,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.763333004068767,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.459477663387442,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,7.8526493870959815,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.274987554761614,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,12.096781170813763,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.76516426575139,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,10.41094857677412,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,12.228441625161961,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,7.702317000400371,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,13.50158499501242,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,12.173172798235885,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,11.99332351408195,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,2.0161906103381972,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,4.197362378271666,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,4.889529030242992,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,8.415851591675803,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,9.429524558392766,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,12.07521846155557,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.672081612354795,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,14.35938802859453,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,14.129279550187304,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.725219323194109,2022,2023,0.99
bottas_2023_3,2023,3,bottas,alfa,11,13.984147180991938,2022,2023,0.99
sainz_2023_3,2023,3,sainz,ferrari,12,4.025300513788432,2022,2023,0.99
perez_2023_4,2023,4,perez,red_bull,1,3.2462989805029454,2022,2023,0.99
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.395544973044983,2022,2023,0.99
leclerc_2023_4,2023,4,leclerc,ferrari,3,2.9386327294192327,2022,2023,0.99
alonso_2023_4,2023,4,alonso,aston_martin,4,5.688917303776507,2022,2023,0.99
sainz_2023_4,2023,4,sainz,ferrari,5,3.964097872689969,2022,2023,0.99
hamilton_2023_4,2023,4,hamilton,mercedes,6,4.770287926311736,2022,2023,0.99
stroll_2023_4,2023,4,stroll,aston_martin,7,8.296707429726993,2022,2023,0.99
russell_2023_4,2023,4,russell,mercedes,8,8.07434689022108,2022,2023,0.99
norris_2023_4,2023,4,norris,mclaren,9,7.322827898608726,2022,2023,0.99
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,9.383491418026978,2022,2023,0.99
piastri_2023_4,2023,4,piastri,mclaren,11,8.854831281142962,2022,2023,0.99
albon_2023_4,2023,4,albon,williams,12,12.115494670015398,2022,2023,0.99
kevin_magnussen_2023_4,2023,4,kevin_magnussen,haas,13,12.932435916306265,2022,2023,0.99
gasly_2023_4,2023,4,gasly,alpine,14,11.431460867306455,2022,2023,0.99
ocon_2023_4,2023,4,ocon,alpine,15,9.43979884428574,2022,2023,0.99
sargeant_2023_4,2023,4,sargeant,williams,16,13.230848525396022,2022,2023,0.99
hulkenberg_2023_4,2023,4,hulkenberg,haas,17,12.630970576367483,2022,2023,0.99
bottas_2023_4,2023,4,bottas,alfa,18,11.667679639879763,2022,2023,0.99
max_verstappen_2023_5,2023,5,max_verstappen,red_bull,1,6.315166333429638,2022,2023,0.99
perez_2023_5,2023,5,perez,red_bull,2,2.8022720837943917,2022,2023,0.99
alonso_2023_5,2023,5,alonso,aston_martin,3,4.164714865353799,2022,2023,0.99
russell_2023_5,2023,5,russell,mercedes,4,6.002610439168138,2022,2023,0.99
sainz_2023_5,2023,5,sainz,ferrari,5,3.795477413694792,2022,2023,0.99
hamilton_2023_5,2023,5,hamilton,mercedes,6,9.702395416313056,2022,2023,0.99
leclerc_2023_5,2023,5,leclerc,ferrari,7,4.906795613695448,2022,2023,0.99
gasly_2023_5,2023,5,gasly,alpine,8,7.14736021632887,2022,2023,0.99
ocon_2023_5,2023,5,ocon,alpine,9,8.073052356020224,2022,2023,0.99
kevin_magnussen_2023_5,2023,5,kevin_magnussen,haas,10,7.415405851491341,2022,2023,0.99
tsunoda_2023_5,2023,5,tsunoda,alphatauri,11,12.396486504351303,2022,2023,0.99
stroll_2023_5,2023,5,stroll,aston_martin,12,12.228656692432667,2022,2023,0.99
bottas_2023_5,2023,5,bottas,alfa,13,10.076566703831688,2022,2023,0.99
albon_2023_5,2023,5,albon,williams,14,11.376445153940303,2022,2023,0.99
hulkenberg_2023_5,2023,5,hulkenberg,haas,15,11.523452528274685,2022,2023,0.99
zhou_2023_5,2023,5,zhou,alfa,16,12.764907476559491,2022,2023,0.99
norris_2023_5,2023,5,norris,mclaren,17,11.933269293452867,2022,2023,0.99
de_vries_2023_5,2023,5,de_vries,alphatauri,18,12.761263281486436,2022,2023,0.99
piastri_2023_5,2023,5,piastri,mclaren,19,12.298170619621395,2022,2023,0.99
sargeant_2023_5,2023,5,sargeant,williams,20,14.642911613208257,2022,2023,0.99
max_verstappen_2023_6,2023,6,max_verstappen,red_bull,1,2.0865499461676222,2022,2023,0.99
alonso_2023_6,2023,6,alonso,aston_martin,2,4.064956586171758,2022,2023,0.99
ocon_2023_6,2023,6,ocon,alpine,3,6.489540604069083,2022,2023,0.99
hamilton_2023_6,2023,6,hamilton,mercedes,4,5.028263570105525,2022,2023,0.99
russell_2023_6,2023,6,russell,mercedes,5,6.9996055610117365,2022,2023,0.99
leclerc_2023_6,2023,6,leclerc,ferrari,6,3.7704402413402205,2022,2023,0.99
gasly_2023_6,2023,6,gasly,alpine,7,7.883029445095013,2022,2023,0.99
sainz_2023_6,2023,6,sainz,ferrari,8,4.745231239581445,2022,2023,0.99
norris_2023_6,2023,6,norris,mclaren,9,10.120031385515727,2022,2023,0.99
piastri_2023_6,2023,6,piastri,mclaren,10,11.647699780573944,2022,2023,0.99
bottas_2023_6,2023,6,bottas,alfa,11,12.960380773841393,2022,2023,0.99
de_vries_2023_6,2023,6,de_vries,alphatauri,12,11.49563705072972,2022,2023,0.99
zhou_2023_6,2023,6,zhou,alfa,13,14.576145766427857,2022,2023,0.99
albon_2023_6,2023,6,albon,williams,14,13.109725555810831,2022,2023,0.99
tsunoda_2023_6,2023,6,tsunoda,alphatauri,15,10.39368171760462,2022,2023,0.99
perez_2023_6,2023,6,perez,red_bull,16,10.286999859618184,2022,2023,0.99
hulkenberg_2023_6,2023,6,hulkenberg,haas,17,14.650788563447335,2022,2023,0.99
sargeant_2023_6,2023,6,sargeant,williams,18,14.979577769496778,2022,2023,0.99
max_verstappen_2023_7,2023,7,max_verstappen,red_bull,1,2.023185685222036,2022,2023,0.99
hamilton_2023_7,2023,7,hamilton,mercedes,2,4.430783610976023,2022,2023,0.99
russell_2023_7,2023,7,russell,mercedes,3,7.182196151332347,2022,2023,0.99
perez_2023_7,2023,7,perez,red_bull,4,7.074618234229216,2022,2023,0.99
sainz_2023_7,2023,7,sainz,ferrari,5,3.937857090846445,2022,2023,0.99
stroll_2023_7,2023,7,stroll,aston_martin,6,8.53965554084221,2022,2023,0.99
