RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.9769282,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,3.0837476,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,6.3420234,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,3.368554,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.9757578,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,9.201106,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,4.339848,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,11.071921,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,11.091562,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.701474,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.238621,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,12.736517,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.1010065,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.040314,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.045772,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,12.683576,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,8.942096,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,2.8073149,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,8.037929,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,4.490735,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,3.5395646,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.31682,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,4.02515,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.6521757,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.6798234,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,8.636901,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.574986,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,12.060532,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.600308,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,11.224351,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,12.44422,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,7.56041,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,13.957187,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,11.276902,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,12.275997,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.9857987,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,3.7378938,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,4.910248,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,8.211863,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,8.714908,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,11.591853,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.262454,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,14.043923,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,14.326895,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.519893,2022,2023,0.99
bottas_2023_3,2023,3,bottas,alfa,11,13.258794,2022,2023,0.99
sainz_2023_3,2023,3,sainz,ferrari,12,4.147517,2022,2023,0.99
perez_2023_4,2023,4,perez,red_bull,1,3.0275931,2022,2023,0.99
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.4206135,2022,2023,0.99
leclerc_2023_4,2023,4,leclerc,ferrari,3,2.8415585,2022,2023,0.99
alonso_2023_4,2023,4,alonso,aston_martin,4,6.143732,2022,2023,0.99
sainz_2023_4,2023,4,sainz,ferrari,5,3.9978137,2022,2023,0.99
hamilton_2023_4,2023,4,hamilton,mercedes,6,4.669247,2022,2023,0.99
stroll_2023_4,2023,4,stroll,aston_martin,7,8.095761,2022,2023,0.99
russell_2023_4,2023,4,russell,mercedes,8,7.2166214,2022,2023,0.99
norris_2023_4,2023,4,norris,mclaren,9,7.4887724,2022,2023,0.99
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,9.262791,2022,2023,0.99
piastri_2023_4,2023,4,piastri,mclaren,11,9.238895,2022,2023,0.99
albon_2023_4,2023,4,albon,williams,12,12.299582,2022,2023,0.99
kevin_magnussen_2023_4,2023,4,kevin_magnussen,haas,13,13.472603,2022,2023,0.99
gasly_2023_4,2023,4,gasly,alpine,14,11.223633,2022,2023,0.99
ocon_2023_4,2023,4,ocon,alpine,15,9.311481,2022,2023,0.99
sargeant_2023_4,2023,4,sargeant,williams,16,13.097061,2022,2023,0.99
hulkenberg_2023_4,2023,4,hulkenberg,haas,17,13.116223,2022,2023,0.99
bottas_2023_4,2023,4,bottas,alfa,18,12.141639,2022,2023,0.99
max_verstappen_2023_5,2023,5,max_verstappen,red_bull,1,5.258454,2022,2023,0.99
perez_2023_5,2023,5,perez,red_bull,2,2.7182305,2022,2023,0.99
alonso_2023_5,2023,5,alonso,aston_martin,3,4.4915085,2022,2023,0.99
russell_2023_5,2023,5,russell,mercedes,4,6.9556847,2022,2023,0.99
sainz_2023_5,2023,5,sainz,ferrari,5,3.7890673,2022,2023,0.99
hamilton_2023_5,2023,5,hamilton,mercedes,6,10.241265,2022,2023,0.99
leclerc_2023_5,2023,5,leclerc,ferrari,7,4.655618,2022,2023,0.99
gasly_2023_5,2023,5,gasly,alpine,8,7.042139,2022,2023,0.99
ocon_2023_5,2023,5,ocon,alpine,9,8.356137,2022,2023,0.99
kevin_magnussen_2023_5,2023,5,kevin_magnussen,haas,10,8.329665,2022,2023,0.99
tsunoda_2023_5,2023,5,tsunoda,alphatauri,11,12.666207,2022,2023,0.99
stroll_2023_5,2023,5,stroll,aston_martin,12,11.81533,2022,2023,0.99
bottas_2023_5,2023,5,bottas,alfa,13,10.818993,2022,2023,0.99
albon_2023_5,2023,5,albon,williams,14,11.4014435,2022,2023,0.99
hulkenberg_2023_5,2023,5,hulkenberg,haas,15,11.664953,2022,2023,0.99
zhou_2023_5,2023,5,zhou,alfa,16,12.966863,2022,2023,0.99
norris_2023_5,2023,5,norris,mclaren,17,11.3907385,2022,2023,0.99
de_vries_2023_5,2023,5,de_vries,alphatauri,18,12.329658,2022,2023,0.99
piastri_2023_5,2023,5,piastri,mclaren,19,12.467802,2022,2023,0.99
sargeant_2023_5,2023,5,sargeant,williams,20,14.784812,2022,2023,0.99
max_verstappen_2023_6,2023,6,max_verstappen,red_bull,1,2.1135187,2022,2023,0.99
alonso_2023_6,2023,6,alonso,aston_martin,2,4.4263153,2022,2023,0.99
ocon_2023_6,2023,6,ocon,alpine,3,6.1346707,2022,2023,0.99
hamilton_2023_6,2023,6,hamilton,mercedes,4,6.4366727,2022,2023,0.99
russell_2023_6,2023,6,russell,mercedes,5,7.6686788,2022,2023,0.99
leclerc_2023_6,2023,6,leclerc,ferrari,6,3.7407453,2022,2023,0.99
gasly_2023_6,2023,6,gasly,alpine,7,7.9231606,2022,2023,0.99
sainz_2023_6,2023,6,sainz,ferrari,8,4.9498754,2022,2023,0.99
norris_2023_6,2023,6,norris,mclaren,9,9.853784,2022,2023,0.99
piastri_2023_6,2023,6,piastri,mclaren,10,10.92701,2022,2023,0.99
bottas_2023_6,2023,6,bottas,alfa,11,12.742611,2022,2023,0.99
de_vries_2023_6,2023,6,de_vries,alphatauri,12,11.859207,2022,2023,0.99
