RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.0429748,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.7791958,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,6.2842956,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,2.7980206,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.5657048,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.551781,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,3.7150767,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,11.389755,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,9.97207,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,12.983805,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.289468,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,14.270747,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,13.7492695,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.725144,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.705593,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,12.59977,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,9.059843,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,2.507693,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,7.244778,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,4.722703,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,2.9194233,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.514355,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,3.176776,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,4.667798,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.2698684,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,7.8371816,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,11.428427,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,11.249416,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.240537,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,11.0666485,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,11.172942,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,8.190992,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,12.941225,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,11.579538,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,13.276891,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.3114011,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,3.8748024,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,4.618639,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,7.411731,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,7.827858,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,12.405087,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.08555,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,14.311096,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,14.158378,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.048702,2022,2023,0.99
bottas_2023_3,2023,3,bottas,alfa,11,13.717006,2022,2023,0.99
sainz_2023_3,2023,3,sainz,ferrari,12,3.1562626,2022,2023,0.99
perez_2023_4,2023,4,perez,red_bull,1,3.4763622,2022,2023,0.99
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.4752564,2022,2023,0.99
leclerc_2023_4,2023,4,leclerc,ferrari,3,2.1331227,2022,2023,0.99
alonso_2023_4,2023,4,alonso,aston_martin,4,6.3529396,2022,2023,0.99
sainz_2023_4,2023,4,sainz,ferrari,5,3.6061862,2022,2023,0.99
hamilton_2023_4,2023,4,hamilton,mercedes,6,5.1156406,2022,2023,0.99
stroll_2023_4,2023,4,stroll,aston_martin,7,7.3143477,2022,2023,0.99
russell_2023_4,2023,4,russell,mercedes,8,7.502064,2022,2023,0.99
norris_2023_4,2023,4,norris,mclaren,9,8.492627,2022,2023,0.99
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,7.997975,2022,2023,0.99
piastri_2023_4,2023,4,piastri,mclaren,11,9.13262,2022,2023,0.99
albon_2023_4,2023,4,albon,williams,12,10.595847,2022,2023,0.99
kevin_magnussen_2023_4,2023,4,kevin_magnussen,haas,13,12.244702,2022,2023,0.99
gasly_2023_4,2023,4,gasly,alpine,14,11.045453,2022,2023,0.99
ocon_2023_4,2023,4,ocon,alpine,15,11.435638,2022,2023,0.99
sargeant_2023_4,2023,4,sargeant,williams,16,11.6538725,2022,2023,0.99
hulkenberg_2023_4,2023,4,hulkenberg,haas,17,13.051078,2022,2023,0.99
bottas_2023_4,2023,4,bottas,alfa,18,12.469341,2022,2023,0.99
max_verstappen_2023_5,2023,5,max_verstappen,red_bull,1,5.2896714,2022,2023,0.99
perez_2023_5,2023,5,perez,red_bull,2,2.8621533,2022,2023,0.99
alonso_2023_5,2023,5,alonso,aston_martin,3,4.4395056,2022,2023,0.99
russell_2023_5,2023,5,russell,mercedes,4,7.0039115,2022,2023,0.99
sainz_2023_5,2023,5,sainz,ferrari,5,3.3320973,2022,2023,0.99
hamilton_2023_5,2023,5,hamilton,mercedes,6,12.81923,2022,2023,0.99
leclerc_2023_5,2023,5,leclerc,ferrari,7,4.264928,2022,2023,0.99
gasly_2023_5,2023,5,gasly,alpine,8,6.308714,2022,2023,0.99
ocon_2023_5,2023,5,ocon,alpine,9,7.960733,2022,2023,0.99
kevin_magnussen_2023_5,2023,5,kevin_magnussen,haas,10,8.20551,2022,2023,0.99
tsunoda_2023_5,2023,5,tsunoda,alphatauri,11,12.046204,2022,2023,0.99
stroll_2023_5,2023,5,stroll,aston_martin,12,11.260127,2022,2023,0.99
bottas_2023_5,2023,5,bottas,alfa,13,11.057669,2022,2023,0.99
albon_2023_5,2023,5,albon,williams,14,10.512446,2022,2023,0.99
hulkenberg_2023_5,2023,5,hulkenberg,haas,15,11.102332,2022,2023,0.99
