RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.1339022,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.5846558,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,6.3887196,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,2.8499587,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.2626593,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.629459,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,3.313959,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,12.129103,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,10.44812,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.209649,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.450512,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,13.647794,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,13.503602,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.82734,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,12.047235,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,12.475402,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,9.259331,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,2.482931,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,7.524649,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,4.046478,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,2.7329848,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.4272585,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,4.051874,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,4.4161816,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.40835,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,8.49504,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,11.34009,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,11.660179,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.213884,2022,2023,0.99
