RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.2516390194128437,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.873826403160458,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,5.615867238312439,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,3.785523459953291,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,5.062589330335248,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.654726052516061,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,4.959596126306183,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,10.96841113109256,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,10.065770015390658,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.309288109065706,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.409680356671005,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,13.112094467216533,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,13.95498314313829,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,13.426434024523456,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.12835114159345,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,12.231576033117975,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,8.822718130672197,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,1.994585419044974,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,7.880920493094561,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,3.4540558691925423,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,3.0522411372403253,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.51740598441909,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,4.38462219862574,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.532477693998658,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.497227270085174,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,8.533208166472948,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.651276548363663,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,12.275761077256274,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.130481610259912,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,10.67295015232756,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,12.93998886933673,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,7.708820581514168,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,14.263511898204117,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,13.69308240494749,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,12.526984367440908,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.030177890517236,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,3.551518044035503,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,4.1534551246031395,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,7.459693820413426,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,9.211889964064,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,12.039720961371167,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.655479682294137,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,14.09472701274515,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,14.481734070523355,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.851513770034181,2022,2023,0.99
bottas_2023_3,2023,3,bottas,alfa,11,15.606017066950349,2022,2023,0.99
sainz_2023_3,2023,3,sainz,ferrari,12,4.581814386349075,2022,2023,0.99
perez_2023_4,2023,4,perez,red_bull,1,2.9488330540648686,2022,2023,0.99
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.219036493410113,2022,2023,0.99
leclerc_2023_4,2023,4,leclerc,ferrari,3,2.019328843792116,2022,2023,0.99
alonso_2023_4,2023,4,alonso,aston_martin,4,5.575985280593012,2022,2023,0.99
sainz_2023_4,2023,4,sainz,ferrari,5,4.152954848771106,2022,2023,0.99
