RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.2652282416820526,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.5541515350341797,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,5.4477657079696655,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,3.557339906692505,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,4.890338182449341,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.39152318239212,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,4.523784279823303,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,10.752211213111877,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,9.124397277832031,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.562742590904236,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.08743941783905,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,12.604431390762329,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.197596549987793,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,14.996826171875,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,10.095212794840336,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,11.834353923797607,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,8.88268756866455,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,1.7032290697097778,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,9.83152961730957,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,2.607606530189514,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,2.6425275802612305,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.521976947784424,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,3.9343096017837524,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.0220459699630737,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.53950509428978,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,8.778454184532166,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.912049874663353,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,12.35108757019043,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.157746821641922,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,10.579624891281128,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,13.703365325927734,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,7.344170808792114,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,14.911208152770996,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,15.02770733833313,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,12.456054449081421,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.2398489266633987,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,3.661580741405487,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,4.223405867815018,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,7.300163149833679,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,9.84400463104248,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,11.84593415260315,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,11.461539506912231,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,13.62277364730835,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,14.458215475082397,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.734906196594238,2022,2023,0.99
bottas_2023_3,2023,3,bottas,alfa,11,15.72791600227356,2022,2023,0.99
sainz_2023_3,2023,3,sainz,ferrari,12,4.547100901603699,2022,2023,0.99
perez_2023_4,2023,4,perez,red_bull,1,2.5923496186733246,2022,2023,0.99
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.4741137623786926,2022,2023,0.99
leclerc_2023_4,2023,4,leclerc,ferrari,3,1.7148826122283936,2022,2023,0.99
alonso_2023_4,2023,4,alonso,aston_martin,4,5.762043863534927,2022,2023,0.99
