RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.4795985,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.772841,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,6.196999,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,3.375582,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.4736888,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.752256,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,4.039231,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,10.58388,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,10.590834,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.538163,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,11.770401,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,12.349543,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,13.970383,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,11.173682,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,10.601838,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,12.859381,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,8.6736355,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,2.2571154,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,4.9736385,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,3.6337354,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,3.3105938,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,4.5320644,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,3.5181637,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.2811043,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.4523234,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,8.479029,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.695099,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,11.716897,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.0179615,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,10.879732,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,11.760601,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,7.7765393,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,13.677588,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,10.62182,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,11.856793,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.4539611,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,3.6251802,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,4.637865,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,7.6122274,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,6.605075,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,11.344051,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,11.592532,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,13.272968,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,14.099374,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,10.789124,2022,2023,0.99
bottas_2023_3,2023,3,bottas,alfa,11,13.093737,2022,2023,0.99
sainz_2023_3,2023,3,sainz,ferrari,12,3.729661,2022,2023,0.99
perez_2023_4,2023,4,perez,red_bull,1,2.8360186,2022,2023,0.99
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.0177927,2022,2023,0.99
leclerc_2023_4,2023,4,leclerc,ferrari,3,2.2939339,2022,2023,0.99
alonso_2023_4,2023,4,alonso,aston_martin,4,5.6175075,2022,2023,0.99
sainz_2023_4,2023,4,sainz,ferrari,5,3.972012,2022,2023,0.99
hamilton_2023_4,2023,4,hamilton,mercedes,6,4.592766,2022,2023,0.99
stroll_2023_4,2023,4,stroll,aston_martin,7,8.0341015,2022,2023,0.99
russell_2023_4,2023,4,russell,mercedes,8,7.0422215,2022,2023,0.99
norris_2023_4,2023,4,norris,mclaren,9,7.3579607,2022,2023,0.99
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,8.785996,2022,2023,0.99
piastri_2023_4,2023,4,piastri,mclaren,11,9.021051,2022,2023,0.99
albon_2023_4,2023,4,albon,williams,12,12.301846,2022,2023,0.99
kevin_magnussen_2023_4,2023,4,kevin_magnussen,haas,13,13.370923,2022,2023,0.99
gasly_2023_4,2023,4,gasly,alpine,14,10.677281,2022,2023,0.99
ocon_2023_4,2023,4,ocon,alpine,15,8.553303,2022,2023,0.99
sargeant_2023_4,2023,4,sargeant,williams,16,13.066804,2022,2023,0.99
hulkenberg_2023_4,2023,4,hulkenberg,haas,17,12.84776,2022,2023,0.99
bottas_2023_4,2023,4,bottas,alfa,18,11.692223,2022,2023,0.99
max_verstappen_2023_5,2023,5,max_verstappen,red_bull,1,4.073349,2022,2023,0.99
perez_2023_5,2023,5,perez,red_bull,2,2.1534212,2022,2023,0.99
alonso_2023_5,2023,5,alonso,aston_martin,3,3.7191653,2022,2023,0.99
russell_2023_5,2023,5,russell,mercedes,4,5.94673,2022,2023,0.99
sainz_2023_5,2023,5,sainz,ferrari,5,3.4568005,2022,2023,0.99
hamilton_2023_5,2023,5,hamilton,mercedes,6,9.102894,2022,2023,0.99
leclerc_2023_5,2023,5,leclerc,ferrari,7,4.291456,2022,2023,0.99
gasly_2023_5,2023,5,gasly,alpine,8,6.7572255,2022,2023,0.99
ocon_2023_5,2023,5,ocon,alpine,9,8.129263,2022,2023,0.99
kevin_magnussen_2023_5,2023,5,kevin_magnussen,haas,10,7.4955387,2022,2023,0.99
