RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.793072,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.8160515,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,6.079298,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,3.088219,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,4.0083933,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.96441,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,4.286184,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,10.999558,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,10.648456,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.736458,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,11.993014,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,12.905371,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.172192,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,11.960978,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.291669,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,12.823872,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,8.94883,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,2.6762657,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,7.9940715,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,4.4565787,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,3.0963466,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.451945,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,3.9802246,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.626695,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.6420684,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,8.59259,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.769471,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,11.8251095,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.503543,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,11.3646555,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,12.106375,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,7.8266344,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,13.774912,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,11.66471,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,12.404203,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.6178322,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,3.9691541,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,4.8166428,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,8.0366,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,8.874821,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,12.024775,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.483594,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,14.140862,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,14.678609,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.629493,2022,2023,0.99
bottas_2023_3,2023,3,bottas,alfa,11,13.968876,2022,2023,0.99
sainz_2023_3,2023,3,sainz,ferrari,12,3.9645019,2022,2023,0.99
perez_2023_4,2023,4,perez,red_bull,1,2.8394063,2022,2023,0.99
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.167278,2022,2023,0.99
leclerc_2023_4,2023,4,leclerc,ferrari,3,2.529254,2022,2023,0.99
alonso_2023_4,2023,4,alonso,aston_martin,4,6.2022343,2022,2023,0.99
sainz_2023_4,2023,4,sainz,ferrari,5,3.5900235,2022,2023,0.99
hamilton_2023_4,2023,4,hamilton,mercedes,6,4.6214924,2022,2023,0.99
stroll_2023_4,2023,4,stroll,aston_martin,7,7.925497,2022,2023,0.99
russell_2023_4,2023,4,russell,mercedes,8,6.862913,2022,2023,0.99
norris_2023_4,2023,4,norris,mclaren,9,7.473632,2022,2023,0.99
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,9.123422,2022,2023,0.99
piastri_2023_4,2023,4,piastri,mclaren,11,9.346697,2022,2023,0.99
albon_2023_4,2023,4,albon,williams,12,12.074739,2022,2023,0.99
kevin_magnussen_2023_4,2023,4,kevin_magnussen,haas,13,13.27132,2022,2023,0.99
gasly_2023_4,2023,4,gasly,alpine,14,10.971291,2022,2023,0.99
ocon_2023_4,2023,4,ocon,alpine,15,9.200816,2022,2023,0.99
sargeant_2023_4,2023,4,sargeant,williams,16,13.039354,2022,2023,0.99
hulkenberg_2023_4,2023,4,hulkenberg,haas,17,12.971952,2022,2023,0.99
bottas_2023_4,2023,4,bottas,alfa,18,12.087156,2022,2023,0.99
max_verstappen_2023_5,2023,5,max_verstappen,red_bull,1,5.433255,2022,2023,0.99
perez_2023_5,2023,5,perez,red_bull,2,2.5266545,2022,2023,0.99
