RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.3709091669276274,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.7500820262636907,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,6.878038455025178,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,3.185600372922436,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,4.192396451994675,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,8.903885951891262,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,4.572589971799442,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,11.124210637681239,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,11.006338319077962,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.889493437815545,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.95591152817781,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,13.945641257630959,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.585130710259907,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.958558219868232,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.561011564312881,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,13.354767736355754,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,9.138823542452828,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,2.8556113011112507,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,9.642217339646106,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,5.516992660364273,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,3.2505172219209792,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,6.5833048017665705,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,4.202632689028838,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.991824878400484,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,7.305968018886527,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,9.505066061427332,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,14.384883624576043,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,13.750257009565388,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,13.094268972948791,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,12.611248133569646,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,13.652542067581084,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,9.55252120655712,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,15.33572631853987,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,12.674572602402844,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,14.106795244291025,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.2664801343582477,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,3.3907133313816487,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,3.726839182385492,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,5.568596258890199,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,6.173189741387601,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,8.61985391814298,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,8.801559663832931,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,9.928589409732739,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,10.20637017890375,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,8.595676018236436,2022,2023,0.99
bottas_2023_3,2023,3,bottas,alfa,11,10.247978790177065,2022,2023,0.99
sainz_2023_3,2023,3,sainz,ferrari,12,2.946509095387632,2022,2023,0.99
perez_2023_4,2023,4,perez,red_bull,1,3.328208818292697,2022,2023,0.99
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.5167867913894977,2022,2023,0.99
leclerc_2023_4,2023,4,leclerc,ferrari,3,3.0535148387178004,2022,2023,0.99
alonso_2023_4,2023,4,alonso,aston_martin,4,6.725677689922794,2022,2023,0.99
sainz_2023_4,2023,4,sainz,ferrari,5,4.40090902919906,2022,2023,0.99
hamilton_2023_4,2023,4,hamilton,mercedes,6,6.091536508733745,2022,2023,0.99
stroll_2023_4,2023,4,stroll,aston_martin,7,9.388048674663487,2022,2023,0.99
russell_2023_4,2023,4,russell,mercedes,8,9.554344485312988,2022,2023,0.99
norris_2023_4,2023,4,norris,mclaren,9,8.42630049344291,2022,2023,0.99
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,11.16564110722393,2022,2023,0.99
piastri_2023_4,2023,4,piastri,mclaren,11,10.693063868481628,2022,2023,0.99
albon_2023_4,2023,4,albon,williams,12,14.071756654109283,2022,2023,0.99
kevin_magnussen_2023_4,2023,4,kevin_magnussen,haas,13,15.340088952692861,2022,2023,0.99
gasly_2023_4,2023,4,gasly,alpine,14,12.375958338018409,2022,2023,0.99
ocon_2023_4,2023,4,ocon,alpine,15,10.248598972911006,2022,2023,0.99
sargeant_2023_4,2023,4,sargeant,williams,16,14.909384480840137,2022,2023,0.99
hulkenberg_2023_4,2023,4,hulkenberg,haas,17,14.433760528959,2022,2023,0.99
bottas_2023_4,2023,4,bottas,alfa,18,14.492286001517334,2022,2023,0.99
max_verstappen_2023_5,2023,5,max_verstappen,red_bull,1,7.181383133311622,2022,2023,0.99
perez_2023_5,2023,5,perez,red_bull,2,2.416035744230576,2022,2023,0.99
alonso_2023_5,2023,5,alonso,aston_martin,3,5.174702213314832,2022,2023,0.99
russell_2023_5,2023,5,russell,mercedes,4,7.746913568796002,2022,2023,0.99
sainz_2023_5,2023,5,sainz,ferrari,5,4.501694194163822,2022,2023,0.99
hamilton_2023_5,2023,5,hamilton,mercedes,6,12.363693272194254,2022,2023,0.99
leclerc_2023_5,2023,5,leclerc,ferrari,7,5.93278539898699,2022,2023,0.99
gasly_2023_5,2023,5,gasly,alpine,8,8.161180793869107,2022,2023,0.99
ocon_2023_5,2023,5,ocon,alpine,9,10.016387454585876,2022,2023,0.99
kevin_magnussen_2023_5,2023,5,kevin_magnussen,haas,10,9.336978139970308,2022,2023,0.99
tsunoda_2023_5,2023,5,tsunoda,alphatauri,11,15.252489155341863,2022,2023,0.99
stroll_2023_5,2023,5,stroll,aston_martin,12,14.363616777792938,2022,2023,0.99
bottas_2023_5,2023,5,bottas,alfa,13,13.698967897724055,2022,2023,0.99
albon_2023_5,2023,5,albon,williams,14,14.2527541253977,2022,2023,0.99
hulkenberg_2023_5,2023,5,hulkenberg,haas,15,14.375467393447218,2022,2023,0.99
zhou_2023_5,2023,5,zhou,alfa,16,16.216955630687576,2022,2023,0.99
norris_2023_5,2023,5,norris,mclaren,17,14.18943949601359,2022,2023,0.99
de_vries_2023_5,2023,5,de_vries,alphatauri,18,15.358172652228738,2022,2023,0.99
piastri_2023_5,2023,5,piastri,mclaren,19,14.69659934603653,2022,2023,0.99
sargeant_2023_5,2023,5,sargeant,williams,20,18.08505871724188,2022,2023,0.99
max_verstappen_2023_6,2023,6,max_verstappen,red_bull,1,1.7018599132875238,2022,2023,0.99
alonso_2023_6,2023,6,alonso,aston_martin,2,4.4172666683787885,2022,2023,0.99
ocon_2023_6,2023,6,ocon,alpine,3,6.0587414976638945,2022,2023,0.99
hamilton_2023_6,2023,6,hamilton,mercedes,4,5.449059975461624,2022,2023,0.99
russell_2023_6,2023,6,russell,mercedes,5,8.033265642098801,2022,2023,0.99
leclerc_2023_6,2023,6,leclerc,ferrari,6,3.676581742745339,2022,2023,0.99
gasly_2023_6,2023,6,gasly,alpine,7,7.824697894160218,2022,2023,0.99
sainz_2023_6,2023,6,sainz,ferrari,8,4.601599118768993,2022,2023,0.99
norris_2023_6,2023,6,norris,mclaren,9,10.685698872716953,2022,2023,0.99
piastri_2023_6,2023,6,piastri,mclaren,10,12.307441042011856,2022,2023,0.99
bottas_2023_6,2023,6,bottas,alfa,11,14.547311854380846,2022,2023,0.99
de_vries_2023_6,2023,6,de_vries,alphatauri,12,12.560824620764995,2022,2023,0.99
zhou_2023_6,2023,6,zhou,alfa,13,15.682485180396132,2022,2023,0.99
albon_2023_6,2023,6,albon,williams,14,14.246969218635924,2022,2023,0.99
tsunoda_2023_6,2023,6,tsunoda,alphatauri,15,11.001302309766393,2022,2023,0.99
perez_2023_6,2023,6,perez,red_bull,16,9.755459880594627,2022,2023,0.99
hulkenberg_2023_6,2023,6,hulkenberg,haas,17,15.618974218391806,2022,2023,0.99
sargeant_2023_6,2023,6,sargeant,williams,18,15.852973360399774,2022,2023,0.99
max_verstappen_2023_7,2023,7,max_verstappen,red_bull,1,1.6488442777408114,2022,2023,0.99
hamilton_2023_7,2023,7,hamilton,mercedes,2,5.0341104046614475,2022,2023,0.99
russell_2023_7,2023,7,russell,mercedes,3,9.64870262799727,2022,2023,0.99
perez_2023_7,2023,7,perez,red_bull,4,9.026427010686476,2022,2023,0.99
sainz_2023_7,2023,7,sainz,ferrari,5,4.2286692544591755,2022,2023,0.99
stroll_2023_7,2023,7,stroll,aston_martin,6,8.323458879166822,2022,2023,0.99
alonso_2023_7,2023,7,alonso,aston_martin,7,8.647898453512367,2022,2023,0.99
ocon_2023_7,2023,7,ocon,alpine,8,8.667163048454796,2022,2023,0.99
zhou_2023_7,2023,7,zhou,alfa,9,15.668543920481373,2022,2023,0.99
gasly_2023_7,2023,7,gasly,alpine,10,7.568666805389867,2022,2023,0.99
leclerc_2023_7,2023,7,leclerc,ferrari,11,9.984071771799156,2022,2023,0.99
tsunoda_2023_7,2023,7,tsunoda,alphatauri,12,15.343535304205874,2022,2023,0.99
piastri_2023_7,2023,7,piastri,mclaren,13,12.923823508686974,2022,2023,0.99
de_vries_2023_7,2023,7,de_vries,alphatauri,14,15.445128791468129,2022,2023,0.99
hulkenberg_2023_7,2023,7,hulkenberg,haas,15,12.756154888556239,2022,2023,0.99
albon_2023_7,2023,7,albon,williams,16,16.873119687554244,2022,2023,0.99
norris_2023_7,2023,7,norris,mclaren,17,6.793717725047021,2022,2023,0.99
kevin_magnussen_2023_7,2023,7,kevin_magnussen,haas,18,16.68293889916811,2022,2023,0.99
bottas_2023_7,2023,7,bottas,alfa,19,15.824849248825442,2022,2023,0.99
sargeant_2023_7,2023,7,sargeant,williams,20,18.15185232532634,2022,2023,0.99
max_verstappen_2023_8,2023,8,max_verstappen,red_bull,1,1.4900796624933341,2022,2023,0.99
alonso_2023_8,2023,8,alonso,aston_martin,2,4.0204845184994795,2022,2023,0.99
hamilton_2023_8,2023,8,hamilton,mercedes,3,3.869647808268623,2022,2023,0.99
leclerc_2023_8,2023,8,leclerc,ferrari,4,7.18085236450362,2022,2023,0.99
sainz_2023_8,2023,8,sainz,ferrari,5,7.072903816187723,2022,2023,0.99
perez_2023_8,2023,8,perez,red_bull,6,8.32145844690685,2022,2023,0.99
albon_2023_8,2023,8,albon,williams,7,12.10029552658646,2022,2023,0.99
ocon_2023_8,2023,8,ocon,alpine,8,7.535751285154891,2022,2023,0.99
stroll_2023_8,2023,8,stroll,aston_martin,9,11.61163409645457,2022,2023,0.99
bottas_2023_8,2023,8,bottas,alfa,10,14.156498035918384,2022,2023,0.99
piastri_2023_8,2023,8,piastri,mclaren,11,10.324930522912759,2022,2023,0.99
gasly_2023_8,2023,8,gasly,alpine,12,12.668293653456114,2022,2023,0.99
norris_2023_8,2023,8,norris,mclaren,13,8.385958121351308,2022,2023,0.99
tsunoda_2023_8,2023,8,tsunoda,alphatauri,14,14.076486377693689,2022,2023,0.99
hulkenberg_2023_8,2023,8,hulkenberg,haas,15,8.738055171435793,2022,2023,0.99
zhou_2023_8,2023,8,zhou,alfa,16,15.076022196215233,2022,2023,0.99
kevin_magnussen_2023_8,2023,8,kevin_magnussen,haas,17,14.259331930162999,2022,2023,0.99
de_vries_2023_8,2023,8,de_vries,alphatauri,18,14.583960098275396,2022,2023,0.99
max_verstappen_2023_9,2023,9,max_verstappen,red_bull,1,2.310661732886658,2022,2023,0.99
leclerc_2023_9,2023,9,leclerc,ferrari,2,4.140511953070604,2022,2023,0.99
perez_2023_9,2023,9,perez,red_bull,3,9.851574888154486,2022,2023,0.99
norris_2023_9,2023,9,norris,mclaren,4,6.824205852000344,2022,2023,0.99
alonso_2023_9,2023,9,alonso,aston_martin,5,4.821775170934689,2022,2023,0.99
sainz_2023_9,2023,9,sainz,ferrari,6,3.51667437009938,2022,2023,0.99
russell_2023_9,2023,9,russell,mercedes,7,9.154527306888163,2022,2023,0.99
hamilton_2023_9,2023,9,hamilton,mercedes,8,5.827266104490133,2022,2023,0.99
stroll_2023_9,2023,9,stroll,aston_martin,9,7.333964901487829,2022,2023,0.99
gasly_2023_9,2023,9,gasly,alpine,10,9.05726679951149,2022,2023,0.99
albon_2023_9,2023,9,albon,williams,11,13.23579590209262,2022,2023,0.99
zhou_2023_9,2023,9,zhou,alfa,12,15.043096014308224,2022,2023,0.99
sargeant_2023_9,2023,9,sargeant,williams,13,17.64312984564858,2022,2023,0.99
ocon_2023_9,2023,9,ocon,alpine,14,9.569511275420378,2022,2023,0.99
bottas_2023_9,2023,9,bottas,alfa,15,14.133533004771982,2022,2023,0.99
piastri_2023_9,2023,9,piastri,mclaren,16,13.967448232857915,2022,2023,0.99
de_vries_2023_9,2023,9,de_vries,alphatauri,17,16.10923522947224,2022,2023,0.99
kevin_magnussen_2023_9,2023,9,kevin_magnussen,haas,18,16.7023591366523,2022,2023,0.99
tsunoda_2023_9,2023,9,tsunoda,alphatauri,19,14.124920476091438,2022,2023,0.99
max_verstappen_2023_10,2023,10,max_verstappen,red_bull,1,2.22762320138878,2022,2023,0.99
norris_2023_10,2023,10,norris,mclaren,2,6.019463933513646,2022,2023,0.99
hamilton_2023_10,2023,10,hamilton,mercedes,3,6.051137453931364,2022,2023,0.99
piastri_2023_10,2023,10,piastri,mclaren,4,7.284227361926683,2022,2023,0.99
russell_2023_10,2023,10,russell,mercedes,5,6.149093906906985,2022,2023,0.99
perez_2023_10,2023,10,perez,red_bull,6,8.759019137721893,2022,2023,0.99
alonso_2023_10,2023,10,alonso,aston_martin,7,6.068978860490944,2022,2023,0.99
