RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,2.1686673,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,2.8854542,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,6.2051735,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,3.354648,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,4.3270016,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,9.121097,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,4.275691,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,10.294507,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,11.320556,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,13.5077915,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,11.984994,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,12.118018,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,14.005021,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,11.817343,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,10.519452,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,11.969173,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,8.742763,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,2.6265469,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,8.204937,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,4.578615,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,3.250209,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.9561777,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,4.0200496,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.228886,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,6.689072,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,8.579326,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,11.983758,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,11.913437,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.8796425,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,11.137014,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,12.50145,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,7.8149824,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,13.616636,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,11.865741,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,11.600783,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,2.1072009,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,4.551775,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,5.0362163,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,7.723297,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,9.162277,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,10.371996,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,11.673241,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,13.478512,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,14.133686,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,10.959847,2022,2023,0.99
bottas_2023_3,2023,3,bottas,alfa,11,13.230418,2022,2023,0.99
sainz_2023_3,2023,3,sainz,ferrari,12,4.08956,2022,2023,0.99
perez_2023_4,2023,4,perez,red_bull,1,2.915207,2022,2023,0.99
