RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,31.704618,2022,2023,0.99
perez_2023_1,2023,1,perez,red_bull,2,31.704618,2022,2023,0.99
alonso_2023_1,2023,1,alonso,aston_martin,3,31.704618,2022,2023,0.99
sainz_2023_1,2023,1,sainz,ferrari,4,31.704618,2022,2023,0.99
hamilton_2023_1,2023,1,hamilton,mercedes,5,31.704618,2022,2023,0.99
stroll_2023_1,2023,1,stroll,aston_martin,6,31.704618,2022,2023,0.99
russell_2023_1,2023,1,russell,mercedes,7,31.704618,2022,2023,0.99
bottas_2023_1,2023,1,bottas,alfa,8,31.704618,2022,2023,0.99
gasly_2023_1,2023,1,gasly,alpine,9,31.704618,2022,2023,0.99
albon_2023_1,2023,1,albon,williams,10,31.704618,2022,2023,0.99
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,31.704618,2022,2023,0.99
sargeant_2023_1,2023,1,sargeant,williams,12,31.704618,2022,2023,0.99
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,31.704618,2022,2023,0.99
de_vries_2023_1,2023,1,de_vries,alphatauri,14,31.704618,2022,2023,0.99
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,31.704618,2022,2023,0.99
zhou_2023_1,2023,1,zhou,alfa,16,31.704618,2022,2023,0.99
norris_2023_1,2023,1,norris,mclaren,17,31.704618,2022,2023,0.99
perez_2023_2,2023,2,perez,red_bull,1,31.704618,2022,2023,0.99
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,31.704618,2022,2023,0.99
alonso_2023_2,2023,2,alonso,aston_martin,3,31.704618,2022,2023,0.99
russell_2023_2,2023,2,russell,mercedes,4,31.704618,2022,2023,0.99
hamilton_2023_2,2023,2,hamilton,mercedes,5,31.704618,2022,2023,0.99
sainz_2023_2,2023,2,sainz,ferrari,6,31.704618,2022,2023,0.99
leclerc_2023_2,2023,2,leclerc,ferrari,7,31.704618,2022,2023,0.99
ocon_2023_2,2023,2,ocon,alpine,8,31.704618,2022,2023,0.99
gasly_2023_2,2023,2,gasly,alpine,9,31.704618,2022,2023,0.99
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,31.704618,2022,2023,0.99
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,31.704618,2022,2023,0.99
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,31.704618,2022,2023,0.99
zhou_2023_2,2023,2,zhou,alfa,13,31.704618,2022,2023,0.99
de_vries_2023_2,2023,2,de_vries,alphatauri,14,31.704618,2022,2023,0.99
piastri_2023_2,2023,2,piastri,mclaren,15,31.704618,2022,2023,0.99
sargeant_2023_2,2023,2,sargeant,williams,16,31.704618,2022,2023,0.99
norris_2023_2,2023,2,norris,mclaren,17,31.704618,2022,2023,0.99
bottas_2023_2,2023,2,bottas,alfa,18,31.704618,2022,2023,0.99
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,31.704618,2022,2023,0.99
hamilton_2023_3,2023,3,hamilton,mercedes,2,31.704618,2022,2023,0.99
alonso_2023_3,2023,3,alonso,aston_martin,3,31.704618,2022,2023,0.99
stroll_2023_3,2023,3,stroll,aston_martin,4,31.704618,2022,2023,0.99
perez_2023_3,2023,3,perez,red_bull,5,31.704618,2022,2023,0.99
norris_2023_3,2023,3,norris,mclaren,6,31.704618,2022,2023,0.99
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,31.704618,2022,2023,0.99
piastri_2023_3,2023,3,piastri,mclaren,8,31.704618,2022,2023,0.99
zhou_2023_3,2023,3,zhou,alfa,9,31.704618,2022,2023,0.99
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,31.704618,2022,2023,0.99
bottas_2023_3,2023,3,bottas,alfa,11,31.704618,2022,2023,0.99
sainz_2023_3,2023,3,sainz,ferrari,12,31.704618,2022,2023,0.99
perez_2023_4,2023,4,perez,red_bull,1,31.704618,2022,2023,0.99
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,31.704618,2022,2023,0.99
leclerc_2023_4,2023,4,leclerc,ferrari,3,31.704618,2022,2023,0.99
alonso_2023_4,2023,4,alonso,aston_martin,4,31.704618,2022,2023,0.99
sainz_2023_4,2023,4,sainz,ferrari,5,31.704618,2022,2023,0.99
hamilton_2023_4,2023,4,hamilton,mercedes,6,31.704618,2022,2023,0.99
stroll_2023_4,2023,4,stroll,aston_martin,7,31.704618,2022,2023,0.99
russell_2023_4,2023,4,russell,mercedes,8,31.704618,2022,2023,0.99
norris_2023_4,2023,4,norris,mclaren,9,31.704618,2022,2023,0.99
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,31.704618,2022,2023,0.99
piastri_2023_4,2023,4,piastri,mclaren,11,31.704618,2022,2023,0.99
albon_2023_4,2023,4,albon,williams,12,31.704618,2022,2023,0.99
kevin_magnussen_2023_4,2023,4,kevin_magnussen,haas,13,31.704618,2022,2023,0.99
gasly_2023_4,2023,4,gasly,alpine,14,31.704618,2022,2023,0.99
ocon_2023_4,2023,4,ocon,alpine,15,31.704618,2022,2023,0.99
sargeant_2023_4,2023,4,sargeant,williams,16,31.704618,2022,2023,0.99
hulkenberg_2023_4,2023,4,hulkenberg,haas,17,31.704618,2022,2023,0.99
bottas_2023_4,2023,4,bottas,alfa,18,31.704618,2022,2023,0.99
max_verstappen_2023_5,2023,5,max_verstappen,red_bull,1,31.704618,2022,2023,0.99
perez_2023_5,2023,5,perez,red_bull,2,31.704618,2022,2023,0.99
alonso_2023_5,2023,5,alonso,aston_martin,3,31.704618,2022,2023,0.99
russell_2023_5,2023,5,russell,mercedes,4,31.704618,2022,2023,0.99
sainz_2023_5,2023,5,sainz,ferrari,5,31.704618,2022,2023,0.99
hamilton_2023_5,2023,5,hamilton,mercedes,6,31.704618,2022,2023,0.99
leclerc_2023_5,2023,5,leclerc,ferrari,7,31.704618,2022,2023,0.99
gasly_2023_5,2023,5,gasly,alpine,8,31.704618,2022,2023,0.99
ocon_2023_5,2023,5,ocon,alpine,9,31.704618,2022,2023,0.99
kevin_magnussen_2023_5,2023,5,kevin_magnussen,haas,10,31.704618,2022,2023,0.99
tsunoda_2023_5,2023,5,tsunoda,alphatauri,11,31.704618,2022,2023,0.99
stroll_2023_5,2023,5,stroll,aston_martin,12,31.704618,2022,2023,0.99
bottas_2023_5,2023,5,bottas,alfa,13,31.704618,2022,2023,0.99
albon_2023_5,2023,5,albon,williams,14,31.704618,2022,2023,0.99
hulkenberg_2023_5,2023,5,hulkenberg,haas,15,31.704618,2022,2023,0.99
zhou_2023_5,2023,5,zhou,alfa,16,31.704618,2022,2023,0.99
norris_2023_5,2023,5,norris,mclaren,17,31.704618,2022,2023,0.99
de_vries_2023_5,2023,5,de_vries,alphatauri,18,31.704618,2022,2023,0.99
piastri_2023_5,2023,5,piastri,mclaren,19,31.704618,2022,2023,0.99
sargeant_2023_5,2023,5,sargeant,williams,20,31.704618,2022,2023,0.99
max_verstappen_2023_6,2023,6,max_verstappen,red_bull,1,31.704618,2022,2023,0.99
alonso_2023_6,2023,6,alonso,aston_martin,2,31.704618,2022,2023,0.99
ocon_2023_6,2023,6,ocon,alpine,3,31.704618,2022,2023,0.99
hamilton_2023_6,2023,6,hamilton,mercedes,4,31.704618,2022,2023,0.99
russell_2023_6,2023,6,russell,mercedes,5,31.704618,2022,2023,0.99
leclerc_2023_6,2023,6,leclerc,ferrari,6,31.704618,2022,2023,0.99
gasly_2023_6,2023,6,gasly,alpine,7,31.704618,2022,2023,0.99
sainz_2023_6,2023,6,sainz,ferrari,8,31.704618,2022,2023,0.99
norris_2023_6,2023,6,norris,mclaren,9,31.704618,2022,2023,0.99
piastri_2023_6,2023,6,piastri,mclaren,10,31.704618,2022,2023,0.99
bottas_2023_6,2023,6,bottas,alfa,11,31.704618,2022,2023,0.99
