,season,round,grid_position,laps,grid_position_zero_flag,fastf1_laps_count,fastf1_avg_lap_time,fastf1_best_lap_time,fastf1_avg_sector1,fastf1_avg_sector2,fastf1_avg_sector3,fastf1_max_tyre_life,fastf1_stints_count,fastf1_pit_in_count,fastf1_pit_out_count,compound_ordinal,circuito_albert_park,circuito_americas,circuito_bahrain,circuito_bahrain_outer,circuito_baku,circuito_catalunya,circuito_hockenheim,circuito_hungaroring,circuito_imola,circuito_interlagos,circuito_istanbul,circuito_jeddah,circuito_las_vegas,circuito_losail,circuito_marina_bay,circuito_miami,circuito_monaco,circuito_monza,circuito_mugello,circuito_nurburgring,circuito_portimao,circuito_red_bull_ring,circuito_ricard,circuito_rodriguez,circuito_shanghai,circuito_silverstone,circuito_sochi,circuito_spa,circuito_suzuka,circuito_villeneuve,circuito_yas_marina,circuito_zandvoort,constructor_alfa,constructor_alphatauri,constructor_alpine,constructor_aston_martin,constructor_ferrari,constructor_force_india,constructor_haas,constructor_mclaren,constructor_mercedes,constructor_racing_point,constructor_rb,constructor_red_bull,constructor_renault,constructor_sauber,constructor_toro_rosso,constructor_williams,wet_compound_flag,corrida_chuva_flag,outlier_flag,status_falha_mecanica_flag,outlier_legitimo_flag,outlier_revisao_flag,outlier_espurio_flag,fastf1_laps_count_zscore,fastf1_avg_lap_time_zscore,fastf1_best_lap_time_zscore,fastf1_avg_sector1_zscore,fastf1_avg_sector2_zscore,fastf1_avg_sector3_zscore,fastf1_max_tyre_life_zscore,fastf1_stints_count_zscore,fastf1_pit_in_count_zscore,fastf1_pit_out_count_zscore,grid_position_minmax,laps_minmax,qualifying_position,grid_penalty,altitude_m,corners,length_km,circuit_type,track_complexity,weather_impact_factor,safety_car_flag,tire_compound_start,season_factor,avg_pit_stops_circuit_static_global,avg_pit_stops_circuit,avg_pit_stops_circuit_cold_start_flag,outlier_reclassificado_pos_contexto_flag,outlier_reclassificado_nao_feature_flag,track_complexity_static,incident_rate_hist,incident_rate_hist_norm,race_order,driver_coef_rapm,constructor_coef_rapm,recent_form_5,recent_form_3,recent_form_cold_start_flag,driver_experience,driver_win_flag,driver_wins_total,constructor_wins_total,driver_dnf_rate,constructor_dnf_rate,driver_constructor_synergy
season,1.0,0.1040310937146476,-0.005099486786384969,0.00017256657843953013,-0.0494981406209142,0.2628743751045877,-0.02606093846808535,-0.03995429874551524,0.05048101365839127,-0.04621121161084362,-0.08463277665578087,-0.11283429911872088,0.12979222930596301,0.2379336479198963,0.25058057240746806,0.10883051795647435,0.00203671904477612,0.018243971265389024,-0.009365526003719083,-0.05608324970475437,0.019160380339865196,-0.00839516102908354,-0.1372949707108694,-0.01459261137823109,0.06281072661634089,-0.006363011443915437,-0.055104830328491006,0.10522682271669691,0.12873235761526822,0.09627452434373664,0.012017814143552543,0.12271710127201854,-0.0014489448824450183,-0.007989044482946428,-0.0470791469000036,-0.052663044700218084,-0.05938608809087904,-0.031425237758284784,-0.1119518157701467,-0.0026071067576268142,-0.023561533881297697,-0.03634147254932999,-0.14609895791195562,-0.003605453006333645,0.016984039929894293,0.006200699093499738,-0.011205690911192254,0.10122001117158769,-0.07541792351305865,-0.009124600354766248,0.15640384150493944,0.15739318695964213,-0.006655334002535773,-0.17318560628881016,0.014701352800702085,0.016812156730406896,-0.014034049913602496,-0.14644128922424915,0.20536929205159113,0.01244072573720587,-0.21566121931977486,0.08476643912318134,-0.2080010427621134,-0.02134153299898399,0.02439763640732783,0.022539284604496543,-0.03644066118468898,,-0.03644066118468898,,,0.2628743751045882,-0.026060938468093382,-0.03995429874552465,0.05048101365839208,-0.04621121161084613,-0.08463277665578268,-0.1128342991187251,0.1297922293059591,0.23793364791989663,0.25058057240747,-0.005099486786386554,0.00017256657843316435,-0.01020948181734923,0.01853736556660397,-0.02220938641159552,0.11038859356666479,0.02515210946983524,0.08705570283336975,0.08067520211457803,-0.0337709910341716,-0.11369136815086316,0.10883051795647435,1.0,-0.018419699449696958,0.4536796606610362,-0.5466607734146757,-0.03791480568770927,-0.00558070188946891,0.09723906028248247,-0.07038809731259375,-0.07038809731258795,0.9912337200559391,0.15782980272378097,0.017833357732412805,0.05763992334227533,0.05670414961305473,-0.09327365475645603,0.6860210247084529,-0.005579040414622647,0.20126111759786156,0.28750968533103877,-0.23861687905325485,-0.38428062257786705,-0.06594874137852981
round,0.1040310937146476,1.0,-0.00415868416804428,-0.017353117630919384,-0.008618962608778506,0.20777965726099518,0.03076632872196757,0.05337058914557365,-0.09730790978819172,0.18353454548814302,-0.03374095637010475,-0.07558207085485996,-0.03932296756075017,0.07179067890104097,0.07059355400155815,-0.05224004668070974,-0.2649204372059785,0.22567543552028937,-0.28127770828962884,0.055014489637982084,-0.08090312549512345,-0.1739207195526645,-0.006377796813250556,-0.01041017136594145,-0.1344696667130601,0.2810344062109147,0.06475269089580653,-0.14065051373563717,0.21198052124870045,0.2198251302705308,0.14879884844106184,-0.14525736758075247,-0.1600152196837684,0.09180164414930926,-0.02430216097717525,-0.004657694894661611,-0.07043642669481634,-0.12131438947000446,-0.06840842276173474,0.24808427595043797,-0.19878829291579764,-0.08331846255863401,0.06730729635084362,0.030262013674205994,0.024035633395729606,-0.09272138484179274,0.35655241411048416,0.07843358161358406,-0.02441952437330255,-0.00743085005110851,0.031793896810454296,0.014820469064658743,-0.0008937203309157534,-0.012039026583323143,0.002817618265822561,-0.002127131845488766,-0.0005324370940684062,-0.03917986374913866,0.02894535732785812,0.008034388371885994,-0.024592035068534513,0.01364402448957505,-0.0013285987385236288,-0.00766452415304142,-0.036570131886521855,-0.04225298448198823,-0.017000679074971208,,-0.017000679074971208,,,0.20777965726099518,0.030766328721964855,0.05337058914557202,-0.09730790978819139,0.18353454548814255,-0.03374095637010528,-0.07558207085486147,-0.039322967560750634,0.07179067890104093,0.07059355400155837,-0.004158684168044648,-0.017353117630919568,-0.0040768932416598135,-0.00024351671364776267,0.3185580939792482,-0.0386754190481885,0.02020987124979672,-0.10481048186076217,0.03407815495846363,-0.04310329688814859,-0.037764220752283764,-0.05224004668070974,0.10403109371464775,-0.11155881135522615,0.09801731403428529,0.05698568492206258,-0.030943017425321764,-0.009903579779670534,0.05342728405180531,-0.13897822253583605,-0.13897822253583528,0.22933708406292946,0.0204935639856209,0.0008288830089544258,0.05146988043218854,0.04315873945163309,-0.1527547749400404,0.1961872771680749,-0.00012266140271217267,0.05171786340032179,0.07237236914876348,-0.0022950967743834635,-0.11828724671563931,-0.08842810584730454
grid_position,-0.005099486786384969,-0.00415868416804428,1.0,-0.025357104930918247,0.20047540784166232,-0.018064241217549862,0.0490133229186358,0.04355481837322238,0.020867028297711313,0.02987847988093519,0.01713836100760611,0.0013219487992718055,0.03045020000772271,0.029574032879227274,0.07146740543997743,-0.05026410737251904,-0.004261711989367546,0.015498165284892224,0.011953597682575893,0.008925550998537623,0.005857640588247004,0.0041022309758436525,0.001898231257193591,0.007111477686820328,0.003409632272291481,0.0005211284538272593,-0.0044153296005233055,-0.014073348349034223,-0.002592956964702896,-0.008953097438417892,-0.007740492733772632,-0.0038414276418162305,-0.005164610708974785,0.00011977574246446754,-0.012570030735437776,0.01409377882931674,0.0005238472225011532,0.009314835202385052,-0.006511015108051832,-0.004504982702021365,-0.00029088064646208897,-0.010068154736907373,-0.005283614003568436,0.011992768990986391,-0.006544799636991526,-0.0041820130964183785,-0.007623973761095746,0.006425870188655051,0.17491095655373684,0.07483407210297022,0.08548485172278149,0.07373042696563963,-0.2619026466115314,0.009396571109897472,0.19847145340060943,-0.1388387783984377,-0.3132214204580987,0.029765770110063157,0.020177302357263293,-0.2299327558078916,-0.015414023637189913,0.16816440204469665,0.08215852137421811,0.28078717542001974,-0.010101109300268755,-0.002032015044353755,0.030306919192352504,,0.030306919192352504,,,-0.018064241217549806,0.049013322918635825,0.043554818373222476,0.020867028297711306,0.029878479880935137,0.017138361007606073,0.0013219487992718298,0.030450200007722753,0.029574032879227247,0.07146740543997733,0.9999999999999991,-0.02535710493091833,0.9616152355028076,0.1262218896379901,0.0009804560574361392,-0.011837826726653808,-0.002594129204718998,-0.014317628264956073,-0.012832694186845902,-0.005567613728703276,-0.014183476781209308,-0.05026410737251904,-0.0050994867863842315,0.005371235619827947,0.002050315596626786,-0.005543046438825497,0.025326025983248786,-0.004147386623775035,-0.012414670559287105,-0.004416262504258098,-0.004416262504258122,-0.005708417118594156,-0.5559383701554229,-0.6253353522603562,0.6487470528876704,0.636255266710701,0.05397279426280485,-0.19389629678865494,-0.3428064696267409,-0.30521690398844964,-0.37289686490230095,0.08866729879825656,0.009567356126999042,-0.5936071481224987
laps,0.00017256657843953013,-0.017353117630919384,-0.025357104930918247,1.0,-0.029809916838230602,0.5359491413040071,-0.8226240706077993,-0.8456811418574495,-0.6806761123372113,-0.5815656666214736,-0.5458986408258426,0.47718943715670153,0.19329637706286404,0.12702587658775122,0.11671423827607877,0.10060094112076041,-0.03499956410495054,-0.07752270648021103,-0.06535092643213691,0.20372455461661507,-0.1700767271344286,0.1303928380315927,0.05703810915038475,0.2141195995319761,0.053402347366093214,0.2137592965572173,-0.02264159521645438,-0.16068277996355904,-0.12345827085953642,-0.042253835219930466,0.024172413979710296,-0.04002434075556525,0.32168418814649663,-0.15120259649321924,-0.003496449007297389,0.0030606947510548994,0.06352522879831488,0.25673104264055296,-0.10735804928033481,0.2135519483325198,-0.057244993410921756,-0.1743043863878812,-0.1055855915992603,-0.4765792651046281,-0.21248702490033525,0.1783739558501743,-0.06693082863322601,0.20700661739538084,-0.007179356190482118,-0.009045943117493049,-0.0016407409955881509,-0.00864753044225816,-0.0015640235644664463,0.006171663971413678,-0.008554956951995872,0.004766932416139211,0.00887878964257674,0.007010641895641806,0.008446116252430677,0.009627593145658636,0.011720161970304545,0.008281604785649531,0.0029764508114632745,-0.017543567787644262,-0.05163845002070191,-0.1362873759475632,-0.16750641905144084,,-0.16750641905144084,,,0.5359491413040075,-0.8226240706077981,-0.8456811418574488,-0.6806761123372083,-0.581565666621475,-0.545898640825842,0.4771894371567033,0.19329637706286418,0.12702587658775108,0.11671423827607881,-0.02535710493091832,0.9999999999999969,-0.023854621056714462,-0.005113604481891475,0.23930508663477487,-0.38662331865198724,-0.9101535466528593,0.010014154734647666,-0.5723688942841657,-0.05501687179563017,0.042164887943858205,0.10060094112076041,0.0001725665784393002,0.29129809196232237,0.06410023255333891,0.041270879272124014,0.01532572446917563,0.018746731634540523,-0.607407568771548,-0.21911271476602528,-0.21911271476602467,-0.0001588265974444761,0.014987796470785564,0.018403430335222588,-0.006588039308610832,-0.0029137562173329554,-0.010515687897801593,0.001031669926984717,0.008857458018129271,0.007263890871448593,0.01045798371105707,0.014946071291867735,0.007864014865597155,0.012955757181001315
grid_position_zero_flag,-0.0494981406209142,-0.008618962608778506,0.20047540784166232,-0.029809916838230602,1.0,-0.032537311165933114,0.06326097221057178,0.06275564574732592,0.04545802128487477,0.03752778028143236,0.01445840202668175,-0.001786075468982491,0.005024479477949921,-0.0033820380060104968,0.0817086728030974,-0.023684750763751216,-0.019596691537702177,0.009763046391023565,-0.0095068075170031,-0.008362268748160042,0.010703322493335912,-0.010491754525417441,-0.010752180767526645,0.033806847747437224,-0.00042368123915273605,0.010228843337807079,0.016307189816458383,-0.018573118018826093,-0.014422734417680492,-0.016616473447492505,-0.0038366217437434285,0.0034458697930526997,-0.022912096123878265,-0.009072167091122704,-0.007019715884594369,-0.007852300556728172,-0.012547452232679055,0.013143500504038499,0.0034458697930527717,-0.006444203789454735,0.003716505432841861,-0.011037501323843402,0.003716505432841899,0.04843395049967295,-0.004020704804894851,-0.0036509056933356544,-0.024426161068978696,0.03553751246797379,0.06356360034428815,0.0494548173750136,-0.003738897434648384,-0.016512115893999795,-0.036961438646198996,-0.011860538810746609,0.017223595362378278,-0.03730347970829663,-0.028006314131332147,0.00543073510779353,-0.018573118018826138,0.01469249000923983,-0.002101784089485185,-0.022123102866562914,0.004270100715563593,0.029395935389628786,0.01702317090627948,0.058197284011293496,0.05663621997252243,,0.05663621997252243,,,-0.032537311165933044,0.06326097221057264,0.06275564574732653,0.045458021284874785,0.03752778028143244,0.014458402026681914,-0.0017860754689821936,0.005024479477950104,-0.003382038006010517,0.08170867280309731,0.2004754078416624,-0.029809916838230487,0.19949384889343835,0.0010335668803916548,0.009853652677200333,-0.013181711100168454,0.012706150074139652,-0.01806072747098,-0.0030542286726047666,0.03249902364951022,-0.004654865773762371,-0.023684750763751216,-0.04949814062091412,0.002490744239755275,-0.008519139785821788,-0.017188221320675455,-0.007307598652808014,-0.0020226255402060224,-0.0038430564890404493,0.006841244171971875,0.006841244171971658,-0.051220308991058484,-0.053072731645232296,-0.04709047116783489,0.06275582722056056,0.06349758534592907,-0.013358941557868783,-0.037281822913243536,-0.02741700353953935,-0.036180669996060254,-0.035944775920430966,-0.016399312313909765,0.00707797749175274,-0.04694150383859095
fastf1_laps_count,0.2628743751045877,0.20777965726099518,-0.018064241217549862,0.5359491413040071,-0.032537311165933114,1.0,-0.46048754963340977,-0.45383809522183,-0.3771395240507343,-0.2983090660029077,-0.35178870248000155,0.21225352928454755,0.08541415133732655,0.41502391221275214,0.40487674507876525,0.04892924037166992,-0.06478475615497864,-0.0034913925377483795,-0.09132951827691656,0.08107444629888952,-0.06785523220578273,0.10405359661373173,0.002531721935604977,0.1482574728555,-0.019470168401916326,0.14068931601418405,-0.0407766433831731,-0.124800586006264,0.018094732165358497,0.03373074562044921,0.060451001667772376,-0.06130563572249471,0.10454502449275664,-0.05373641418297163,-0.01871137915999015,-0.017464213762689137,0.0012468752912499644,0.15740891811894897,-0.09467650856591765,0.15245874565897533,-0.0695639169693718,-0.07833988918035727,-0.09359925675750146,-0.23279251581863872,-0.1548159983011648,0.041486091874454734,-0.020812954840429103,0.19311515594697043,-0.07113710042444499,-0.06363511709268765,0.03288390777661827,0.02789488437776109,0.0015002355280764482,-0.02499291112367649,-0.0007138213694469533,0.00914604938754143,0.0002089378947652139,-0.0360880134564066,0.1151773459056213,0.00470022186410821,-0.04244896266483776,0.09347082667720737,-0.03856586792181936,-0.017158368914845273,-0.03433486659845362,-0.08294589856755659,-0.09900823089691589,,-0.09900823089691589,,,0.9999999999999997,-0.4604875496334124,-0.4538380952218341,-0.37713952405073353,-0.29830906600290785,-0.351788702480002,0.21225352928454608,0.08541415133732505,0.41502391221275026,0.4048767450787669,-0.01806424121755044,0.5359491413040043,-0.021285074059420997,0.01187040232619625,0.19791977873278455,-0.2414480673995564,-0.47413095999796895,-0.035318080292890165,-0.3106600494360943,-0.012837554915996826,-0.12681034680824513,0.04892924037166992,0.2628743751045872,0.16481558940581592,0.20193229880789842,-0.09963739378292281,-0.01848613000235438,0.004430537417012597,-0.3296555418446087,-0.12265615546360767,-0.12265615546360574,0.2833003588906016,0.047692698085859485,0.018494123870081817,0.01892034703920334,0.018362771484249318,-0.022991170630307388,0.2488962850023397,0.001638250013027404,0.07023941972714072,0.08480156216864897,-0.06466924305625663,-0.11554762656727251,-0.007864797627783788
fastf1_avg_lap_time,-0.02606093846808535,0.03076632872196757,0.0490133229186358,-0.8226240706077993,0.06326097221057178,-0.46048754963340977,1.0,0.9721527746016057,0.6847893991654759,0.745823996883055,0.5987641943468414,-0.370282715281422,-0.16071093859704813,-0.1068761622539438,-0.09690201120020567,-0.18655444242600322,-0.0239501298653213,0.12081619343440551,0.09449860497592663,-0.14715369362340772,0.20567248567646407,-0.11989876465626968,-0.022107567421209017,-0.12815500766439725,-0.07234419991934435,-0.1709186668659404,0.05075681855868304,0.039929574881905225,0.052581569970945666,-0.014583126932081015,0.15208964680990733,0.016168196447232646,-0.10235111607448727,-0.07888139513144482,-0.009005577410552667,0.010046109397837509,-0.06013052642767386,-0.3365675568852688,0.06873986799057343,-0.11260123629261795,0.08461149711330544,0.05969336623288005,0.08943719609573336,0.4977747341012833,0.08281067326112061,-0.1420950110227186,0.04630480715389012,-0.14942940961165083,0.009646099613130212,0.01482706098161904,0.0027990073295720407,0.011666072197893328,-0.008415117442665421,-0.006669980207668622,0.015861617678310583,-0.0038181710728918687,-0.014575010323101682,-0.015459408734020517,-0.012036347381854868,-0.01822016098189649,-0.009055908303149581,-0.0034498546528813727,0.008486409955404256,0.020434864411614698,0.14426520391618486,0.2703898925841683,0.26182336212690727,,0.26182336212690727,,,-0.46048754963340965,0.9999999999999972,0.9721527746016035,0.6847893991654769,0.7458239968830533,0.5987641943468422,-0.3702827152814217,-0.16071093859704844,-0.10687616225394345,-0.0969020112002058,0.04901332291863605,-0.8226240706077989,0.04798732134572467,0.0030942884592222906,-0.18145106682818773,0.45415606573486295,0.6476518897922542,0.117595714295236,0.5482087592034127,0.16657827780989745,0.011231090186766508,-0.18655444242600322,-0.02606093846808541,-0.2580633068089929,-0.034741767078559686,-0.0306582335755624,-0.009751647441310763,-0.025063100716104115,0.5715969194340921,0.19237461122822277,0.19237461122822236,-0.024584909691362122,-0.03330211846536151,-0.03409163677196845,0.025991901107775908,0.021281614675293263,-0.004785504405856699,-0.018960733829852826,-0.02623134582065268,-0.019178759408967398,-0.02732145246089158,0.004505306915196437,0.004573336297185537,-0.030836124930659698
fastf1_best_lap_time,-0.03995429874551524,0.05337058914557365,0.04355481837322238,-0.8456811418574495,0.06275564574732592,-0.45383809522183,0.9721527746016057,1.0,0.6742120878319313,0.7416095118726173,0.5838309599726405,-0.3826382114578307,-0.24556369044164705,-0.17668919628856877,-0.1697011245956199,-0.13911664667922807,-0.05148502204573472,0.13902652243917699,0.09362416491422562,-0.15066758699743177,0.21729204365007065,-0.1131898190892043,-0.06828639047374298,-0.10089045422918495,-0.09914539789266598,-0.17866732298184906,0.05019135046062567,0.0427437361579106,0.05928240988648259,-0.03228121819819315,0.15078337182553608,0.027689700261839513,-0.16678961407746304,-0.06167625662749651,-0.03161701648484757,0.007191704981943368,-0.0536224325695167,-0.30657244658284244,0.0777779331657343,-0.09540290162620298,0.08626799177554265,0.03006486251150969,0.09416281919886126,0.5128608627393465,0.08921812055738915,-0.15116914881534557,0.06933105653554661,-0.1563543645976807,0.008019684626367074,0.01308658002167077,0.001898851464361251,0.008984607356220621,-0.005330568602535199,-0.0022927255148985437,0.017032226685522497,-0.00654128958019753,-0.016568409113695316,-0.010219739189709736,-0.014028298724476623,-0.014946525299293809,-0.0027027570578897595,-0.00845003937310118,0.010686464675908093,0.01854364750459687,0.05828332232379097,0.18475856675149605,0.2549737131228067,,0.2549737131228067,,,-0.4538380952218317,0.9721527746016019,1.0000000000000002,0.6742120878319277,0.7416095118726211,0.5838309599726407,-0.3826382114578305,-0.24556369044164758,-0.1766891962885681,-0.1697011245956193,0.04355481837322248,-0.8456811418574504,0.04316997099297457,0.0008448960865757918,-0.15129158965381406,0.4300480220935237,0.6802742589553787,0.09713427768169708,0.5563917660981913,0.09920305514399005,-0.073178880586993,-0.13911664667922807,-0.03995429874551509,-0.3092057255240691,-0.05597122404682103,-0.031100627092876865,-0.024714378393032733,-0.02178503371190866,0.5771659085468422,0.21192732876120135,0.21192732876120132,-0.03531094453795578,-0.03357040461862824,-0.03253610085976785,0.021811817694664462,0.016504698913496815,-0.009855209290708862,-0.029027898741602137,-0.022056574886353226,-0.02278353740935612,-0.029251420928231443,0.0035737998146824256,0.008481842969296705,-0.030356832856384734
fastf1_avg_sector1,0.05048101365839127,-0.09730790978819172,0.020867028297711313,-0.6806761123372113,0.04545802128487477,-0.3771395240507343,0.6847893991654759,0.6742120878319313,1.0,0.3953649996564291,0.19708546540092994,-0.3236357230622442,-0.02591674013757969,-0.01272834347884183,-0.008224576263491885,-0.10630552448463573,0.07328035190589377,-0.02168516645300519,0.12392875278271955,-0.07985645913611353,0.3515722651831843,-0.14019363616061742,-0.12712378647723838,0.05816888777117422,-0.022376866048082387,-0.24909472874041946,0.1571638099585404,0.21118384687714867,0.010518895276315826,0.10377197287987364,0.050746099737131754,0.08833264525596239,-0.23813223771916742,0.007388059052651331,0.05350213808841587,0.02990112471264513,-0.06487610255854795,-0.4056655850267873,-0.08235069138976969,0.03889509515811444,-0.03126171055369008,0.1099022605474649,0.21478651107062893,0.26424806283117275,0.2361572972245839,-0.17667817070778247,-0.34371027091686607,-0.02832254747664358,0.007602001186691503,0.020815946073489366,0.009529722839951018,0.007848064170570363,0.008552479684732323,-0.014745636761378545,0.0018721632726710663,0.002204246955158267,-0.0013270773122781268,-0.0087632377676891,-0.007915555355343976,-0.012895215984139903,-0.026112866622032608,-0.005219960049502239,-0.016839992954032792,0.007642991753108666,0.1705619951916301,0.23072106351923016,0.12127165165926918,,0.12127165165926918,,,-0.37713952405073187,0.6847893991654764,0.6742120878319312,1.0000000000000004,0.3953649996564291,0.19708546540092894,-0.32363572306224647,-0.025916740137579726,-0.012728343478841771,-0.008224576263491778,0.020867028297711254,-0.6806761123372113,0.018988616631303152,0.00652896640260401,-0.12378352399683852,0.48492421705362015,0.6295186439087953,0.18443675822789707,0.6009089673608647,0.0951420798246046,0.07632355850289708,-0.10630552448463573,0.05048101365839108,-0.13263739273293357,0.11564730082713545,0.00536902318533645,-0.02506056785540245,-0.025177622106827828,0.6194651132991278,0.20675870454002399,0.2067587045400238,0.03412927443017697,0.0009463829387505718,-0.0062367690663076274,-0.004306362628164541,-0.003163411247033552,0.0266785606072646,0.02703473514846043,-0.009984800349714055,0.0066467074098066825,0.007225185102136503,-0.023496312063880913,-0.019672216376267718,0.0061883223516708856
fastf1_avg_sector2,-0.04621121161084362,0.18353454548814302,0.02987847988093519,-0.5815656666214736,0.03752778028143236,-0.2983090660029077,0.745823996883055,0.7416095118726173,0.3953649996564291,1.0,0.1022091388460904,-0.3442639977931347,-0.11991922111564243,-0.0628779710215307,-0.04807250039413255,-0.08244860587551837,-0.3126938058099729,0.12423544047042583,0.1925928289854912,-0.1300060949660106,0.22024410453685947,-0.10164736595102572,0.056849072115665554,-0.16692899915442183,-0.1332064879244901,0.11682866558278542,-0.018108577329415353,-0.09869813812196757,-0.03854809758151484,-0.1066827061732359,0.17387187300772008,0.0004784391756443203,0.04578358482346007,-0.16987878116465543,-0.07924076930020911,0.03113115640716859,-0.05363363591559514,-0.13578713141325796,-0.1139221692711039,-0.0866025684062655,-0.10666904608100132,0.10851544631949171,-0.001646201290069676,0.5382251445291938,0.2142514785816201,-0.24087947798689893,0.13403179262914944,-0.17325096362941414,-0.0024189731165301038,0.02060010092656586,0.0036114309198412606,0.0034426955132258845,-0.01136600603251951,0.005768922192518775,0.012802359350873633,-0.004169778978169123,-0.010287270014942819,-0.014359079366912773,-0.016256722088726805,-0.013667161449740079,-0.006969362152849226,-0.01574571368603662,0.029612895336826796,0.023083997567044146,0.08549354514314594,0.18507314531146737,0.211154523068729,,0.211154523068729,,,-0.2983090660029075,0.7458239968830548,0.7416095118726188,0.3953649996564291,0.9999999999999996,0.10220913884609051,-0.3442639977931367,-0.11991922111564249,-0.0628779710215306,-0.04807250039413267,0.029878479880935203,-0.5815656666214758,0.03002520925552359,-0.0009052667944064336,-0.039456611733037224,0.3697962026253883,0.437565592809973,0.04197063340344651,0.4139329224800468,0.1659954765599754,0.012492842432429853,-0.08244860587551837,-0.046211211610843364,-0.1598604090217523,0.06489773185472268,-0.06557963713059445,0.006576219680527507,-0.010828063722778211,0.43608366544217086,0.1023813865691135,0.10238138656911276,-0.023612702894777644,-0.025688836376551054,-0.02683323827290612,0.04898055273539569,0.0439009241877285,-0.09519042750167507,-0.01526941021591205,-0.014089328331359698,-0.008942154502546111,-0.01696747960570596,0.02525174221892651,0.030272309880410186,-0.054330478765166564
