modelo,modelo_label,faixa_grid,mae,erro_medio,n
lightgbm_tuned,LightGBM,P1-P5,2.085198184526042,0.9930717082826571,27
lightgbm_tuned,LightGBM,P6-P10,2.770272971059095,1.271738215692232,27
lightgbm_tuned,LightGBM,P11-P15,2.3480960222246465,1.7508694271370584,31
lightgbm_tuned,LightGBM,P16+,2.6488762077114076,-0.8558771891268945,29
random_forest_tuned,Random Forest,P1-P5,2.059413791085915,0.8922326657905475,27
random_forest_tuned,Random Forest,P6-P10,2.890391824550705,1.5440510784609487,27
random_forest_tuned,Random Forest,P11-P15,2.260329794590764,1.7520204438015672,31
random_forest_tuned,Random Forest,P16+,2.9246522237514356,-1.1877430482557803,29
ridge_baseline,Ridge,P1-P5,2.517758698984982,1.661764019918698,27
ridge_baseline,Ridge,P6-P10,3.130901243934257,1.7342103959418338,27
ridge_baseline,Ridge,P11-P15,2.27722891777887,1.8803019562899497,31
ridge_baseline,Ridge,P16+,3.0980666891676565,-0.7377495178058965,29
xgboost_tuned,XGBoost,P1-P5,2.502554522620307,1.4358581437004938,27
xgboost_tuned,XGBoost,P6-P10,2.983432663811578,1.4368007094771773,27
xgboost_tuned,XGBoost,P11-P15,2.207636556317729,1.7092139336370653,31
xgboost_tuned,XGBoost,P16+,2.903221064600451,-1.2914041979559536,29
