RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,experimento,train_start,train_end,valid_season,decay
norris_2025_1,2025,1,norris,mclaren,1,3.3524872068960527,A,2018,2024,2025,0.95
max_verstappen_2025_1,2025,1,max_verstappen,red_bull,2,2.6860637153031752,A,2018,2024,2025,0.95
russell_2025_1,2025,1,russell,mercedes,3,3.9101941112110556,A,2018,2024,2025,0.95
antonelli_2025_1,2025,1,antonelli,mercedes,4,8.303790405801514,A,2018,2024,2025,0.95
albon_2025_1,2025,1,albon,williams,5,9.179580785793757,A,2018,2024,2025,0.95
stroll_2025_1,2025,1,stroll,aston_martin,6,11.304784315010979,A,2018,2024,2025,0.95
hulkenberg_2025_1,2025,1,hulkenberg,sauber,7,12.417167823411862,A,2018,2024,2025,0.95
leclerc_2025_1,2025,1,leclerc,ferrari,8,4.761500419629826,A,2018,2024,2025,0.95
piastri_2025_1,2025,1,piastri,mclaren,9,4.41643883663708,A,2018,2024,2025,0.95
hamilton_2025_1,2025,1,hamilton,ferrari,10,6.099431446219383,A,2018,2024,2025,0.95
gasly_2025_1,2025,1,gasly,alpine,11,8.142319757706481,A,2018,2024,2025,0.95
tsunoda_2025_1,2025,1,tsunoda,rb,12,8.184311968902616,A,2018,2024,2025,0.95
ocon_2025_1,2025,1,ocon,haas,13,14.255578965350063,A,2018,2024,2025,0.95
bearman_2025_1,2025,1,bearman,haas,14,13.931661149417014,A,2018,2024,2025,0.95
piastri_2025_2,2025,2,piastri,mclaren,1,3.8588955824273983,A,2018,2024,2025,0.95
norris_2025_2,2025,2,norris,mclaren,2,3.5356360176228305,A,2018,2024,2025,0.95
russell_2025_2,2025,2,russell,mercedes,3,3.882497867391344,A,2018,2024,2025,0.95
max_verstappen_2025_2,2025,2,max_verstappen,red_bull,4,2.783364927196834,A,2018,2024,2025,0.95
ocon_2025_2,2025,2,ocon,haas,5,11.507173692850397,A,2018,2024,2025,0.95
antonelli_2025_2,2025,2,antonelli,mercedes,6,6.557630669926059,A,2018,2024,2025,0.95
albon_2025_2,2025,2,albon,williams,7,10.621533717492374,A,2018,2024,2025,0.95
bearman_2025_2,2025,2,bearman,haas,8,13.556337465125528,A,2018,2024,2025,0.95
stroll_2025_2,2025,2,stroll,aston_martin,9,12.803486924992134,A,2018,2024,2025,0.95
sainz_2025_2,2025,2,sainz,williams,10,11.744941019151176,A,2018,2024,2025,0.95
hadjar_2025_2,2025,2,hadjar,rb,11,7.097917647179335,A,2018,2024,2025,0.95
lawson_2025_2,2025,2,lawson,red_bull,12,12.84179846426865,A,2018,2024,2025,0.95
doohan_2025_2,2025,2,doohan,alpine,13,14.946776629360992,A,2018,2024,2025,0.95
bortoleto_2025_2,2025,2,bortoleto,sauber,14,14.088778255427703,A,2018,2024,2025,0.95
hulkenberg_2025_2,2025,2,hulkenberg,sauber,15,9.98843199849333,A,2018,2024,2025,0.95
tsunoda_2025_2,2025,2,tsunoda,rb,16,10.10827761949185,A,2018,2024,2025,0.95
max_verstappen_2025_3,2025,3,max_verstappen,red_bull,1,2.0460699578950323,A,2018,2024,2025,0.95
norris_2025_3,2025,3,norris,mclaren,2,3.5905246524346817,A,2018,2024,2025,0.95
piastri_2025_3,2025,3,piastri,mclaren,3,4.381165401198014,A,2018,2024,2025,0.95
leclerc_2025_3,2025,3,leclerc,ferrari,4,3.3515303968440566,A,2018,2024,2025,0.95
russell_2025_3,2025,3,russell,mercedes,5,4.686687944971642,A,2018,2024,2025,0.95
antonelli_2025_3,2025,3,antonelli,mercedes,6,5.42550138770601,A,2018,2024,2025,0.95
hamilton_2025_3,2025,3,hamilton,ferrari,7,6.53079875102488,A,2018,2024,2025,0.95
hadjar_2025_3,2025,3,hadjar,rb,8,8.66389428050383,A,2018,2024,2025,0.95
albon_2025_3,2025,3,albon,williams,9,9.59274616527015,A,2018,2024,2025,0.95
bearman_2025_3,2025,3,bearman,haas,10,10.498919098591811,A,2018,2024,2025,0.95
alonso_2025_3,2025,3,alonso,aston_martin,11,11.32457542467339,A,2018,2024,2025,0.95
tsunoda_2025_3,2025,3,tsunoda,red_bull,12,11.006620592946712,A,2018,2024,2025,0.95
gasly_2025_3,2025,3,gasly,alpine,13,9.931117715106732,A,2018,2024,2025,0.95
sainz_2025_3,2025,3,sainz,williams,14,9.868255875627305,A,2018,2024,2025,0.95
doohan_2025_3,2025,3,doohan,alpine,15,15.19441011351262,A,2018,2024,2025,0.95
hulkenberg_2025_3,2025,3,hulkenberg,sauber,16,12.74537700911824,A,2018,2024,2025,0.95
lawson_2025_3,2025,3,lawson,rb,17,13.234376897394611,A,2018,2024,2025,0.95
ocon_2025_3,2025,3,ocon,haas,18,13.440882628564237,A,2018,2024,2025,0.95
bortoleto_2025_3,2025,3,bortoleto,sauber,19,14.229983863897546,A,2018,2024,2025,0.95
stroll_2025_3,2025,3,stroll,aston_martin,20,13.50276540806402,A,2018,2024,2025,0.95
piastri_2025_4,2025,4,piastri,mclaren,1,3.148033569528322,A,2018,2024,2025,0.95
russell_2025_4,2025,4,russell,mercedes,2,3.882497867391344,A,2018,2024,2025,0.95
norris_2025_4,2025,4,norris,mclaren,3,5.170125680370914,A,2018,2024,2025,0.95
leclerc_2025_4,2025,4,leclerc,ferrari,4,3.231148708907202,A,2018,2024,2025,0.95
hamilton_2025_4,2025,4,hamilton,ferrari,5,6.504685943485697,A,2018,2024,2025,0.95
max_verstappen_2025_4,2025,4,max_verstappen,red_bull,6,4.5147727305025676,A,2018,2024,2025,0.95
gasly_2025_4,2025,4,gasly,alpine,7,7.8787384001737415,A,2018,2024,2025,0.95
ocon_2025_4,2025,4,ocon,haas,8,12.937402748534998,A,2018,2024,2025,0.95
tsunoda_2025_4,2025,4,tsunoda,red_bull,9,10.120385003616585,A,2018,2024,2025,0.95
bearman_2025_4,2025,4,bearman,haas,10,14.141710461544301,A,2018,2024,2025,0.95
antonelli_2025_4,2025,4,antonelli,mercedes,11,4.397557538358265,A,2018,2024,2025,0.95
albon_2025_4,2025,4,albon,williams,12,12.458797531346525,A,2018,2024,2025,0.95
hadjar_2025_4,2025,4,hadjar,rb,13,10.602613755479926,A,2018,2024,2025,0.95
doohan_2025_4,2025,4,doohan,alpine,14,12.06205861268066,A,2018,2024,2025,0.95
alonso_2025_4,2025,4,alonso,aston_martin,15,11.316287126741981,A,2018,2024,2025,0.95
lawson_2025_4,2025,4,lawson,rb,16,13.665410679893611,A,2018,2024,2025,0.95
stroll_2025_4,2025,4,stroll,aston_martin,17,14.273882212869623,A,2018,2024,2025,0.95
bortoleto_2025_4,2025,4,bortoleto,sauber,18,15.757108361266603,A,2018,2024,2025,0.95
