rank,modelo,feature,importance_type,importance_media,importance_std,importance_norm_media
1,lightgbm_tuned,qualifying_position,gain,362056.76878738403,68682.86163354624,0.6840303996924532
2,lightgbm_tuned,constructor_coef_rapm,gain,54207.806459744774,9643.46641362945,0.10653619357693718
3,lightgbm_tuned,recent_form_5,gain,53765.682055155434,31691.85801785225,0.09667331897668983
4,lightgbm_tuned,driver_constructor_synergy,gain,26709.300682703655,7560.447783510577,0.05208125891754802
5,lightgbm_tuned,constructor_wins_total,gain,7799.930403709412,5946.223810206334,0.013735868804937495
6,lightgbm_tuned,constructor_dnf_rate,gain,5233.0596262613935,367.61933465936323,0.010154102695600067
7,lightgbm_tuned,driver_coef_rapm,gain,5049.184631347656,623.0896331773055,0.009843713755228203
8,lightgbm_tuned,avg_pit_stops_circuit,gain,2841.5453077952066,844.9906758600744,0.005647269424896162
9,lightgbm_tuned,grid_penalty,gain,2195.1754608154297,171.78947696057253,0.0042060253523918175
10,lightgbm_tuned,track_complexity,gain,2044.9923356374104,618.3426874419642,0.0038509865840023953
11,lightgbm_tuned,altitude_m,gain,1853.5730686187744,244.2479472307674,0.003629412639460224
12,lightgbm_tuned,incident_rate_hist_norm,gain,1801.7702318827312,19.791112083926315,0.0034733569562823336
13,lightgbm_tuned,driver_dnf_rate,gain,1604.428568204244,41.32372150336812,0.0030879055564016016
14,lightgbm_tuned,season_factor,gain,983.9230321248373,1242.8635051697815,0.0016743315708177085
15,lightgbm_tuned,tire_compound_start,gain,769.2765611012777,502.54993087900914,0.0013758554963537635
