rank,modelo,feature,importance_type,importance_media,importance_std,importance_norm_media
1,random_forest_tuned,qualifying_position,gini_impurity_reduction,0.28920423028367875,0.004332053850009272,0.28920423028367875
2,random_forest_tuned,constructor_coef_rapm,gini_impurity_reduction,0.17989750515332448,0.004921723580267339,0.17989750515332448
3,random_forest_tuned,recent_form_5,gini_impurity_reduction,0.1672516991460573,0.01666165824484365,0.16725169914605728
4,random_forest_tuned,driver_constructor_synergy,gini_impurity_reduction,0.109503504948349,0.008124242015633634,0.109503504948349
5,random_forest_tuned,constructor_wins_total,gini_impurity_reduction,0.08298938569514634,0.009742942199112323,0.08298938569514631
6,random_forest_tuned,driver_coef_rapm,gini_impurity_reduction,0.07365960446567475,0.005595133301081507,0.07365960446567475
7,random_forest_tuned,constructor_dnf_rate,gini_impurity_reduction,0.02599518593102868,0.001578222402621562,0.025995185931028675
8,random_forest_tuned,track_complexity,gini_impurity_reduction,0.018209203368780732,0.00026301290204335827,0.018209203368780732
9,random_forest_tuned,avg_pit_stops_circuit,gini_impurity_reduction,0.018013094282035288,0.001349082745608783,0.018013094282035288
10,random_forest_tuned,altitude_m,gini_impurity_reduction,0.012925824144305575,0.00041866136804966634,0.012925824144305572
11,random_forest_tuned,season_factor,gini_impurity_reduction,0.009984064073208706,0.0010851197040482796,0.009984064073208704
12,random_forest_tuned,tire_compound_start,gini_impurity_reduction,0.007196985822642375,0.00017741128776108011,0.007196985822642374
13,random_forest_tuned,grid_penalty,gini_impurity_reduction,0.005169712685768125,0.00030533883324540507,0.005169712685768124
