rank,modelo,feature,importance_type,importance_media,importance_std,importance_norm_media
1,xgboost_tuned,qualifying_position,gain,933.3232625325521,112.29534514288501,0.38661187123028684
2,xgboost_tuned,recent_form_5,gain,384.0507049560547,132.42338329351597,0.1562999155214345
3,xgboost_tuned,constructor_coef_rapm,gain,317.89642333984375,35.729884554972415,0.13176204406846678
4,xgboost_tuned,driver_constructor_synergy,gain,187.1028086344401,39.437608133547236,0.07803319425964673
5,xgboost_tuned,constructor_wins_total,gain,158.6547622680664,50.75741007989725,0.0673397939658226
6,xgboost_tuned,driver_coef_rapm,gain,60.837991078694664,5.929201761798747,0.025266986365137894
7,xgboost_tuned,constructor_dnf_rate,gain,47.59082158406576,2.6957195201453885,0.019838149520213264
8,xgboost_tuned,tire_compound_start,gain,44.58772659301758,5.497529728242986,0.01852573844922526
9,xgboost_tuned,incident_rate_hist_norm,gain,42.01846567789713,1.8815619524771843,0.017532031921515947
10,xgboost_tuned,season_factor,gain,41.827582041422524,10.226912858747923,0.01718432050172738
11,xgboost_tuned,track_complexity,gain,40.16684087117513,3.999211943397778,0.016711029060708364
12,xgboost_tuned,avg_pit_stops_circuit,gain,39.6274668375651,3.17286464757602,0.016653458392349784
13,xgboost_tuned,altitude_m,gain,39.855838775634766,4.424767902748704,0.016600013399661794
14,xgboost_tuned,grid_penalty,gain,38.855550130208336,0.4318769055966772,0.016235975052808743
15,xgboost_tuned,driver_dnf_rate,gain,36.94243240356445,1.2236882293117357,0.015405478290994116
