RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.8707656,2022,2023,0.95
perez_2023_1,2023,1,perez,red_bull,2,3.8120465,2022,2023,0.95
alonso_2023_1,2023,1,alonso,aston_martin,3,6.701396,2022,2023,0.95
sainz_2023_1,2023,1,sainz,ferrari,4,2.788093,2022,2023,0.95
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.8413944,2022,2023,0.95
stroll_2023_1,2023,1,stroll,aston_martin,6,8.490461,2022,2023,0.95
russell_2023_1,2023,1,russell,mercedes,7,3.950382,2022,2023,0.95
bottas_2023_1,2023,1,bottas,alfa,8,12.313494,2022,2023,0.95
gasly_2023_1,2023,1,gasly,alpine,9,10.353151,2022,2023,0.95
albon_2023_1,2023,1,albon,williams,10,13.365851,2022,2023,0.95
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.231498,2022,2023,0.95
sargeant_2023_1,2023,1,sargeant,williams,12,13.891062,2022,2023,0.95
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,13.740151,2022,2023,0.95
de_vries_2023_1,2023,1,de_vries,alphatauri,14,13.342978,2022,2023,0.95
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.670987,2022,2023,0.95
zhou_2023_1,2023,1,zhou,alfa,16,12.752435,2022,2023,0.95
norris_2023_1,2023,1,norris,mclaren,17,9.090734,2022,2023,0.95
perez_2023_2,2023,2,perez,red_bull,1,3.1825325,2022,2023,0.95
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,7.6075125,2022,2023,0.95
alonso_2023_2,2023,2,alonso,aston_martin,3,4.1830187,2022,2023,0.95
russell_2023_2,2023,2,russell,mercedes,4,2.6018238,2022,2023,0.95
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.353748,2022,2023,0.95
sainz_2023_2,2023,2,sainz,ferrari,6,3.5250607,2022,2023,0.95
leclerc_2023_2,2023,2,leclerc,ferrari,7,4.636351,2022,2023,0.95
ocon_2023_2,2023,2,ocon,alpine,8,6.0723286,2022,2023,0.95
gasly_2023_2,2023,2,gasly,alpine,9,8.154967,2022,2023,0.95
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,11.765266,2022,2023,0.95
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,11.990494,2022,2023,0.95
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.818733,2022,2023,0.95
zhou_2023_2,2023,2,zhou,alfa,13,11.95249,2022,2023,0.95
de_vries_2023_2,2023,2,de_vries,alphatauri,14,12.2630005,2022,2023,0.95
piastri_2023_2,2023,2,piastri,mclaren,15,7.953484,2022,2023,0.95
sargeant_2023_2,2023,2,sargeant,williams,16,14.266088,2022,2023,0.95
norris_2023_2,2023,2,norris,mclaren,17,11.526291,2022,2023,0.95
bottas_2023_2,2023,2,bottas,alfa,18,13.78242,2022,2023,0.95
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.3176214,2022,2023,0.95
hamilton_2023_3,2023,3,hamilton,mercedes,2,3.9873421,2022,2023,0.95
alonso_2023_3,2023,3,alonso,aston_martin,3,4.348196,2022,2023,0.95
stroll_2023_3,2023,3,stroll,aston_martin,4,8.06985,2022,2023,0.95
perez_2023_3,2023,3,perez,red_bull,5,8.884543,2022,2023,0.95
norris_2023_3,2023,3,norris,mclaren,6,12.563835,2022,2023,0.95
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.609474,2022,2023,0.95
piastri_2023_3,2023,3,piastri,mclaren,8,14.466765,2022,2023,0.95
zhou_2023_3,2023,3,zhou,alfa,9,14.838219,2022,2023,0.95
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.214389,2022,2023,0.95
bottas_2023_3,2023,3,bottas,alfa,11,14.579138,2022,2023,0.95
sainz_2023_3,2023,3,sainz,ferrari,12,3.3597069,2022,2023,0.95
perez_2023_4,2023,4,perez,red_bull,1,3.1169162,2022,2023,0.95
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.1373081,2022,2023,0.95
leclerc_2023_4,2023,4,leclerc,ferrari,3,1.9013968,2022,2023,0.95
alonso_2023_4,2023,4,alonso,aston_martin,4,5.6944833,2022,2023,0.95
sainz_2023_4,2023,4,sainz,ferrari,5,3.1662877,2022,2023,0.95
hamilton_2023_4,2023,4,hamilton,mercedes,6,4.8858337,2022,2023,0.95
stroll_2023_4,2023,4,stroll,aston_martin,7,7.244152,2022,2023,0.95
russell_2023_4,2023,4,russell,mercedes,8,6.9473,2022,2023,0.95
norris_2023_4,2023,4,norris,mclaren,9,7.7056103,2022,2023,0.95
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,7.798054,2022,2023,0.95
