modelo,modelo_label,round,race_name,n_valid,mae,rmse,r2,kendall_tau
lightgbm_tuned,LightGBM,1,Australian Grand Prix,16,2.219233747982431,2.7391577620485914,0.6469183413933624,0.65
lightgbm_tuned,LightGBM,2,Chinese Grand Prix,15,2.1201342241058336,2.628870422265647,0.6297700162287592,0.6890031021158575
lightgbm_tuned,LightGBM,3,Japanese Grand Prix,20,2.525809939789018,3.100840960330455,0.7108206116913354,0.7335117881143434
lightgbm_tuned,LightGBM,6,Miami Grand Prix,18,2.1352368443191216,2.4952726570572676,0.7686791715272705,0.6819708786493494
lightgbm_tuned,LightGBM,7,Canadian Grand Prix,16,3.219922252538254,3.7856210537612585,0.32560344646209405,0.5333333333333333
lightgbm_tuned,LightGBM,8,Monaco Grand Prix,15,3.2514039199654783,3.7664098790571146,0.24004410480040916,0.580952380952381
lightgbm_tuned,LightGBM,9,Barcelona Grand Prix,14,1.725434125033458,2.524813449859055,0.6077118180560503,0.6043956043956044
random_forest_tuned,Random Forest,1,Australian Grand Prix,16,2.338244055022705,2.771250596900128,0.6385962413732087,0.6166666666666666
random_forest_tuned,Random Forest,2,Chinese Grand Prix,15,2.3247392979667985,2.8609488388895348,0.5615163432816048,0.6315861769395361
random_forest_tuned,Random Forest,3,Japanese Grand Prix,20,2.522678012422907,3.1750046698814787,0.6968224164279941,0.7018494087712781
random_forest_tuned,Random Forest,6,Miami Grand Prix,18,2.2464382160705116,2.7152782661953347,0.7260903010697433,0.5901671065234754
random_forest_tuned,Random Forest,7,Canadian Grand Prix,16,3.2158518583459044,3.7523391333483493,0.3374094601572969,0.5499999999999999
random_forest_tuned,Random Forest,8,Monaco Grand Prix,15,3.3621894980223606,3.8805080642136587,0.1933030623342551,0.580952380952381
random_forest_tuned,Random Forest,9,Barcelona Grand Prix,14,1.6764982179879706,2.3968609314922977,0.6464650876975923,0.6263736263736264
ridge_baseline,Ridge,1,Australian Grand Prix,16,2.7805927710412908,3.262864774056717,0.4989982807632851,0.5833333333333334
ridge_baseline,Ridge,2,Chinese Grand Prix,15,2.5394163352248342,2.9827945351378573,0.5233716122045571,0.6571428571428571
ridge_baseline,Ridge,3,Japanese Grand Prix,20,2.7424270257598677,3.263766566584048,0.679633918762351,0.6421052631578947
ridge_baseline,Ridge,6,Miami Grand Prix,18,2.4428887418069727,2.9191428460717987,0.6834156672778144,0.5816993464052289
ridge_baseline,Ridge,7,Canadian Grand Prix,16,3.1120898983797045,3.628738039570273,0.38034165836120903,0.6166666666666666
ridge_baseline,Ridge,8,Monaco Grand Prix,15,3.607863647616793,4.1240740618082,0.08885784639575833,0.5238095238095238
ridge_baseline,Ridge,9,Barcelona Grand Prix,14,1.9742277553388037,2.571876149331325,0.5929509583077339,0.6483516483516484
xgboost_tuned,XGBoost,1,Australian Grand Prix,16,2.3790862262248993,2.8063012222286368,0.6293963976526146,0.6108840083916779
xgboost_tuned,XGBoost,2,Chinese Grand Prix,15,2.337446387608846,2.8257554580024666,0.5722378263340682,0.6315861769395361
xgboost_tuned,XGBoost,3,Japanese Grand Prix,20,2.756007719039917,3.371513835343008,0.6581321641531032,0.6807411558759012
xgboost_tuned,XGBoost,6,Miami Grand Prix,18,2.295622640185886,2.7603752692480494,0.7169162243810684,0.6295115802917071
xgboost_tuned,XGBoost,7,Canadian Grand Prix,16,3.2945228666067123,3.932655039998817,0.2721987922998542,0.5
xgboost_tuned,XGBoost,8,Monaco Grand Prix,15,3.375561269124349,3.86391626761467,0.20018666483193137,0.580952380952381
xgboost_tuned,XGBoost,9,Barcelona Grand Prix,14,1.9883982794625419,2.6338768666282797,0.5730887785501781,0.6043956043956044
