number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.509374630616707,0.662397808134481,0.07661100707771368,5,26,481,25,0.05808361216819946,0.8661761457749352,0.6624074561769746,COMPLETE
1,0.5039626178287507,0.6727299868828402,0.16967533607196555,8,23,108,124,0.18340450985343382,0.3042422429595377,0.6849356442713105,COMPLETE
2,0.5243583507392746,0.7465447373174767,0.01607123851203988,6,12,216,41,0.45606998421703593,0.7851759613930136,0.7168578594140873,COMPLETE
3,0.5150442365036492,0.6260206371941118,0.07896186801026692,7,34,337,12,0.9488855372533332,0.9656320330745594,0.6682096494749166,COMPLETE
4,0.5276919199293298,0.798070764044508,0.044684675025045834,5,14,139,24,0.034388521115218396,0.9093204020787821,0.6488152939379115,COMPLETE
5,0.515197582293464,0.9878338511058234,0.06420330336297862,8,37,224,69,0.7751328233611146,0.9394989415641891,0.6739417822102108,COMPLETE
6,0.5261146313672714,0.7301321323053057,0.01947558230629543,7,34,469,17,0.388677289689482,0.2713490317738959,0.6180909155642152,COMPLETE
7,0.5260208382252486,0.6298202574719083,0.016149614799999188,5,12,212,20,0.9868869366005173,0.7722447692966574,0.9208787923016158,COMPLETE
8,0.508782050114168,0.9085081386743783,0.11069143219393454,3,9,427,7,0.07404465173409036,0.3584657285442726,0.8916028672163949,COMPLETE
9,0.526650410362422,0.7300733288106989,0.012413189635294229,9,36,349,47,0.7296061783380641,0.6375574713552131,0.7243929286862649,COMPLETE
10,0.5286827526483447,0.8428506936783935,0.035047505083850114,3,5,102,7,0.2896052158301839,0.015594799658456004,0.8212037354713948,COMPLETE
11,0.5287255629253867,0.8456155114810229,0.0352901069906218,3,5,101,7,0.2535230135044997,0.030950337683456647,0.8234098923117161,COMPLETE
12,0.5285385918912316,0.8816025106346747,0.03214811077731529,3,5,159,7,0.32176717760026463,0.034494844633522814,0.8208104960302076,COMPLETE
13,0.5278189689202691,0.8604063212686378,0.030785683872125665,3,5,271,7,0.27650131206814643,0.0034386541238184756,0.9984066126989742,COMPLETE
14,0.5299240677174915,0.808194273398517,0.028705332245758306,4,18,114,9,0.5785648192267886,0.15436042156409835,0.7946745665646928,COMPLETE
15,0.5307470254109595,0.9443850224055144,0.024020184344708602,4,18,170,9,0.6101051411027106,0.14845340702515702,0.7702357857455316,COMPLETE
16,0.5044737327124289,0.936200840110873,0.2776777411958815,4,19,175,9,0.6552124268185593,0.1633013774260425,0.7476407074527507,COMPLETE
17,0.5305722232743022,0.9833332856246184,0.023717915292283696,4,19,177,9,0.5689653173984078,0.4779206424168619,0.7706788506038953,COMPLETE
18,0.5234561505566789,0.9860930071516779,0.02223262904993384,10,26,260,78,0.5383051925431579,0.4990643013428065,0.7705386664376376,COMPLETE
19,0.5260734251155982,0.9394122405659393,0.011251945340207167,6,29,313,33,0.8165352680105368,0.5252642793926039,0.8725947984564898,COMPLETE
20,0.5294738990936618,0.9973851585953842,0.0509759154969451,4,18,181,9,0.6396774850485731,0.4265725523245178,0.8506069966101462,COMPLETE
21,0.5312495466174274,0.939810078306276,0.023484399914810487,4,19,142,9,0.5477459836572619,0.180348457907742,0.7826838337260509,COMPLETE
22,0.5311311825025945,0.9459664565612527,0.02283840841087055,4,20,149,10,0.4522447691388841,0.16121318246012295,0.7666461266087587,COMPLETE
23,0.5261900246477446,0.9437258547554168,0.015675758761727887,5,15,140,13,0.4677084260336348,0.16568930045356184,0.7333647980922634,COMPLETE
24,0.5306413246599339,0.9143030958021703,0.04293742860731898,4,22,247,10,0.4171947702323433,0.22425617178336904,0.7751179619562827,COMPLETE
25,0.5314283644126924,0.8958811695922362,0.021789832698433893,6,23,200,16,0.6647203623823736,0.11493982635758407,0.709670776358849,COMPLETE
26,0.5172846204800207,0.891131763106697,0.010115113680669243,6,23,146,17,0.699050017971827,0.09105616910362796,0.6982874505687234,COMPLETE
27,0.5302968510634443,0.8088367807770676,0.017594135965363487,5,28,201,14,0.864550369268704,0.36488072530283366,0.610603525644537,COMPLETE
28,0.5265714070947627,0.8804242852555342,0.01300009167181664,7,30,286,48,0.5193585165231711,0.2562626981819168,0.743924386840456,COMPLETE
29,0.5174337915516108,0.9618564402236321,0.09131630346077223,5,21,234,15,0.8904220711999842,0.09591666668081278,0.6491934453768643,COMPLETE
30,0.5241840426549882,0.9046990208980437,0.025651312973139984,6,25,367,29,0.4001565404302464,0.6278409393721849,0.7007251432547617,COMPLETE
31,0.5298584190080443,0.9643354930628555,0.02133678677088876,4,15,187,10,0.6240459195971403,0.20732534817336068,0.7895709090559642,COMPLETE
32,0.5306187663918496,0.9270066543017597,0.03922384309698388,5,24,133,12,0.7289893719191608,0.10719942735135117,0.7544557577777949,COMPLETE
33,0.5304315723033748,0.9568994516904269,0.025261660334781794,4,20,159,10,0.4877236069667385,0.2987742518768612,0.7102003973067617,COMPLETE
34,0.5287640258196579,0.8563772262558274,0.013347862244746028,6,17,205,22,0.5732046115869326,0.3482776920687092,0.8423811436920813,COMPLETE
35,0.5216524069972157,0.9707371865104434,0.05257825522505998,8,22,132,99,0.6723629593021417,0.09468923881565558,0.8023923593510393,COMPLETE
36,0.5279370872782043,0.9234530227607575,0.017739780801027172,5,16,157,12,0.7759255965200644,0.20708200753244038,0.6812630950241684,COMPLETE
37,0.5236547015514116,0.7714522413808169,0.026790895020776685,8,11,235,35,0.18863787179098918,0.1267725459337925,0.7619499208983709,COMPLETE
38,0.52458698116703,0.8933009303392958,0.07135052613549168,7,40,131,125,0.3445551539736318,0.2335698564593378,0.727516635865425,COMPLETE
39,0.5301725629389316,0.8292478613460502,0.015087791736771937,3,27,205,7,0.44279640331396247,0.30760467357783217,0.6303176433548561,COMPLETE
40,0.5265696026529983,0.8744939601438896,0.019659495527037933,4,14,121,8,0.6156916798234632,0.06863203911993544,0.9047139955248942,COMPLETE
41,0.5295333019247765,0.9138148687312232,0.04269858858467834,4,21,256,10,0.4268246320472375,0.19032899123716532,0.7823152574873283,COMPLETE
42,0.5282480065312948,0.9476323005456108,0.03722250920788429,5,31,241,11,0.35335276155527817,0.2637667888859805,0.814599380060327,COMPLETE
43,0.5305856499069118,0.6900713750461542,0.04775479551103405,4,23,192,8,0.4805940863675733,0.13436072165287563,0.8422358380676116,COMPLETE
44,0.5291327810050203,0.9101284880602093,0.06366183620552228,3,21,220,7,0.5484842076855861,0.2151664433063386,0.7775583516254617,COMPLETE
45,0.5239328780322526,0.9771341646301918,0.1330158806056386,3,25,167,7,0.5154023312197233,0.06279794993647797,0.7194793003628146,COMPLETE
46,0.5275599476901707,0.9185508933864651,0.03142505415415943,4,13,307,11,0.37754153686947056,0.40218561768289635,0.7411064180246062,COMPLETE
47,0.5226027661608472,0.9505231074801013,0.02240793132974524,9,10,398,25,0.6050990688670494,0.3086328818071207,0.8031153762068721,COMPLETE
48,0.526084381906229,0.8683908642191068,0.019362922690987404,5,17,499,16,0.4377627606730299,0.044297702358008506,0.6685486022401699,COMPLETE
49,0.5283368910877896,0.8300295282705032,0.028783189687116004,3,8,151,7,0.21172779220375326,0.17511082047771837,0.75536691743838,COMPLETE
