number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.46405171625719077,0.6232334448672797,0.1205712628744377,10,250,0.15601864044243652,0.15599452033620265,0.8394633936788146,COMPLETE
1,0.4504121601410158,0.6849356442713105,0.11114989443094977,7,447,0.9699098521619943,0.8324426408004217,0.608233797718321,COMPLETE
2,0.4861706311994282,0.8447411578889518,0.028145092716060652,4,172,0.43194501864211576,0.2912291401980419,0.8099025726528951,COMPLETE
3,0.48396569119149696,0.8056937753654446,0.03476649150592621,5,155,0.7851759613930136,0.19967378215835974,0.7824279936868144,COMPLETE
4,0.47904080945091454,0.9862528132298237,0.07896186801026692,3,337,0.06505159298527952,0.9488855372533332,0.6682096494749166,COMPLETE
5,0.4766094210347703,0.798070764044508,0.013940346079873234,5,424,0.4401524937396013,0.12203823484477883,0.8736932106048627,COMPLETE
6,0.4700464886736515,0.8186841117373118,0.024112898115291985,10,113,0.31171107608941095,0.5200680211778108,0.8650089137415928,COMPLETE
7,0.46943008916296664,0.9687496940092467,0.13962563737015762,10,174,0.8948273504276488,0.5978999788110851,0.9757995766256756,COMPLETE
8,0.47232709076725504,0.9314950036607718,0.011662890273931383,4,135,0.388677289689482,0.2713490317738959,0.7301321323053057,COMPLETE
9,0.47581080796591113,0.9947547746402069,0.06333268775321842,5,243,0.8021969807540397,0.07455064367977082,0.6563696899899051,COMPLETE
10,0.46124054742310905,0.8858492968184316,0.2704729722717776,7,305,0.6400885024675562,0.37239267954698224,0.9526717232169266,COMPLETE
11,0.4807365682904602,0.7737425087025644,0.029801282348635934,5,184,0.6428405717880344,0.3203181997429707,0.7773764112935475,COMPLETE
12,0.4800723584350383,0.8612012640576855,0.037729970372541825,3,226,0.6567037069582635,0.007374568619880839,0.7706925165220189,COMPLETE
13,0.46762499669202684,0.7343624927010682,0.019903083337437094,6,104,0.25833782963845525,0.396624559645547,0.9087696049520285,COMPLETE
14,0.4731147994153161,0.8752918047800797,0.044378373679770974,8,361,0.5261698238562309,0.6634064286119825,0.7273617304896113,COMPLETE
15,0.4847777248049171,0.7337033567565711,0.018657929464872665,4,181,0.7695355807729318,0.22717075950647264,0.8193308612556743,COMPLETE
16,0.4859546628954413,0.7114267624998387,0.018225958284221414,4,209,0.5456482752877387,0.27489978272031773,0.8230383431456271,COMPLETE
17,0.48880037199325,0.6083654265933616,0.016362366791800902,4,275,0.5270560350298584,0.45082045087113626,0.9186007623689508,COMPLETE
18,0.48799671772075853,0.6052716857523694,0.010164101528101752,3,284,0.26803669545910697,0.46675893560963916,0.9050286229584308,COMPLETE
19,0.4920470891682293,0.6246639665621257,0.01062684170787973,3,282,0.22434608653316745,0.7444925279923535,0.9277599389906175,COMPLETE
20,0.46979050401516304,0.6532478158465114,0.015058227993641173,6,497,0.12699421645548042,0.742575834452689,0.9860930071516779,COMPLETE
21,0.48843147219216065,0.6037786925958324,0.011145755413358103,3,277,0.2734019904350002,0.47780004932176834,0.9189670960799108,COMPLETE
22,0.48889692241973276,0.6463807552859246,0.010278501584091127,3,293,0.18694636157076558,0.5266112814289409,0.9355481217961186,COMPLETE
23,0.4887303211232408,0.6560544320205042,0.014282208195584144,3,362,0.16898594702463443,0.6235543517446849,0.9387485029495756,COMPLETE
24,0.4854848966718859,0.6553469784078871,0.02135017128483751,4,307,0.2040521621965587,0.7885657146416513,0.8758441077937459,COMPLETE
25,0.49624512347122823,0.6862246611936315,0.01018667681265001,3,344,0.03927426857783234,0.9131522197525199,0.9516978675492801,COMPLETE
26,0.4665584303269102,0.6882656980145374,0.010455846490288906,9,390,0.029018802779427533,0.9673184631886884,0.9989879313923893,COMPLETE
