RaceID,season,round,race_name,driver_id,constructor_id,finish_position,qualifying_position,modelo,modelo_label,pred_finish_position,erro,erro_abs
russell_2026_1,2026,1,Australian Grand Prix,russell,mercedes,1.0,1,ridge_baseline,Ridge,4.193527211793383,3.1935272117933833,3.1935272117933833
antonelli_2026_1,2026,1,Australian Grand Prix,antonelli,mercedes,2.0,2,ridge_baseline,Ridge,5.252675928593252,3.252675928593252,3.252675928593252
leclerc_2026_1,2026,1,Australian Grand Prix,leclerc,ferrari,3.0,4,ridge_baseline,Ridge,5.171418426835708,2.171418426835708,2.171418426835708
hamilton_2026_1,2026,1,Australian Grand Prix,hamilton,ferrari,4.0,7,ridge_baseline,Ridge,7.810519786241791,3.810519786241791,3.810519786241791
max_verstappen_2026_1,2026,1,Australian Grand Prix,max_verstappen,red_bull,5.0,6,ridge_baseline,Ridge,4.56000782947895,-0.4399921705210499,0.4399921705210499
driver_3_2026_2026_1,2026,1,Australian Grand Prix,driver_3_2026,unknown_2026,6.0,20,ridge_baseline,Ridge,13.408632032469434,7.408632032469434,7.408632032469434
bearman_2026_1,2026,1,Australian Grand Prix,bearman,haas,7.0,12,ridge_baseline,Ridge,11.343399279696616,4.343399279696616,4.343399279696616
driver_41_2026_2026_1,2026,1,Australian Grand Prix,driver_41_2026,unknown_2026,8.0,9,ridge_baseline,Ridge,8.684913531978873,0.6849135319788733,0.6849135319788733
bortoleto_2026_1,2026,1,Australian Grand Prix,bortoleto,sauber,9.0,10,ridge_baseline,Ridge,12.628413306346921,3.6284133063469213,3.6284133063469213
gasly_2026_1,2026,1,Australian Grand Prix,gasly,alpine,10.0,14,ridge_baseline,Ridge,13.802386927308401,3.802386927308401,3.802386927308401
ocon_2026_1,2026,1,Australian Grand Prix,ocon,haas,11.0,13,ridge_baseline,Ridge,12.948666571500063,1.9486665715000626,1.9486665715000626
albon_2026_1,2026,1,Australian Grand Prix,albon,williams,12.0,15,ridge_baseline,Ridge,13.530559115184651,1.5305591151846514,1.5305591151846514
lawson_2026_1,2026,1,Australian Grand Prix,lawson,rb,13.0,8,ridge_baseline,Ridge,10.48494476604039,-2.5150552339596093,2.5150552339596093
colapinto_2026_1,2026,1,Australian Grand Prix,colapinto,alpine,14.0,16,ridge_baseline,Ridge,15.665072900786443,1.665072900786443,1.665072900786443
sainz_2026_1,2026,1,Australian Grand Prix,sainz,williams,15.0,21,ridge_baseline,Ridge,14.480689669465516,-0.5193103305344842,0.5193103305344842
driver_11_2026_2026_1,2026,1,Australian Grand Prix,driver_11_2026,unknown_2026,16.0,18,ridge_baseline,Ridge,12.425058417090028,-3.5749415829099718,3.5749415829099718
antonelli_2026_2,2026,2,Chinese Grand Prix,antonelli,mercedes,1.0,1,ridge_baseline,Ridge,4.360570490736493,3.3605704907364933,3.3605704907364933
russell_2026_2,2026,2,Chinese Grand Prix,russell,mercedes,2.0,2,ridge_baseline,Ridge,4.132565081739105,2.132565081739105,2.132565081739105
hamilton_2026_2,2026,2,Chinese Grand Prix,hamilton,ferrari,3.0,3,ridge_baseline,Ridge,5.671699386681315,2.671699386681315,2.671699386681315
leclerc_2026_2,2026,2,Chinese Grand Prix,leclerc,ferrari,4.0,4,ridge_baseline,Ridge,4.69488464288019,0.69488464288019,0.69488464288019
bearman_2026_2,2026,2,Chinese Grand Prix,bearman,haas,5.0,10,ridge_baseline,Ridge,10.03572218793862,5.035722187938619,5.035722187938619
gasly_2026_2,2026,2,Chinese Grand Prix,gasly,alpine,6.0,7,ridge_baseline,Ridge,10.416851566044205,4.416851566044205,4.416851566044205
lawson_2026_2,2026,2,Chinese Grand Prix,lawson,rb,7.0,14,ridge_baseline,Ridge,12.50184090549231,5.50184090549231,5.50184090549231
hadjar_2026_2,2026,2,Chinese Grand Prix,hadjar,rb,8.0,9,ridge_baseline,Ridge,9.744415885395734,1.7444158853957337,1.7444158853957337
sainz_2026_2,2026,2,Chinese Grand Prix,sainz,williams,9.0,17,ridge_baseline,Ridge,12.49429957748197,3.4942995774819696,3.4942995774819696
colapinto_2026_2,2026,2,Chinese Grand Prix,colapinto,alpine,10.0,12,ridge_baseline,Ridge,13.526252501225965,3.526252501225965,3.526252501225965
hulkenberg_2026_2,2026,2,Chinese Grand Prix,hulkenberg,sauber,11.0,11,ridge_baseline,Ridge,11.550281758759777,0.5502817587597768,0.5502817587597768
driver_41_2026_2026_2,2026,2,Chinese Grand Prix,driver_41_2026,unknown_2026,12.0,15,ridge_baseline,Ridge,10.854239979007719,-1.145760020992281,1.145760020992281
driver_77_2026_2026_2,2026,2,Chinese Grand Prix,driver_77_2026,unknown_2026,13.0,19,ridge_baseline,Ridge,12.36409628703575,-0.6359037129642502,0.6359037129642502
ocon_2026_2,2026,2,Chinese Grand Prix,ocon,haas,14.0,13,ridge_baseline,Ridge,12.624563095121474,-1.3754369048785264,1.3754369048785264
driver_11_2026_2026_2,2026,2,Chinese Grand Prix,driver_11_2026,unknown_2026,15.0,21,ridge_baseline,Ridge,13.195239594838228,-1.8047604051617725,1.8047604051617725
antonelli_2026_3,2026,3,Japanese Grand Prix,antonelli,mercedes,1.0,1,ridge_baseline,Ridge,4.239160391466978,3.239160391466978,3.239160391466978
piastri_2026_3,2026,3,Japanese Grand Prix,piastri,mclaren,2.0,3,ridge_baseline,Ridge,4.0964524458174365,2.0964524458174365,2.0964524458174365
leclerc_2026_3,2026,3,Japanese Grand Prix,leclerc,ferrari,3.0,4,ridge_baseline,Ridge,4.573474543610675,1.5734745436106747,1.5734745436106747
