RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.6676049333719916,2022,2023,0.95
perez_2023_1,2023,1,perez,red_bull,2,2.8675863960317094,2022,2023,0.95
alonso_2023_1,2023,1,alonso,aston_martin,3,6.156222328586161,2022,2023,0.95
sainz_2023_1,2023,1,sainz,ferrari,4,3.115537877275462,2022,2023,0.95
hamilton_2023_1,2023,1,hamilton,mercedes,5,4.609741806773531,2022,2023,0.95
stroll_2023_1,2023,1,stroll,aston_martin,6,8.82569868867167,2022,2023,0.95
russell_2023_1,2023,1,russell,mercedes,7,4.811371667455854,2022,2023,0.95
bottas_2023_1,2023,1,bottas,alfa,8,11.062759907110994,2022,2023,0.95
gasly_2023_1,2023,1,gasly,alpine,9,10.62616410779967,2022,2023,0.95
albon_2023_1,2023,1,albon,williams,10,13.553239187406092,2022,2023,0.95
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,11.9582849003738,2022,2023,0.95
sargeant_2023_1,2023,1,sargeant,williams,12,13.002300225679019,2022,2023,0.95
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,13.773059331606984,2022,2023,0.95
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.17964251771675,2022,2023,0.95
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.303525197187424,2022,2023,0.95
zhou_2023_1,2023,1,zhou,alfa,16,12.558967210857888,2022,2023,0.95
norris_2023_1,2023,1,norris,mclaren,17,9.160019688744814,2022,2023,0.95
perez_2023_2,2023,2,perez,red_bull,1,2.4935146504164103,2022,2023,0.95
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,8.03158175491857,2022,2023,0.95
alonso_2023_2,2023,2,alonso,aston_martin,3,4.314627376680792,2022,2023,0.95
russell_2023_2,2023,2,russell,mercedes,4,3.210783188970304,2022,2023,0.95
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.83781662475436,2022,2023,0.95
sainz_2023_2,2023,2,sainz,ferrari,6,3.5949689424929625,2022,2023,0.95
leclerc_2023_2,2023,2,leclerc,ferrari,7,4.077092148929528,2022,2023,0.95
