RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.9028571428571428,2022,2023,0.95
perez_2023_1,2023,1,perez,red_bull,2,3.337142857142857,2022,2023,0.95
alonso_2023_1,2023,1,alonso,aston_martin,3,7.014285714285714,2022,2023,0.95
sainz_2023_1,2023,1,sainz,ferrari,4,3.597142857142857,2022,2023,0.95
hamilton_2023_1,2023,1,hamilton,mercedes,5,4.277142857142858,2022,2023,0.95
stroll_2023_1,2023,1,stroll,aston_martin,6,9.311428571428571,2022,2023,0.95
russell_2023_1,2023,1,russell,mercedes,7,4.291428571428572,2022,2023,0.95
bottas_2023_1,2023,1,bottas,alfa,8,11.231428571428571,2022,2023,0.95
gasly_2023_1,2023,1,gasly,alpine,9,10.814285714285715,2022,2023,0.95
albon_2023_1,2023,1,albon,williams,10,13.268571428571429,2022,2023,0.95
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.134285714285713,2022,2023,0.95
sargeant_2023_1,2023,1,sargeant,williams,12,12.082857142857144,2022,2023,0.95
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,13.851428571428572,2022,2023,0.95
de_vries_2023_1,2023,1,de_vries,alphatauri,14,12.691428571428572,2022,2023,0.95
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.502857142857144,2022,2023,0.95
zhou_2023_1,2023,1,zhou,alfa,16,12.445714285714285,2022,2023,0.95
norris_2023_1,2023,1,norris,mclaren,17,8.434285714285714,2022,2023,0.95
perez_2023_2,2023,2,perez,red_bull,1,3.3457142857142856,2022,2023,0.95
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,6.2057142857142855,2022,2023,0.95
alonso_2023_2,2023,2,alonso,aston_martin,3,6.408571428571428,2022,2023,0.95
russell_2023_2,2023,2,russell,mercedes,4,3.862857142857143,2022,2023,0.95
hamilton_2023_2,2023,2,hamilton,mercedes,5,6.171428571428572,2022,2023,0.95
sainz_2023_2,2023,2,sainz,ferrari,6,3.8914285714285715,2022,2023,0.95
leclerc_2023_2,2023,2,leclerc,ferrari,7,3.605714285714286,2022,2023,0.95
ocon_2023_2,2023,2,ocon,alpine,8,7.288571428571428,2022,2023,0.95
gasly_2023_2,2023,2,gasly,alpine,9,9.077142857142857,2022,2023,0.95
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,12.688571428571429,2022,2023,0.95
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,12.045714285714286,2022,2023,0.95
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,11.594285714285714,2022,2023,0.95
zhou_2023_2,2023,2,zhou,alfa,13,11.342857142857143,2022,2023,0.95
de_vries_2023_2,2023,2,de_vries,alphatauri,14,12.09142857142857,2022,2023,0.95
piastri_2023_2,2023,2,piastri,mclaren,15,8.785714285714286,2022,2023,0.95
sargeant_2023_2,2023,2,sargeant,williams,16,13.868571428571428,2022,2023,0.95
norris_2023_2,2023,2,norris,mclaren,17,10.754285714285714,2022,2023,0.95
bottas_2023_2,2023,2,bottas,alfa,18,11.905714285714286,2022,2023,0.95
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.76,2022,2023,0.95
hamilton_2023_3,2023,3,hamilton,mercedes,2,4.534285714285715,2022,2023,0.95
alonso_2023_3,2023,3,alonso,aston_martin,3,5.854285714285714,2022,2023,0.95
stroll_2023_3,2023,3,stroll,aston_martin,4,8.925714285714285,2022,2023,0.95
perez_2023_3,2023,3,perez,red_bull,5,7.194285714285714,2022,2023,0.95
norris_2023_3,2023,3,norris,mclaren,6,11.837142857142856,2022,2023,0.95
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.58,2022,2023,0.95
piastri_2023_3,2023,3,piastri,mclaren,8,14.314285714285715,2022,2023,0.95
zhou_2023_3,2023,3,zhou,alfa,9,13.694285714285714,2022,2023,0.95
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.611428571428572,2022,2023,0.95
bottas_2023_3,2023,3,bottas,alfa,11,13.214285714285714,2022,2023,0.95
sainz_2023_3,2023,3,sainz,ferrari,12,3.9171428571428573,2022,2023,0.95
perez_2023_4,2023,4,perez,red_bull,1,3.5942857142857143,2022,2023,0.95
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.605714285714286,2022,2023,0.95
leclerc_2023_4,2023,4,leclerc,ferrari,3,3.0542857142857143,2022,2023,0.95
alonso_2023_4,2023,4,alonso,aston_martin,4,6.902857142857143,2022,2023,0.95
sainz_2023_4,2023,4,sainz,ferrari,5,3.7485714285714287,2022,2023,0.95
hamilton_2023_4,2023,4,hamilton,mercedes,6,5.68,2022,2023,0.95
stroll_2023_4,2023,4,stroll,aston_martin,7,8.59142857142857,2022,2023,0.95
russell_2023_4,2023,4,russell,mercedes,8,7.122857142857143,2022,2023,0.95
norris_2023_4,2023,4,norris,mclaren,9,8.028571428571428,2022,2023,0.95
tsunoda_2023_4,2023,4,tsunoda,alphatauri,10,9.791428571428572,2022,2023,0.95
piastri_2023_4,2023,4,piastri,mclaren,11,9.454285714285714,2022,2023,0.95
albon_2023_4,2023,4,albon,williams,12,12.048571428571428,2022,2023,0.95
kevin_magnussen_2023_4,2023,4,kevin_magnussen,haas,13,12.914285714285715,2022,2023,0.95
gasly_2023_4,2023,4,gasly,alpine,14,10.934285714285714,2022,2023,0.95
ocon_2023_4,2023,4,ocon,alpine,15,9.3,2022,2023,0.95
sargeant_2023_4,2023,4,sargeant,williams,16,13.074285714285715,2022,2023,0.95
hulkenberg_2023_4,2023,4,hulkenberg,haas,17,11.894285714285715,2022,2023,0.95
bottas_2023_4,2023,4,bottas,alfa,18,11.502857142857144,2022,2023,0.95
max_verstappen_2023_5,2023,5,max_verstappen,red_bull,1,5.64,2022,2023,0.95
perez_2023_5,2023,5,perez,red_bull,2,3.1542857142857144,2022,2023,0.95
alonso_2023_5,2023,5,alonso,aston_martin,3,6.02,2022,2023,0.95
russell_2023_5,2023,5,russell,mercedes,4,5.731428571428571,2022,2023,0.95
sainz_2023_5,2023,5,sainz,ferrari,5,3.3142857142857145,2022,2023,0.95
hamilton_2023_5,2023,5,hamilton,mercedes,6,9.057142857142857,2022,2023,0.95
leclerc_2023_5,2023,5,leclerc,ferrari,7,5.077142857142857,2022,2023,0.95
gasly_2023_5,2023,5,gasly,alpine,8,7.588571428571429,2022,2023,0.95
ocon_2023_5,2023,5,ocon,alpine,9,9.117142857142857,2022,2023,0.95
kevin_magnussen_2023_5,2023,5,kevin_magnussen,haas,10,10.362857142857143,2022,2023,0.95
tsunoda_2023_5,2023,5,tsunoda,alphatauri,11,12.188571428571429,2022,2023,0.95
stroll_2023_5,2023,5,stroll,aston_martin,12,11.68,2022,2023,0.95
bottas_2023_5,2023,5,bottas,alfa,13,11.17142857142857,2022,2023,0.95
albon_2023_5,2023,5,albon,williams,14,12.297142857142857,2022,2023,0.95
hulkenberg_2023_5,2023,5,hulkenberg,haas,15,12.357142857142858,2022,2023,0.95
zhou_2023_5,2023,5,zhou,alfa,16,13.202857142857143,2022,2023,0.95
norris_2023_5,2023,5,norris,mclaren,17,11.597142857142858,2022,2023,0.95
de_vries_2023_5,2023,5,de_vries,alphatauri,18,12.588571428571429,2022,2023,0.95
piastri_2023_5,2023,5,piastri,mclaren,19,12.442857142857143,2022,2023,0.95
sargeant_2023_5,2023,5,sargeant,williams,20,14.708571428571428,2022,2023,0.95
max_verstappen_2023_6,2023,6,max_verstappen,red_bull,1,2.317142857142857,2022,2023,0.95
alonso_2023_6,2023,6,alonso,aston_martin,2,5.477142857142857,2022,2023,0.95
ocon_2023_6,2023,6,ocon,alpine,3,7.325714285714286,2022,2023,0.95
hamilton_2023_6,2023,6,hamilton,mercedes,4,5.76,2022,2023,0.95
russell_2023_6,2023,6,russell,mercedes,5,6.8428571428571425,2022,2023,0.95
leclerc_2023_6,2023,6,leclerc,ferrari,6,3.5685714285714285,2022,2023,0.95
gasly_2023_6,2023,6,gasly,alpine,7,7.882857142857143,2022,2023,0.95
sainz_2023_6,2023,6,sainz,ferrari,8,4.091428571428572,2022,2023,0.95
norris_2023_6,2023,6,norris,mclaren,9,10.588571428571429,2022,2023,0.95
piastri_2023_6,2023,6,piastri,mclaren,10,11.748571428571429,2022,2023,0.95
bottas_2023_6,2023,6,bottas,alfa,11,12.748571428571429,2022,2023,0.95
de_vries_2023_6,2023,6,de_vries,alphatauri,12,12.36,2022,2023,0.95
zhou_2023_6,2023,6,zhou,alfa,13,14.294285714285714,2022,2023,0.95
albon_2023_6,2023,6,albon,williams,14,13.305714285714286,2022,2023,0.95
tsunoda_2023_6,2023,6,tsunoda,alphatauri,15,10.174285714285714,2022,2023,0.95
perez_2023_6,2023,6,perez,red_bull,16,7.78,2022,2023,0.95
hulkenberg_2023_6,2023,6,hulkenberg,haas,17,14.06,2022,2023,0.95
sargeant_2023_6,2023,6,sargeant,williams,18,14.845714285714285,2022,2023,0.95
max_verstappen_2023_7,2023,7,max_verstappen,red_bull,1,2.5714285714285716,2022,2023,0.95
hamilton_2023_7,2023,7,hamilton,mercedes,2,5.3342857142857145,2022,2023,0.95
russell_2023_7,2023,7,russell,mercedes,3,6.845714285714286,2022,2023,0.95
perez_2023_7,2023,7,perez,red_bull,4,6.851428571428571,2022,2023,0.95
sainz_2023_7,2023,7,sainz,ferrari,5,3.66,2022,2023,0.95
stroll_2023_7,2023,7,stroll,aston_martin,6,9.054285714285715,2022,2023,0.95
alonso_2023_7,2023,7,alonso,aston_martin,7,7.622857142857143,2022,2023,0.95
ocon_2023_7,2023,7,ocon,alpine,8,7.96,2022,2023,0.95
zhou_2023_7,2023,7,zhou,alfa,9,13.302857142857142,2022,2023,0.95
gasly_2023_7,2023,7,gasly,alpine,10,7.8914285714285715,2022,2023,0.95
leclerc_2023_7,2023,7,leclerc,ferrari,11,6.94,2022,2023,0.95
tsunoda_2023_7,2023,7,tsunoda,alphatauri,12,12.782857142857143,2022,2023,0.95
piastri_2023_7,2023,7,piastri,mclaren,13,11.642857142857142,2022,2023,0.95
de_vries_2023_7,2023,7,de_vries,alphatauri,14,13.048571428571428,2022,2023,0.95
hulkenberg_2023_7,2023,7,hulkenberg,haas,15,12.231428571428571,2022,2023,0.95
albon_2023_7,2023,7,albon,williams,16,14.34,2022,2023,0.95
norris_2023_7,2023,7,norris,mclaren,17,7.942857142857143,2022,2023,0.95
kevin_magnussen_2023_7,2023,7,kevin_magnussen,haas,18,14.257142857142858,2022,2023,0.95
bottas_2023_7,2023,7,bottas,alfa,19,12.325714285714286,2022,2023,0.95
sargeant_2023_7,2023,7,sargeant,williams,20,15.56,2022,2023,0.95
max_verstappen_2023_8,2023,8,max_verstappen,red_bull,1,2.4914285714285715,2022,2023,0.95
alonso_2023_8,2023,8,alonso,aston_martin,2,5.497142857142857,2022,2023,0.95
hamilton_2023_8,2023,8,hamilton,mercedes,3,5.177142857142857,2022,2023,0.95
leclerc_2023_8,2023,8,leclerc,ferrari,4,6.337142857142857,2022,2023,0.95
sainz_2023_8,2023,8,sainz,ferrari,5,6.3028571428571425,2022,2023,0.95
perez_2023_8,2023,8,perez,red_bull,6,6.911428571428571,2022,2023,0.95
albon_2023_8,2023,8,albon,williams,7,12.205714285714286,2022,2023,0.95
ocon_2023_8,2023,8,ocon,alpine,8,7.154285714285714,2022,2023,0.95
stroll_2023_8,2023,8,stroll,aston_martin,9,11.014285714285714,2022,2023,0.95
bottas_2023_8,2023,8,bottas,alfa,10,12.825714285714286,2022,2023,0.95
