RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,train_until,valid_season,decay
max_verstappen_2023_1,2023,1,max_verstappen,red_bull,1,1.8935773,2022,2023,0.85
perez_2023_1,2023,1,perez,red_bull,2,3.4156857,2022,2023,0.85
alonso_2023_1,2023,1,alonso,aston_martin,3,6.522114,2022,2023,0.85
sainz_2023_1,2023,1,sainz,ferrari,4,3.0011132,2022,2023,0.85
hamilton_2023_1,2023,1,hamilton,mercedes,5,3.981986,2022,2023,0.85
stroll_2023_1,2023,1,stroll,aston_martin,6,8.261421,2022,2023,0.85
russell_2023_1,2023,1,russell,mercedes,7,4.030483,2022,2023,0.85
bottas_2023_1,2023,1,bottas,alfa,8,11.494936,2022,2023,0.85
gasly_2023_1,2023,1,gasly,alpine,9,10.652643,2022,2023,0.85
albon_2023_1,2023,1,albon,williams,10,13.582395,2022,2023,0.85
tsunoda_2023_1,2023,1,tsunoda,alphatauri,11,12.390112,2022,2023,0.85
sargeant_2023_1,2023,1,sargeant,williams,12,13.588636,2022,2023,0.85
kevin_magnussen_2023_1,2023,1,kevin_magnussen,haas,13,13.985599,2022,2023,0.85
de_vries_2023_1,2023,1,de_vries,alphatauri,14,13.854988,2022,2023,0.85
hulkenberg_2023_1,2023,1,hulkenberg,haas,15,11.940078,2022,2023,0.85
zhou_2023_1,2023,1,zhou,alfa,16,12.521695,2022,2023,0.85
norris_2023_1,2023,1,norris,mclaren,17,9.264217,2022,2023,0.85
perez_2023_2,2023,2,perez,red_bull,1,3.2429569,2022,2023,0.85
max_verstappen_2023_2,2023,2,max_verstappen,red_bull,2,7.327422,2022,2023,0.85
alonso_2023_2,2023,2,alonso,aston_martin,3,4.9485016,2022,2023,0.85
russell_2023_2,2023,2,russell,mercedes,4,3.0806706,2022,2023,0.85
hamilton_2023_2,2023,2,hamilton,mercedes,5,5.5660634,2022,2023,0.85
sainz_2023_2,2023,2,sainz,ferrari,6,3.5767446,2022,2023,0.85
leclerc_2023_2,2023,2,leclerc,ferrari,7,4.720172,2022,2023,0.85
ocon_2023_2,2023,2,ocon,alpine,8,6.5549216,2022,2023,0.85
gasly_2023_2,2023,2,gasly,alpine,9,9.076316,2022,2023,0.85
kevin_magnussen_2023_2,2023,2,kevin_magnussen,haas,10,11.915895,2022,2023,0.85
tsunoda_2023_2,2023,2,tsunoda,alphatauri,11,12.136714,2022,2023,0.85
hulkenberg_2023_2,2023,2,hulkenberg,haas,12,12.264621,2022,2023,0.85
zhou_2023_2,2023,2,zhou,alfa,13,11.274778,2022,2023,0.85
de_vries_2023_2,2023,2,de_vries,alphatauri,14,12.565449,2022,2023,0.85
piastri_2023_2,2023,2,piastri,mclaren,15,8.155644,2022,2023,0.85
sargeant_2023_2,2023,2,sargeant,williams,16,14.507151,2022,2023,0.85
norris_2023_2,2023,2,norris,mclaren,17,11.142244,2022,2023,0.85
bottas_2023_2,2023,2,bottas,alfa,18,13.4330845,2022,2023,0.85
max_verstappen_2023_3,2023,3,max_verstappen,red_bull,1,1.2555683,2022,2023,0.85
hamilton_2023_3,2023,3,hamilton,mercedes,2,4.1767073,2022,2023,0.85
alonso_2023_3,2023,3,alonso,aston_martin,3,4.893944,2022,2023,0.85
stroll_2023_3,2023,3,stroll,aston_martin,4,7.5603924,2022,2023,0.85
perez_2023_3,2023,3,perez,red_bull,5,7.750926,2022,2023,0.85
norris_2023_3,2023,3,norris,mclaren,6,12.389133,2022,2023,0.85
hulkenberg_2023_3,2023,3,hulkenberg,haas,7,12.616618,2022,2023,0.85
piastri_2023_3,2023,3,piastri,mclaren,8,15.217004,2022,2023,0.85
zhou_2023_3,2023,3,zhou,alfa,9,14.221501,2022,2023,0.85
tsunoda_2023_3,2023,3,tsunoda,alphatauri,10,11.492347,2022,2023,0.85
bottas_2023_3,2023,3,bottas,alfa,11,13.982754,2022,2023,0.85
sainz_2023_3,2023,3,sainz,ferrari,12,3.4952846,2022,2023,0.85
perez_2023_4,2023,4,perez,red_bull,1,2.9640865,2022,2023,0.85
max_verstappen_2023_4,2023,4,max_verstappen,red_bull,2,2.05401,2022,2023,0.85
leclerc_2023_4,2023,4,leclerc,ferrari,3,1.7870384,2022,2023,0.85
alonso_2023_4,2023,4,alonso,aston_martin,4,5.9255958,2022,2023,0.85
sainz_2023_4,2023,4,sainz,ferrari,5,3.0365365,2022,2023,0.85
