modelo,mae,rmse,r2,kendall_tau,train_until,valid_season,decay,n_train,n_valid
xgboost_tuned,2.4539122581481934,3.074378972804168,0.634516716003418,0.6448276759985175,2022,2023,0.99,1725,374
xgboost_tuned,2.178032159805298,2.865311926459855,0.7001379728317261,0.6849650678985045,2023,2024,0.99,2099,425
xgboost_tuned,2.392409324645996,3.108572544851022,0.63888019323349,0.6276365798231124,2024,2025,0.99,2524,419
random_forest_tuned,2.3664199776759927,3.035339682371156,0.6437397302150416,0.6388797539515243,2022,2023,0.99,1725,374
random_forest_tuned,2.1893770450350205,2.8781839175826014,0.6974377442767364,0.6840392443527118,2023,2024,0.99,2099,425
random_forest_tuned,2.423252148923253,3.122806534506883,0.6355655460867482,0.6278693922463273,2024,2025,0.99,2524,419
lightgbm_tuned,2.403702448569101,3.0898983600011047,0.630817436745325,0.6482245972746957,2022,2023,0.99,1725,374
lightgbm_tuned,2.1760774346203227,2.8607315072891257,0.7010959060230271,0.6819462872868446,2023,2024,0.99,2099,425
lightgbm_tuned,2.3718575971331086,3.085647953908736,0.6441868288201746,0.6307399658018853,2024,2025,0.99,2524,419
ridge_baseline,2.281361829417293,2.98144731930814,0.6562782034559704,0.6434831945738222,2022,2023,0.99,1725,374
ridge_baseline,2.1374931841583824,2.80308248355238,0.7130214611440502,0.6936902100021295,2023,2024,0.99,2099,425
ridge_baseline,2.398128668360869,3.0875756796588587,0.6437421089557434,0.6258223251063808,2024,2025,0.99,2524,419
